;GO:0006281;GO:0036376;GO:0015793;GO:1990090;GO:0045766;GO:0034628;GO:0001701;GO:0045893;GO:0072189;GO:0070207;GO:0015701;GO:0035435;GO:1902042;GO:0071805;GO:1902041;GO:0090344;GO:0060074;GO:0000902;GO:0086009;GO:0051252;GO:2000001;GO:0070317;GO:1900034;GO:0006260;GO:0008284;GO:0080111;GO:0071280;GO:0045944;GO:0001892;GO:0046878;GO:0030007;GO:0072488;GO:0048146;GO:0070345;GO:0035378;GO:0086064;GO:0016458;GO:0070979;GO:0048708;GO:0035377;GO:1903278;GO:0032781;GO:0040020;GO:0085018;GO:0048821;GO:1901018;GO:0007517;GO:0071260;GO:0048791;GO:0071300;GO:0010804;GO:0010529;GO:0001934;GO:0010248;GO:0050900;GO:0019730;GO:0071549;GO:0017158;GO:0051438;GO:0010762;GO:0060442;GO:0003091;GO:1903288;GO:0003097;GO:0006883;GO:0006366;GO:0006884;GO:0010738;GO:0043154;GO:0071732;GO:0072425;GO:0051607;GO:0071456;GO:0055007;GO:0030500;GO:0032006;GO:0030185;GO:1900740;GO:0045732;GO:1904668;GO:1901797;GO:0071560;GO:0043161;GO:0071288;GO:0071320;GO:2000726;GO:0031145;GO:0010107;GO:0033326;GO:0016567;GO:0006182;GO:2001271;GO:0009972;GO:0043687;GO:0060743;GO:0000122;GO:0071472;GO:0070383;GO:0006977;GO:0000083;GO:0071474;GO:0034644;GO:0070301;GO:0070306;GO:0045071;GO:0016554;GO:0030049;GO:0070936;GO:0006351;GO:0046326;GO:0051085;GO:0007166;GO:0048864;GO:0009624;GO:0002026;GO:0006906;GO:0043066;GO:0045087;GO:2000741;GO:0071466;GO:0032332;GO:0030950;GO:0030157
GO:0071260;0.42857142857142855;0.0;0.0;0.3076923076923077;0.0;0.2;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.25;0.0;0.0;0.18181818181818182;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.125;0.46153846153846156;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.18181818181818182;0.2857142857142857;0.2222222222222222;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;1.0;0.11764705882352941;0.46153846153846156;0.0;0.0;0.0;0.0;0.16666666666666666;0.5;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.11764705882352941;0.3076923076923077;0.0;0.0;0.46153846153846156;0.375;0.46153846153846156;0.46153846153846156;0.15384615384615385;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.3076923076923077;0.125;0.46153846153846156;0.42857142857142855;0.0;0.11764705882352941;0.23529411764705882;0.0;0.25;0.1111111111111111;0.0;0.2222222222222222;0.2857142857142857;0.16666666666666666;0.0;0.7692307692307693;0.25;0.3333333333333333;0.11764705882352941;0.7692307692307693;0.7142857142857143;0.46153846153846156;0.16666666666666666;0.0;0.125;0.15384615384615385;0.2222222222222222;0.125;0.0;0.3333333333333333;0.16666666666666666;0.18181818181818182;0.5;0.0;0.15384615384615385;0.0;0.36363636363636365;0.0;0.5454545454545454;0.0;0.3076923076923077;0.0
GO:0048791;0.21052631578947367;0.38095238095238093;0.42105263157894735;0.1111111111111111;0.0;0.16;0.0;0.0;0.0;0.10526315789473684;0.42105263157894735;0.4;0.0;0.19047619047619047;0.0;0.0;0.125;0.125;0.4444444444444444;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.09523809523809523;0.2222222222222222;0.0;0.0;0.0;0.19047619047619047;0.42105263157894735;0.0;0.0;0.10526315789473684;0.125;0.21052631578947367;0.17391304347826086;0.11764705882352941;0.4444444444444444;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.11764705882352941;1.0;0.2222222222222222;0.0;0.0;0.0;0.4444444444444444;0.11764705882352941;0.0;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.19047619047619047;0.09090909090909091;0.2222222222222222;0.0;0.0;0.2222222222222222;0.09523809523809523;0.0;0.2222222222222222;0.1111111111111111;0.0;0.0;0.11764705882352941;0.09090909090909091;0.0;0.0;0.0;0.1111111111111111;0.09523809523809523;0.2222222222222222;0.21052631578947367;0.0;0.09090909090909091;0.18181818181818182;0.5555555555555556;0.19047619047619047;0.08695652173913043;0.0;0.17391304347826086;0.21052631578947367;0.11764705882352941;0.0;0.2222222222222222;0.19047619047619047;0.08695652173913043;0.09090909090909091;0.2222222222222222;0.10526315789473684;0.2222222222222222;0.11764705882352941;0.0;0.09523809523809523;0.1111111111111111;0.17391304347826086;0.09523809523809523;0.0;0.23529411764705882;0.11764705882352941;0.125;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.25;0.0;0.2222222222222222;0.1111111111111111
GO:0071300;0.4;0.0;0.0;0.7142857142857143;0.0;0.19047619047619047;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.11764705882352941;0.5714285714285714;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.16666666666666666;0.26666666666666666;0.21052631578947367;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.46153846153846156;0.2222222222222222;1.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.3076923076923077;0.5882352941176471;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23529411764705882;0.1111111111111111;0.2857142857142857;0.0;0.0;0.7142857142857143;0.35294117647058826;0.14285714285714285;0.42857142857142855;0.14285714285714285;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.7142857142857143;0.23529411764705882;0.5714285714285714;0.6666666666666666;0.0;0.2222222222222222;0.2222222222222222;0.0;0.23529411764705882;0.21052631578947367;0.0;0.21052631578947367;0.26666666666666666;0.3076923076923077;0.0;0.42857142857142855;0.23529411764705882;0.3157894736842105;0.2222222222222222;0.42857142857142855;0.4;0.7142857142857143;0.15384615384615385;0.0;0.11764705882352941;0.14285714285714285;0.21052631578947367;0.11764705882352941;0.0;0.3076923076923077;0.3076923076923077;0.3333333333333333;0.15384615384615385;0.0;0.14285714285714285;0.0;0.3333333333333333;0.0;0.6666666666666666;0.0;0.2857142857142857;0.0
GO:0010804;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.7;0.0;0.631578947368421;0.6666666666666666;0.0;0.0;0.25;0.5;0.47058823529411764;0.5882352941176471;0.5;0.0;0.5333333333333333;0.0;0.0;0.38095238095238093;0.0;0.35294117647058826;0.21052631578947367;0.0;0.5;0.625;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.3;0.25;0.47058823529411764;0.0;0.0;0.4;0.0;0.0;0.0;0.0;1.0;0.6666666666666666;0.42105263157894735;0.0;0.0;0.0;0.0;0.42105263157894735;0.2;0.47058823529411764;0.0;0.23529411764705882;0.4;0.0;0.21052631578947367;0.0;0.25;0.7058823529411765;0.45454545454545453;0.0;0.5263157894736842;0.0;0.0;0.0;0.375;0.7058823529411765;0.0;0.6;0.35294117647058826;0.18181818181818182;0.7777777777777778;0.0;0.0;0.0;0.0;0.5263157894736842;0.0;0.0;0.25;0.0;0.0;0.43478260869565216;0.0;0.0;0.0;0.47619047619047616;0.0;0.0;0.47619047619047616;0.1;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.5333333333333333;0.0;0.0;0.23529411764705882;0.0;0.5882352941176471;0.0;0.47058823529411764;0.0;0.47058823529411764;0.0;0.125
GO:0010529;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.5;0.8333333333333334;0.0;0.0;0.3076923076923077;0.6153846153846154;0.5714285714285714;0.7142857142857143;0.6153846153846154;0.0;0.6666666666666666;0.0;0.0;0.4444444444444444;0.0;0.42857142857142855;0.25;0.0;0.6153846153846154;0.7692307692307693;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.35294117647058826;0.3076923076923077;0.5714285714285714;0.0;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.6666666666666666;1.0;0.5;0.0;0.0;0.0;0.0;0.5;0.23529411764705882;0.5714285714285714;0.0;0.2857142857142857;0.47058823529411764;0.0;0.25;0.0;0.3076923076923077;0.5714285714285714;0.5263157894736842;0.0;0.625;0.0;0.0;0.0;0.46153846153846156;0.5714285714285714;0.0;0.11764705882352941;0.42857142857142855;0.21052631578947367;0.6666666666666666;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.3076923076923077;0.0;0.0;0.5;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.5555555555555556;0.11764705882352941;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.4;0.0;0.6666666666666666;0.0;0.0;0.2857142857142857;0.0;0.7142857142857143;0.0;0.5714285714285714;0.0;0.5714285714285714;0.0;0.15384615384615385
GO:0001934;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.4;0.5;0.0;0.0;0.23529411764705882;0.5882352941176471;0.4444444444444444;0.4444444444444444;0.47058823529411764;0.0;0.625;0.0;0.0;0.5454545454545454;0.0;0.4444444444444444;0.2;0.0;0.5882352941176471;0.47058823529411764;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.38095238095238093;0.23529411764705882;0.4444444444444444;0.0;0.0;0.47619047619047616;0.0;0.0;0.0;0.0;0.42105263157894735;0.5;1.0;0.0;0.0;0.0;0.0;0.4;0.7619047619047619;0.4444444444444444;0.0;0.2222222222222222;0.47619047619047616;0.0;0.2;0.0;0.23529411764705882;0.4444444444444444;0.6086956521739131;0.0;0.4;0.0;0.0;0.0;0.35294117647058826;0.4444444444444444;0.0;0.38095238095238093;0.7777777777777778;0.782608695652174;0.42105263157894735;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.23529411764705882;0.0;0.0;0.5833333333333334;0.0;0.0;0.0;0.45454545454545453;0.0;0.0;0.36363636363636365;0.47619047619047616;0.0;0.0;0.0;0.0;0.3157894736842105;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.5;0.0;0.0;0.2222222222222222;0.0;0.4444444444444444;0.0;0.5555555555555556;0.0;0.5555555555555556;0.0;0.11764705882352941
GO:0010248;0.0;0.5882352941176471;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.75;0.0;0.7058823529411765;0.0;0.0;0.0;0.0;0.8571428571428571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714
GO:0050900;0.14285714285714285;0.0;0.0;0.15384615384615385;0.0;0.1;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.25;0.0;0.0;0.18181818181818182;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.125;0.15384615384615385;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.18181818181818182;0.14285714285714285;0.1111111111111111;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.11764705882352941;0.15384615384615385;0.0;0.0;0.0;0.0;1.0;0.3333333333333333;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.11764705882352941;0.15384615384615385;0.0;0.0;0.15384615384615385;0.125;0.3076923076923077;0.15384615384615385;0.15384615384615385;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.15384615384615385;0.125;0.15384615384615385;0.14285714285714285;0.0;0.11764705882352941;0.23529411764705882;0.0;0.125;0.1111111111111111;0.0;0.1111111111111111;0.14285714285714285;0.16666666666666666;0.0;0.15384615384615385;0.125;0.1111111111111111;0.11764705882352941;0.15384615384615385;0.14285714285714285;0.15384615384615385;0.16666666666666666;0.0;0.125;0.15384615384615385;0.1111111111111111;0.125;0.0;0.16666666666666666;0.16666666666666666;0.18181818181818182;0.0;0.0;0.15384615384615385;0.0;0.36363636363636365;0.0;0.18181818181818182;0.0;0.15384615384615385;0.0
GO:0019730;0.2857142857142857;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.5;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.3333333333333333;1.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.25;0.7692307692307693;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.3076923076923077;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.2222222222222222;0.0;0.3076923076923077;0.2857142857142857;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8333333333333334;0.0;0.0;0.0;0.5454545454545454;0.0;0.36363636363636365;0.0;0.0;0.0
GO:0071549;0.3333333333333333;0.0;0.0;0.47058823529411764;0.0;0.16666666666666666;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.2;0.0;0.0;0.13333333333333333;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.1;0.47058823529411764;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.13333333333333333;0.2222222222222222;0.18181818181818182;0.25;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.375;0.19047619047619047;0.5882352941176471;0.0;0.0;0.0;0.0;0.125;0.25;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.09523809523809523;0.23529411764705882;0.0;0.0;0.5882352941176471;0.3;0.23529411764705882;0.47058823529411764;0.11764705882352941;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.47058823529411764;0.2;0.47058823529411764;0.5555555555555556;0.0;0.19047619047619047;0.19047619047619047;0.0;0.2;0.18181818181818182;0.0;0.18181818181818182;0.2222222222222222;0.25;0.0;0.35294117647058826;0.2;0.2727272727272727;0.19047619047619047;0.35294117647058826;0.3333333333333333;0.5882352941176471;0.125;0.0;0.1;0.11764705882352941;0.18181818181818182;0.1;0.0;0.25;0.25;0.26666666666666666;0.25;0.0;0.11764705882352941;0.0;0.26666666666666666;0.0;0.6666666666666666;0.0;0.23529411764705882;0.0
GO:0017158;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.4;0.5;0.0;0.0;0.23529411764705882;0.47058823529411764;0.4444444444444444;0.4444444444444444;0.47058823529411764;0.0;0.5;0.0;0.0;0.36363636363636365;0.0;0.6666666666666666;0.2;0.0;0.47058823529411764;0.47058823529411764;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.47619047619047616;0.23529411764705882;0.4444444444444444;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.0;0.42105263157894735;0.5;0.4;0.0;0.0;0.0;0.0;1.0;0.19047619047619047;0.4444444444444444;0.0;0.2222222222222222;0.38095238095238093;0.0;0.2;0.0;0.23529411764705882;0.4444444444444444;0.34782608695652173;0.0;0.4;0.0;0.0;0.0;0.35294117647058826;0.4444444444444444;0.0;0.47619047619047616;0.3333333333333333;0.17391304347826086;0.42105263157894735;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.23529411764705882;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.36363636363636365;0.09523809523809523;0.0;0.0;0.0;0.0;0.3157894736842105;0.0;0.0;0.0;0.0;0.5263157894736842;0.0;0.5;0.0;0.0;0.2222222222222222;0.0;0.4444444444444444;0.0;0.4444444444444444;0.0;0.4444444444444444;0.0;0.11764705882352941
GO:0051438;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.45454545454545453;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.19047619047619047;0.23529411764705882;0.0;0.0;0.2222222222222222;0.5555555555555556;0.21052631578947367;0.21052631578947367;0.2222222222222222;0.0;0.23529411764705882;0.0;0.0;0.43478260869565216;0.0;0.21052631578947367;0.19047619047619047;0.0;0.2222222222222222;0.2222222222222222;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.18181818181818182;0.4444444444444444;0.21052631578947367;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.2;0.23529411764705882;0.7619047619047619;0.0;0.0;0.0;0.0;0.19047619047619047;1.0;0.21052631578947367;0.0;0.21052631578947367;0.18181818181818182;0.0;0.19047619047619047;0.0;0.2222222222222222;0.21052631578947367;0.3333333333333333;0.0;0.19047619047619047;0.0;0.0;0.0;0.2222222222222222;0.21052631578947367;0.0;0.09090909090909091;0.631578947368421;0.9166666666666666;0.2;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.0;0.2222222222222222;0.0;0.0;0.32;0.0;0.0;0.0;0.43478260869565216;0.0;0.0;0.17391304347826086;0.09090909090909091;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.2;0.0;0.11764705882352941;0.0;0.0;0.21052631578947367;0.0;0.21052631578947367;0.0;0.21052631578947367;0.0;0.21052631578947367;0.0;0.1111111111111111
GO:0010762;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.4444444444444444;0.5714285714285714;0.0;0.0;0.26666666666666666;0.5333333333333333;0.5;0.5;0.5333333333333333;0.0;0.5714285714285714;0.0;0.0;0.4;0.0;0.5;0.2222222222222222;0.0;0.5333333333333333;0.5333333333333333;0.0;0.0;0.125;0.0;0.0;0.0;0.42105263157894735;0.26666666666666666;0.5;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.47058823529411764;0.5714285714285714;0.4444444444444444;0.0;0.0;0.0;0.0;0.4444444444444444;0.21052631578947367;1.0;0.0;0.25;0.42105263157894735;0.0;0.2222222222222222;0.0;0.26666666666666666;0.5;0.38095238095238093;0.0;0.4444444444444444;0.0;0.0;0.0;0.4;0.5;0.0;0.10526315789473684;0.375;0.19047619047619047;0.47058823529411764;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.26666666666666666;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.4;0.0;0.0;0.4;0.10526315789473684;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.5714285714285714;0.0;0.0;0.25;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.13333333333333333
GO:0060442;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.26666666666666666;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285
GO:0003091;0.0;0.0;0.0;0.0;0.25;0.0;0.25;0.21052631578947367;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.2222222222222222;0.2857142857142857;0.0;0.0;0.4;0.26666666666666666;0.25;0.25;0.26666666666666666;0.0;0.2857142857142857;0.0;0.0;0.2;0.0;0.5;0.5555555555555556;0.0;0.26666666666666666;0.26666666666666666;0.0;0.0;0.125;0.0;0.0;0.0;0.21052631578947367;0.26666666666666666;0.25;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.23529411764705882;0.2857142857142857;0.2222222222222222;0.0;0.0;0.0;0.0;0.2222222222222222;0.21052631578947367;0.25;0.26666666666666666;1.0;0.21052631578947367;0.5333333333333333;0.5555555555555556;0.0;0.5333333333333333;0.25;0.19047619047619047;0.0;0.2222222222222222;0.0;0.0;0.0;0.26666666666666666;0.25;0.0;0.10526315789473684;0.25;0.19047619047619047;0.23529411764705882;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.5333333333333333;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.2;0.0;0.0;0.2;0.10526315789473684;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.14285714285714285;0.0;0.0;0.375;0.0;0.25;0.0;0.25;0.0;0.25;0.0;0.4
GO:1903288;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.38095238095238093;0.47058823529411764;0.0;0.0;0.2222222222222222;0.4444444444444444;0.42105263157894735;0.42105263157894735;0.4444444444444444;0.0;0.5882352941176471;0.0;0.0;0.34782608695652173;0.0;0.42105263157894735;0.19047619047619047;0.0;0.5555555555555556;0.4444444444444444;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.8181818181818182;0.2222222222222222;0.42105263157894735;0.0;0.0;0.9090909090909091;0.0;0.0;0.0;0.0;0.4;0.47058823529411764;0.47619047619047616;0.0;0.0;0.0;0.0;0.38095238095238093;0.18181818181818182;0.42105263157894735;0.0;0.21052631578947367;1.0;0.0;0.19047619047619047;0.0;0.2222222222222222;0.42105263157894735;0.3333333333333333;0.0;0.38095238095238093;0.0;0.0;0.0;0.3333333333333333;0.42105263157894735;0.0;0.36363636363636365;0.42105263157894735;0.4166666666666667;0.4;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.0;0.2222222222222222;0.0;0.0;0.32;0.0;0.0;0.0;0.34782608695652173;0.0;0.0;0.34782608695652173;0.09090909090909091;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.7;0.0;0.47058823529411764;0.0;0.0;0.21052631578947367;0.0;0.42105263157894735;0.0;0.5263157894736842;0.0;0.5263157894736842;0.0;0.1111111111111111
GO:0003097;0.0;0.47058823529411764;0.5333333333333333;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.5333333333333333;0.5;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.8571428571428571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.5333333333333333;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285
GO:0006883;0.2222222222222222;0.0;0.0;0.11764705882352941;0.2222222222222222;0.16666666666666666;0.0;0.19047619047619047;0.0;0.1111111111111111;0.0;0.0;0.19047619047619047;0.2;0.2;0.25;0.13333333333333333;0.13333333333333333;0.35294117647058826;0.23529411764705882;0.2222222222222222;0.2222222222222222;0.23529411764705882;0.2222222222222222;0.25;0.1;0.23529411764705882;0.18181818181818182;0.0;0.3333333333333333;0.9;0.0;0.23529411764705882;0.23529411764705882;0.0;0.13333333333333333;0.2222222222222222;0.18181818181818182;0.25;0.0;0.19047619047619047;0.23529411764705882;0.2222222222222222;0.0;0.25;0.19047619047619047;0.0;0.25;0.19047619047619047;0.23529411764705882;0.21052631578947367;0.25;0.2;0.0;0.125;0.0;0.2;0.2;0.19047619047619047;0.2222222222222222;0.0;0.5555555555555556;0.19047619047619047;0.0;1.0;0.09523809523809523;0.5882352941176471;0.2222222222222222;0.17391304347826086;0.23529411764705882;0.2;0.0;0.23529411764705882;0.11764705882352941;0.23529411764705882;0.2222222222222222;0.0;0.09523809523809523;0.2222222222222222;0.17391304347826086;0.21052631578947367;0.11764705882352941;0.2;0.23529411764705882;0.2222222222222222;0.2;0.19047619047619047;0.19047619047619047;0.11764705882352941;0.2;0.18181818181818182;0.16666666666666666;0.18181818181818182;0.2222222222222222;0.25;0.18181818181818182;0.23529411764705882;0.2;0.18181818181818182;0.19047619047619047;0.23529411764705882;0.2222222222222222;0.23529411764705882;0.125;0.21052631578947367;0.1;0.11764705882352941;0.18181818181818182;0.1;0.21052631578947367;0.25;0.25;0.26666666666666666;0.0;0.3333333333333333;0.11764705882352941;0.2222222222222222;0.0;0.2222222222222222;0.26666666666666666;0.2222222222222222;0.23529411764705882;0.11764705882352941
