;GO:1902230;GO:1902430;GO:0002282;GO:0006883;GO:0042730;GO:0051092;GO:0045766;GO:1902998;GO:1902949;GO:0006957;GO:0002830;GO:0031638;GO:0006958;GO:0001867;GO:0043032;GO:0051607;GO:0032760;GO:0032689;GO:0010575;GO:0007186;GO:0032286;GO:0000902;GO:1903573;GO:0050729;GO:0043312;GO:1902004;GO:0006898;GO:1902847;GO:0010828;GO:0002686;GO:1905908;GO:0006888;GO:1905907;GO:0001798;GO:0010628;GO:0051131;GO:0001836;GO:0010866;GO:0010469;GO:0032436;GO:0032755;GO:0032753;GO:0032754;GO:0045429;GO:0038172;GO:0090197;GO:0097191;GO:0045944;GO:0009615;GO:0043687;GO:0001970;GO:0045745;GO:0002576;GO:0051024;GO:0051025;GO:0030449;GO:0043691;GO:0010951;GO:0032463;GO:0032464;GO:0048260;GO:0051788;GO:0016579;GO:1905892;GO:0061740;GO:0061741;GO:0090201;GO:0006351;GO:1905895;GO:1901216;GO:0006631;GO:0001774;GO:2000427;GO:0032736;GO:0045087;GO:0001934;GO:0006508;GO:0002826;GO:0050900;GO:0019730;GO:0017038;GO:0010884
GO:0001970;0.4;0.43852901558847923;0.0;0.23852901558847928;0.4;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.4;0.48300749985576874;0.6000000000000001;0.0;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.0;0.4;0.3660149997115376;0.43852901558847923;0.4;0.0;0.0;0.43852901558847923;0.5356143810225276;0.0;0.5356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.6000000000000001;0.0;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.0;0.0;0.4;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.4;0.4;0.4;0.48300749985576874;0.0;0.0;1.0;0.48300749985576874;0.0;0.5356143810225276;0.43852901558847923;0.8;0.0;0.43852901558847923;0.3356143810225276;0.4;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.4;0.43852901558847923;0.0;0.48300749985576874;0.0;0.4;0.0;0.0;0.0;0.48300749985576874
GO:0045745;0.48300749985576874;0.4;0.0;0.2599120563717816;0.43852901558847923;0.5356143810225276;0.48300749985576874;0.48300749985576874;0.3356143810225276;0.48300749985576874;0.6000000000000001;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.43852901558847923;0.4;0.48300749985576874;0.48300749985576874;0.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.48300749985576874;0.0;0.6830074998557688;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.4;0.3660149997115376;0.48300749985576874;0.0;0.0;0.43852901558847923;0.6830074998557688;0.3660149997115376;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.4;0.0;0.0;0.48300749985576874;1.0;0.0;0.48300749985576874;0.4;0.48300749985576874;0.0;0.3356143810225276;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.0;0.0;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.0;0.5356143810225276
GO:0002576;0.0;0.0;0.4;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.43852901558847923;0.0;0.0;0.6830074998557688;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.4;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.3660149997115376;0.0;0.0;1.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.43852901558847923;0.43852901558847923;0.0;0.4;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.4;0.0
GO:0051024;0.43852901558847923;0.4;0.0;0.21862188087829626;0.3356143810225276;0.43852901558847923;0.4;0.48300749985576874;0.3356143810225276;0.4;0.48300749985576874;0.0;0.4;0.4;0.48300749985576874;0.0;0.3660149997115376;0.3356143810225276;0.4;0.48300749985576874;0.0;0.0;0.48300749985576874;0.4;0.0;0.48300749985576874;0.0;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.4;0.43852901558847923;0.4;0.0;0.0;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.4;0.4;0.4;0.48300749985576874;0.4;0.6830074998557688;0.43852901558847923;0.3660149997115376;0.0;0.0;0.5356143810225276;0.48300749985576874;0.0;1.0;0.8;0.5356143810225276;0.0;0.3356143810225276;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.43852901558847923;0.4;0.0;0.43852901558847923;0.0;0.3356143810225276;0.0;0.0;0.0;0.43852901558847923
GO:0051025;0.5356143810225276;0.48300749985576874;0.0;0.21862188087829626;0.4;0.3660149997115376;0.3356143810225276;0.4;0.2830074998557688;0.3356143810225276;0.4;0.0;0.3660149997115376;0.3356143810225276;0.4;0.0;0.3081136762725405;0.4;0.3356143810225276;0.48300749985576874;0.0;0.0;0.6000000000000001;0.3356143810225276;0.0;0.4;0.0;0.43852901558847923;0.4;0.5356143810225276;0.4;0.0;0.48300749985576874;0.3660149997115376;0.3356143810225276;0.0;0.0;0.43852901558847923;0.43852901558847923;0.3081136762725405;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.4;0.4;0.5356143810225276;0.43852901558847923;0.3356143810225276;0.0;0.0;0.43852901558847923;0.4;0.0;0.8;1.0;0.5356143810225276;0.0;0.4;0.43852901558847923;0.3660149997115376;0.4;0.0;0.0;0.6000000000000001;0.0;0.0;0.43852901558847923;0.0;0.6000000000000001;0.43852901558847923;0.0;0.0;0.3660149997115376;0.3356143810225276;0.0;0.3660149997115376;0.0;0.4;0.0;0.0;0.0;0.3660149997115376
GO:0030449;0.48300749985576874;0.5356143810225276;0.0;0.2830074998557688;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.4;0.48300749985576874;0.6000000000000001;0.0;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.0;0.4;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.0;0.0;0.5356143810225276;0.6830074998557688;0.0;0.5356143810225276;0.0;0.5356143810225276;0.43852901558847923;0.6000000000000001;0.6000000000000001;0.0;0.6000000000000001;0.48300749985576874;0.6000000000000001;0.0;0.0;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.4;0.48300749985576874;0.48300749985576874;0.0;0.0;0.8;0.48300749985576874;0.0;0.5356143810225276;0.5356143810225276;1.0;0.0;0.5356143810225276;0.4;0.4;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.0;0.43852901558847923;0.0;0.5356143810225276;0.43852901558847923;0.0;0.0;0.4;0.43852901558847923;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874
GO:0043691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0
GO:0010951;0.43852901558847923;0.48300749985576874;0.0;0.23852901558847928;0.3660149997115376;0.4;0.3081136762725405;0.3356143810225276;0.3660149997115376;0.3081136762725405;0.3081136762725405;0.0;0.4;0.3081136762725405;0.3356143810225276;0.0;0.2830074998557688;0.3660149997115376;0.3081136762725405;0.4;0.0;0.0;0.48300749985576874;0.3081136762725405;0.0;0.43852901558847923;0.0;0.3660149997115376;0.3081136762725405;0.4;0.48300749985576874;0.0;0.5356143810225276;0.23852901558847928;0.43852901558847923;0.0;0.0;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.3081136762725405;0.3081136762725405;0.3081136762725405;0.4;0.4;0.3081136762725405;0.4;0.3660149997115376;0.0;0.0;0.43852901558847923;0.3356143810225276;0.0;0.3356143810225276;0.4;0.5356143810225276;0.0;1.0;0.3660149997115376;0.3081136762725405;0.3356143810225276;0.0;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.48300749985576874;0.3660149997115376;0.0;0.0;0.3081136762725405;0.3081136762725405;0.0;0.43852901558847923;0.0;0.3081136762725405;0.0;0.0;0.0;0.3660149997115376
GO:0032463;0.48300749985576874;0.43852901558847923;0.0;0.23852901558847928;0.4;0.4;0.3660149997115376;0.43852901558847923;0.2599120563717816;0.3081136762725405;0.3660149997115376;0.0;0.4;0.3081136762725405;0.3660149997115376;0.0;0.3356143810225276;0.4;0.3660149997115376;0.43852901558847923;0.0;0.0;0.5356143810225276;0.3660149997115376;0.0;0.3660149997115376;0.0;0.4;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.0;0.5356143810225276;0.2830074998557688;0.3660149997115376;0.0;0.0;0.4;0.4;0.2830074998557688;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.4;0.3356143810225276;0.4;0.3081136762725405;0.0;0.0;0.3356143810225276;0.3660149997115376;0.0;0.3660149997115376;0.43852901558847923;0.4;0.0;0.3660149997115376;1.0;0.8;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.0;0.48300749985576874;0.0;0.5356143810225276;0.4;0.0;0.0;0.4;0.3660149997115376;0.0;0.3356143810225276;0.0;0.3356143810225276;0.0;0.0;0.0;0.4
GO:0032464;0.4;0.3660149997115376;0.0;0.23852901558847928;0.3660149997115376;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.3081136762725405;0.3660149997115376;0.43852901558847923;0.0;0.4;0.3660149997115376;0.43852901558847923;0.0;0.4;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.0;0.4;0.43852901558847923;0.4;0.5356143810225276;0.0;0.43852901558847923;0.3356143810225276;0.43852901558847923;0.0;0.0;0.4;0.4;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.4;0.4;0.4;0.3660149997115376;0.0;0.0;0.4;0.43852901558847923;0.0;0.43852901558847923;0.3660149997115376;0.4;0.0;0.3081136762725405;0.8;1.0;0.5356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;0.4;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.48300749985576874;0.43852901558847923;0.0;0.4;0.0;0.3081136762725405;0.0;0.0;0.0;0.48300749985576874
GO:0048260;0.43852901558847923;0.4;0.0;0.2599120563717816;0.4;0.5356143810225276;0.48300749985576874;0.6000000000000001;0.3356143810225276;0.4;0.48300749985576874;0.0;0.43852901558847923;0.4;0.48300749985576874;0.0;0.43852901558847923;0.4;0.48300749985576874;0.48300749985576874;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.0;0.43852901558847923;0.6000000000000001;0.43852901558847923;0.6000000000000001;0.0;0.48300749985576874;0.3660149997115376;0.48300749985576874;0.0;0.0;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.4;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.48300749985576874;0.4;0.43852901558847923;0.0;0.3356143810225276;0.43852901558847923;0.5356143810225276;1.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.6830074998557688;0.48300749985576874;0.0;0.43852901558847923;0.0;0.3356143810225276;0.0;0.0;0.0;0.5356143810225276
GO:0051788;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.6000000000000001;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0
GO:0016579;0.0;0.0;0.43852901558847923;0.2599120563717816;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.6000000000000001;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.43852901558847923;0.3356143810225276;0.0;0.0;0.0;0.0;0.8;0.0;0.43852901558847923;0.0;0.0;0.0
GO:1905892;0.6830074998557688;0.6000000000000001;0.0;0.2830074998557688;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.3356143810225276;0.43852901558847923;0.5356143810225276;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.4;0.5356143810225276;0.43852901558847923;0.6000000000000001;0.0;0.0;0.8;0.5356143810225276;0.0;0.48300749985576874;0.0;0.6000000000000001;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.0;0.6000000000000001;0.3356143810225276;0.43852901558847923;0.0;0.0;0.5356143810225276;0.6000000000000001;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.4;0.0;0.0;0.43852901558847923;0.5356143810225276;0.0;0.48300749985576874;0.6000000000000001;0.5356143810225276;0.0;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.0;0.0;1.0;0.0;0.0;0.6000000000000001;0.0;0.8;0.5356143810225276;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.0;0.5356143810225276;0.0;0.0;0.0;0.48300749985576874
GO:0061740;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0
GO:0061741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0
GO:0090201;0.6830074998557688;0.43852901558847923;0.0;0.21862188087829626;0.43852901558847923;0.3660149997115376;0.3356143810225276;0.43852901558847923;0.2599120563717816;0.3660149997115376;0.43852901558847923;0.0;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.0;0.3081136762725405;0.4;0.3356143810225276;0.43852901558847923;0.0;0.0;0.6000000000000001;0.43852901558847923;0.0;0.3660149997115376;0.0;0.6000000000000001;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.0;0.5356143810225276;0.2830074998557688;0.3356143810225276;0.0;0.0;0.4;0.6000000000000001;0.2830074998557688;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.3660149997115376;0.3660149997115376;0.3356143810225276;0.4;0.3081136762725405;0.0;0.0;0.3660149997115376;0.5356143810225276;0.0;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.0;0.3660149997115376;0.48300749985576874;0.4;0.43852901558847923;0.0;0.0;0.6000000000000001;0.0;0.0;1.0;0.0;0.6000000000000001;0.43852901558847923;0.0;0.0;0.4;0.3356143810225276;0.0;0.3356143810225276;0.0;0.43852901558847923;0.0;0.0;0.0;0.3660149997115376
GO:0006351;0.0;0.0;0.8;0.4;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.8;0.8;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.5356143810225276;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.6000000000000001;0.5356143810225276;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.8;0.0;0.0;0.0
GO:1905895;0.6830074998557688;0.6000000000000001;0.0;0.2830074998557688;0.5356143810225276;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.3356143810225276;0.43852901558847923;0.5356143810225276;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.4;0.5356143810225276;0.43852901558847923;0.6000000000000001;0.0;0.0;0.8;0.5356143810225276;0.0;0.48300749985576874;0.0;0.6000000000000001;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.0;0.6000000000000001;0.3356143810225276;0.43852901558847923;0.0;0.0;0.5356143810225276;0.6000000000000001;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.4;0.0;0.0;0.43852901558847923;0.5356143810225276;0.0;0.48300749985576874;0.6000000000000001;0.5356143810225276;0.0;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.0;0.0;0.8;0.0;0.0;0.6000000000000001;0.0;1.0;0.5356143810225276;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.0;0.5356143810225276;0.0;0.0;0.0;0.48300749985576874
GO:1901216;0.48300749985576874;0.43852901558847923;0.0;0.2599120563717816;0.4;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.3660149997115376;0.4;0.48300749985576874;0.0;0.43852901558847923;0.4;0.5356143810225276;0.0;0.43852901558847923;0.4;0.48300749985576874;0.5356143810225276;0.0;0.0;0.5356143810225276;0.48300749985576874;0.0;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.0;0.43852901558847923;0.3660149997115376;0.48300749985576874;0.0;0.0;0.48300749985576874;0.48300749985576874;0.4;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.4;0.0;0.0;0.43852901558847923;0.5356143810225276;0.0;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.0;0.3660149997115376;0.4;0.48300749985576874;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.0;0.43852901558847923;0.0;0.5356143810225276;1.0;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.0;0.3356143810225276;0.0;0.0;0.0;0.5356143810225276
GO:0006631;0.0;0.0;0.5356143810225276;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.6000000000000001;0.5356143810225276;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.6000000000000001;0.0;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;1.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.0
GO:0001774;0.0;0.0;1.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.6000000000000001;0.6000000000000001;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.6000000000000001;0.0;0.0;0.4;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.48300749985576874;1.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.43852901558847923;0.0;0.0
GO:2000427;0.4;0.3660149997115376;0.0;0.23852901558847928;0.3660149997115376;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.3081136762725405;0.3660149997115376;0.43852901558847923;0.0;0.4;0.3660149997115376;0.43852901558847923;0.0;0.4;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.0;0.4;0.5356143810225276;0.4;0.5356143810225276;0.0;0.43852901558847923;0.3356143810225276;0.43852901558847923;0.0;0.0;0.4;0.4;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.4;0.4;0.4;0.3660149997115376;0.0;0.0;0.4;0.43852901558847923;0.0;0.43852901558847923;0.3660149997115376;0.4;0.0;0.3081136762725405;0.4;0.48300749985576874;0.6830074998557688;0.0;0.0;0.43852901558847923;0.0;0.0;0.4;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;1.0;0.43852901558847923;0.0;0.4;0.0;0.3081136762725405;0.0;0.0;0.0;0.48300749985576874
GO:0032736;0.4;0.3660149997115376;0.0;0.2599120563717816;0.43852901558847923;0.5356143810225276;0.6000000000000001;0.48300749985576874;0.3081136762725405;0.4;0.48300749985576874;0.0;0.43852901558847923;0.4;0.48300749985576874;0.0;0.6830074998557688;0.6000000000000001;0.8;0.43852901558847923;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.0;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.3660149997115376;0.3660149997115376;0.48300749985576874;0.0;0.0;0.4;0.43852901558847923;0.3356143810225276;0.8;0.8;0.8;0.43852901558847923;0.43852901558847923;0.6830074998557688;0.43852901558847923;0.4;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.4;0.3356143810225276;0.43852901558847923;0.0;0.3081136762725405;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.43852901558847923;1.0;0.0;0.4;0.0;0.3356143810225276;0.0;0.0;0.0;0.5356143810225276
GO:0045087;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.8;1.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;1.0;0.0;0.0;0.0;0.6830074998557688;0.6830074998557688;0.0;0.0
GO:0001934;0.4;0.43852901558847923;0.0;0.21862188087829626;0.3356143810225276;0.43852901558847923;0.4;0.43852901558847923;0.8;0.3356143810225276;0.4;0.0;0.3660149997115376;0.3356143810225276;0.43852901558847923;0.0;0.3660149997115376;0.3356143810225276;0.4;0.43852901558847923;0.0;0.0;0.43852901558847923;0.4;0.0;0.5356143810225276;0.0;0.4;0.4;0.3660149997115376;0.6000000000000001;0.0;0.48300749985576874;0.3081136762725405;0.5356143810225276;0.0;0.0;0.48300749985576874;0.4;0.48300749985576874;0.4;0.4;0.4;0.5356143810225276;0.3660149997115376;0.4;0.4;0.43852901558847923;0.0;0.0;0.48300749985576874;0.43852901558847923;0.0;0.43852901558847923;0.3660149997115376;0.48300749985576874;0.0;0.43852901558847923;0.3356143810225276;0.4;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.4;0.4;0.0;1.0;0.0;0.2830074998557688;0.0;0.0;0.0;0.43852901558847923
GO:0006508;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.8;0.6000000000000001;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
