;GO:0060441;GO:0007172;GO:0040036;GO:0014068;GO:1905065;GO:0021955;GO:0030072;GO:0007173;GO:0022408;GO:0007097;GO:0007179;GO:0006883;GO:0006685;GO:0043542;GO:0022009;GO:0002244;GO:0045766;GO:0001300;GO:0032967;GO:0030509;GO:0001947;GO:0010613;GO:0019367;GO:0034626;GO:0034625;GO:0031953;GO:0030148;GO:0051964;GO:0060396;GO:0010594;GO:0043552;GO:0007224;GO:1900024;GO:0000226;GO:0046621;GO:0006898;GO:0003222;GO:0010629;GO:0048010;GO:0051893;GO:0007219;GO:0045860;GO:0010507;GO:0048013;GO:0070278;GO:0017015;GO:0051897;GO:0010862;GO:0030336;GO:0016567;GO:0030335;GO:0008360;GO:2000060;GO:1903543;GO:0008284;GO:0003273;GO:0001570;GO:0038096;GO:0003198;GO:1905007;GO:0045944;GO:0001890;GO:0045667;GO:0000165;GO:0007229;GO:0050771;GO:2000811;GO:0001569;GO:0038007;GO:0071559;GO:0009584;GO:0006351;GO:0038083;GO:0042761;GO:0045879;GO:0097084;GO:0030513;GO:0071260;GO:0043066;GO:0045087;GO:0006508;GO:0031960;GO:0016266;GO:2000304
GO:0016567;0.0;0.11764705882352941;0.0;0.0;0.0;0.2;0.21052631578947367;0.2;0.0;0.0;0.21052631578947367;0.2;0.42105263157894735;0.1111111111111111;0.25;0.13333333333333333;0.0;0.26666666666666666;0.0;0.18181818181818182;0.0;0.0;0.2857142857142857;0.2727272727272727;0.2727272727272727;0.0;0.4444444444444444;0.0;0.21052631578947367;0.0;0.0;0.23529411764705882;0.0;0.25;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.23529411764705882;0.0;0.0;0.21052631578947367;0.23529411764705882;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.13333333333333333;0.19047619047619047;0.1111111111111111;0.0;0.0;0.0;0.0;0.7;0.23529411764705882;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.4;0.6666666666666666;0.3;0.0;0.25;0.0;0.25;0.0;0.0;0.625;0.0;0.5;0.0
GO:0030335;0.0;0.13333333333333333;0.5333333333333333;0.47058823529411764;0.47058823529411764;0.0;0.11764705882352941;0.1111111111111111;0.5333333333333333;0.0;0.11764705882352941;0.2222222222222222;0.0;0.0;0.0;0.0;0.5;0.0;0.5333333333333333;0.1;0.0;0.47058823529411764;0.0;0.0;0.0;0.42105263157894735;0.0;0.25;0.11764705882352941;0.8235294117647058;0.4;0.13333333333333333;0.375;0.0;0.4;0.0;0.0;0.4;0.11764705882352941;0.5;0.13333333333333333;0.5263157894736842;0.5;0.11764705882352941;0.0;0.5;0.47058823529411764;0.42105263157894735;0.875;0.0;1.0;0.26666666666666666;0.5263157894736842;0.4444444444444444;0.7142857142857143;0.0;0.0;0.10526315789473684;0.0;0.47058823529411764;0.4;0.0;0.5714285714285714;0.1111111111111111;0.13333333333333333;0.10526315789473684;0.47058823529411764;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.38095238095238093;0.0;0.5;0.0;0.0;0.0;0.0;0.5555555555555556
GO:0008360;0.0;0.14285714285714285;0.5714285714285714;0.25;0.5;0.0;0.125;0.11764705882352941;0.2857142857142857;0.0;0.125;0.35294117647058826;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.2857142857142857;0.10526315789473684;0.0;0.25;0.0;0.0;0.0;0.4444444444444444;0.0;0.26666666666666666;0.125;0.25;0.21052631578947367;0.14285714285714285;0.8;0.0;0.2857142857142857;0.0;0.0;0.2857142857142857;0.125;0.6666666666666666;0.14285714285714285;0.2222222222222222;0.5333333333333333;0.125;0.0;0.5333333333333333;0.25;0.4444444444444444;0.26666666666666666;0.0;0.26666666666666666;1.0;0.4444444444444444;0.23529411764705882;0.6153846153846154;0.0;0.0;0.1111111111111111;0.0;0.625;0.21052631578947367;0.0;0.6153846153846154;0.11764705882352941;0.14285714285714285;0.1111111111111111;0.5;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.2;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.47058823529411764
GO:2000060;0.0;0.4444444444444444;0.4444444444444444;0.5;0.4;0.0;0.1;0.09523809523809523;0.4444444444444444;0.0;0.1;0.19047619047619047;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.5555555555555556;0.43478260869565216;0.0;0.4;0.0;0.0;0.0;0.6363636363636364;0.0;0.21052631578947367;0.1;0.3;0.43478260869565216;0.4444444444444444;0.42105263157894735;0.0;0.3333333333333333;0.0;0.0;0.5555555555555556;0.1;0.42105263157894735;0.4444444444444444;0.7272727272727273;0.631578947368421;0.1;0.0;0.42105263157894735;0.5;0.7272727272727273;0.42105263157894735;0.0;0.5263157894736842;0.4444444444444444;1.0;0.38095238095238093;0.5882352941176471;0.0;0.0;0.09090909090909091;0.0;0.5;0.5217391304347826;0.0;0.47058823529411764;0.38095238095238093;0.4444444444444444;0.36363636363636365;0.4;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.4166666666666667;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.5714285714285714
GO:1903543;0.0;0.11764705882352941;0.47058823529411764;0.42105263157894735;0.42105263157894735;0.0;0.10526315789473684;0.1;0.35294117647058826;0.0;0.10526315789473684;0.2;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.47058823529411764;0.09090909090909091;0.0;0.42105263157894735;0.0;0.0;0.0;0.38095238095238093;0.0;0.4444444444444444;0.10526315789473684;0.3157894736842105;0.36363636363636365;0.11764705882352941;0.3333333333333333;0.0;0.35294117647058826;0.0;0.0;0.35294117647058826;0.10526315789473684;0.4444444444444444;0.11764705882352941;0.38095238095238093;0.4444444444444444;0.10526315789473684;0.0;0.4444444444444444;0.42105263157894735;0.38095238095238093;0.3333333333333333;0.0;0.4444444444444444;0.23529411764705882;0.38095238095238093;1.0;0.5;0.0;0.0;0.09523809523809523;0.0;0.42105263157894735;0.36363636363636365;0.0;0.5;0.1;0.11764705882352941;0.09523809523809523;0.42105263157894735;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.34782608695652173;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.4
GO:0008284;0.0;0.6153846153846154;0.6153846153846154;0.6666666666666666;0.5333333333333333;0.0;0.13333333333333333;0.125;0.6153846153846154;0.0;0.13333333333333333;0.25;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.6153846153846154;0.1111111111111111;0.0;0.5333333333333333;0.0;0.0;0.0;0.47058823529411764;0.0;0.2857142857142857;0.13333333333333333;0.4;0.4444444444444444;0.6153846153846154;0.5714285714285714;0.0;0.46153846153846156;0.0;0.0;0.46153846153846156;0.13333333333333333;0.5714285714285714;0.6153846153846154;0.5882352941176471;0.5714285714285714;0.13333333333333333;0.0;0.5714285714285714;0.6666666666666666;0.5882352941176471;0.5714285714285714;0.0;0.7142857142857143;0.6153846153846154;0.5882352941176471;0.5;1.0;0.0;0.0;0.11764705882352941;0.0;0.6666666666666666;0.5555555555555556;0.0;0.6666666666666666;0.5;0.6153846153846154;0.11764705882352941;0.5333333333333333;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.5263157894736842;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.625
GO:0003273;0.0;0.14285714285714285;0.0;0.0;0.0;0.11764705882352941;0.125;0.11764705882352941;0.0;0.0;0.125;0.11764705882352941;0.125;0.13333333333333333;0.15384615384615385;0.16666666666666666;0.0;0.16666666666666666;0.0;0.10526315789473684;0.0;0.0;0.1111111111111111;0.10526315789473684;0.10526315789473684;0.0;0.13333333333333333;0.0;0.125;0.0;0.0;0.14285714285714285;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.0;0.0;0.125;0.14285714285714285;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;1.0;0.16666666666666666;0.1111111111111111;0.13333333333333333;0.0;0.0;0.0;0.0;0.11764705882352941;0.14285714285714285;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.11764705882352941;0.1111111111111111;0.11764705882352941;0.0;0.15384615384615385;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.11764705882352941;0.0
GO:0001570;0.15384615384615385;0.16666666666666666;0.0;0.0;0.0;0.13333333333333333;0.14285714285714285;0.13333333333333333;0.0;0.0;0.14285714285714285;0.13333333333333333;0.14285714285714285;0.15384615384615385;0.9090909090909091;0.2;0.0;0.4;0.0;0.11764705882352941;0.15384615384615385;0.0;0.125;0.11764705882352941;0.11764705882352941;0.0;0.15384615384615385;0.0;0.14285714285714285;0.0;0.0;0.16666666666666666;0.0;0.18181818181818182;0.0;0.0;0.15384615384615385;0.0;0.14285714285714285;0.0;0.16666666666666666;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;1.0;0.125;0.15384615384615385;0.0;0.0;0.2;0.0;0.13333333333333333;0.16666666666666666;0.0;0.0;0.15384615384615385;0.16666666666666666;0.0;0.0;0.13333333333333333;0.125;0.13333333333333333;0.0;0.18181818181818182;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.13333333333333333;0.0
GO:0038096;0.0;0.1111111111111111;0.1111111111111111;0.1;0.1;0.09523809523809523;0.1;0.09523809523809523;0.1111111111111111;0.0;0.1;0.19047619047619047;0.2;0.10526315789473684;0.11764705882352941;0.125;0.10526315789473684;0.25;0.1111111111111111;0.08695652173913043;0.0;0.1;0.18181818181818182;0.17391304347826086;0.17391304347826086;0.09090909090909091;0.21052631578947367;0.10526315789473684;0.1;0.1;0.08695652173913043;0.1111111111111111;0.10526315789473684;0.23529411764705882;0.1111111111111111;0.0;0.0;0.1111111111111111;0.1;0.10526315789473684;0.1111111111111111;0.09090909090909091;0.10526315789473684;0.1;0.1111111111111111;0.10526315789473684;0.1;0.09090909090909091;0.10526315789473684;0.19047619047619047;0.10526315789473684;0.1111111111111111;0.09090909090909091;0.09523809523809523;0.11764705882352941;0.1111111111111111;0.125;1.0;0.10526315789473684;0.1;0.08695652173913043;0.0;0.11764705882352941;0.09523809523809523;0.1111111111111111;0.09090909090909091;0.1;0.0;0.1111111111111111;0.0;0.0;0.09523809523809523;0.18181818181818182;0.19047619047619047;0.10526315789473684;0.11764705882352941;0.08333333333333333;0.11764705882352941;0.10526315789473684;0.125;0.0;0.0;0.09523809523809523;0.09523809523809523
GO:0003198;0.125;0.13333333333333333;0.0;0.0;0.0;0.1111111111111111;0.11764705882352941;0.1111111111111111;0.0;0.0;0.11764705882352941;0.1111111111111111;0.11764705882352941;0.125;0.14285714285714285;0.15384615384615385;0.0;0.3076923076923077;0.0;0.1;0.125;0.0;0.10526315789473684;0.1;0.1;0.0;0.125;0.0;0.11764705882352941;0.0;0.0;0.13333333333333333;0.0;0.14285714285714285;0.0;0.0;0.125;0.0;0.11764705882352941;0.0;0.13333333333333333;0.0;0.0;0.11764705882352941;0.13333333333333333;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.15384615384615385;0.10526315789473684;1.0;0.0;0.0;0.15384615384615385;0.0;0.1111111111111111;0.13333333333333333;0.0;0.0;0.125;0.13333333333333333;0.0;0.0;0.1111111111111111;0.10526315789473684;0.1111111111111111;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.1111111111111111;0.0
GO:1905007;0.0;0.125;0.5;0.4444444444444444;0.5555555555555556;0.0;0.1111111111111111;0.10526315789473684;0.5;0.0;0.1111111111111111;0.21052631578947367;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.5;0.09523809523809523;0.0;0.5555555555555556;0.0;0.0;0.0;0.4;0.0;0.23529411764705882;0.1111111111111111;0.4444444444444444;0.38095238095238093;0.125;0.5882352941176471;0.0;0.5;0.0;0.0;0.375;0.1111111111111111;0.47058823529411764;0.125;0.5;0.47058823529411764;0.1111111111111111;0.0;0.47058823529411764;0.4444444444444444;0.4;0.47058823529411764;0.0;0.47058823529411764;0.625;0.5;0.42105263157894735;0.6666666666666666;0.0;0.0;0.1;0.0;1.0;0.38095238095238093;0.0;0.6666666666666666;0.10526315789473684;0.125;0.1;0.4444444444444444;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.36363636363636365;0.0;0.47058823529411764;0.0;0.0;0.0;0.0;0.5263157894736842
GO:0045944;0.0;0.10526315789473684;0.42105263157894735;0.38095238095238093;0.38095238095238093;0.0;0.09523809523809523;0.09090909090909091;0.42105263157894735;0.0;0.09523809523809523;0.18181818181818182;0.0;0.0;0.0;0.0;0.4;0.0;0.5263157894736842;0.9166666666666666;0.0;0.38095238095238093;0.0;0.0;0.0;0.43478260869565216;0.0;0.2;0.09523809523809523;0.2857142857142857;0.4166666666666667;0.10526315789473684;0.3;0.0;0.3157894736842105;0.0;0.0;0.631578947368421;0.09523809523809523;0.4;0.10526315789473684;0.5217391304347826;0.5;0.09523809523809523;0.0;0.4;0.38095238095238093;0.5217391304347826;0.4;0.0;0.4;0.21052631578947367;0.5217391304347826;0.36363636363636365;0.5555555555555556;0.0;0.0;0.08695652173913043;0.0;0.38095238095238093;1.0;0.0;0.4444444444444444;0.36363636363636365;0.42105263157894735;0.08695652173913043;0.38095238095238093;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.88;0.0;0.4;0.0;0.0;0.0;0.0;0.6363636363636364
GO:0001890;0.15384615384615385;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.2;0.0;0.4;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.15384615384615385;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045667;0.0;0.6153846153846154;0.6153846153846154;0.5333333333333333;0.5333333333333333;0.0;0.13333333333333333;0.125;0.6153846153846154;0.0;0.13333333333333333;0.25;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.46153846153846156;0.1111111111111111;0.0;0.5333333333333333;0.0;0.0;0.0;0.47058823529411764;0.0;0.2857142857142857;0.13333333333333333;0.5333333333333333;0.4444444444444444;0.6153846153846154;0.7142857142857143;0.0;0.6153846153846154;0.0;0.0;0.46153846153846156;0.13333333333333333;0.5714285714285714;0.6153846153846154;0.47058823529411764;0.5714285714285714;0.13333333333333333;0.0;0.5714285714285714;0.5333333333333333;0.47058823529411764;0.5714285714285714;0.0;0.5714285714285714;0.6153846153846154;0.47058823529411764;0.5;0.6666666666666666;0.0;0.0;0.11764705882352941;0.0;0.6666666666666666;0.4444444444444444;0.0;1.0;0.5;0.6153846153846154;0.5882352941176471;0.5333333333333333;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.42105263157894735;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.5
GO:0000165;0.0;0.11764705882352941;0.47058823529411764;0.10526315789473684;0.10526315789473684;0.1;0.10526315789473684;0.1;0.11764705882352941;0.0;0.10526315789473684;0.2;0.21052631578947367;0.1111111111111111;0.125;0.13333333333333333;0.1111111111111111;0.26666666666666666;0.11764705882352941;0.09090909090909091;0.0;0.10526315789473684;0.19047619047619047;0.18181818181818182;0.18181818181818182;0.38095238095238093;0.2222222222222222;0.1111111111111111;0.10526315789473684;0.10526315789473684;0.09090909090909091;0.11764705882352941;0.1111111111111111;0.25;0.11764705882352941;0.0;0.0;0.11764705882352941;0.10526315789473684;0.4444444444444444;0.11764705882352941;0.09523809523809523;0.4444444444444444;0.10526315789473684;0.11764705882352941;0.4444444444444444;0.10526315789473684;0.38095238095238093;0.1111111111111111;0.7;0.1111111111111111;0.11764705882352941;0.38095238095238093;0.1;0.5;0.11764705882352941;0.13333333333333333;0.09523809523809523;0.1111111111111111;0.10526315789473684;0.36363636363636365;0.0;0.5;1.0;0.11764705882352941;0.09523809523809523;0.42105263157894735;0.0;0.11764705882352941;0.0;0.0;0.1;0.7619047619047619;0.2;0.4444444444444444;0.125;0.34782608695652173;0.125;0.4444444444444444;0.0;0.125;0.0;0.1;0.4
GO:0007229;0.0;0.14285714285714285;0.5714285714285714;0.125;0.125;0.11764705882352941;0.125;0.11764705882352941;0.14285714285714285;0.0;0.125;0.23529411764705882;0.25;0.13333333333333333;0.15384615384615385;0.16666666666666666;0.13333333333333333;0.3333333333333333;0.14285714285714285;0.10526315789473684;0.0;0.125;0.2222222222222222;0.21052631578947367;0.21052631578947367;0.4444444444444444;0.26666666666666666;0.13333333333333333;0.125;0.125;0.10526315789473684;0.14285714285714285;0.13333333333333333;0.3076923076923077;0.14285714285714285;0.0;0.0;0.14285714285714285;0.125;0.5333333333333333;0.14285714285714285;0.1111111111111111;0.5333333333333333;0.125;0.14285714285714285;0.5333333333333333;0.125;0.4444444444444444;0.13333333333333333;0.23529411764705882;0.13333333333333333;0.14285714285714285;0.4444444444444444;0.11764705882352941;0.6153846153846154;0.14285714285714285;0.16666666666666666;0.1111111111111111;0.13333333333333333;0.125;0.42105263157894735;0.0;0.6153846153846154;0.11764705882352941;1.0;0.1111111111111111;0.5;0.0;0.14285714285714285;0.0;0.0;0.11764705882352941;0.2222222222222222;0.23529411764705882;0.13333333333333333;0.15384615384615385;0.1;0.15384615384615385;0.5333333333333333;0.0;0.0;0.0;0.11764705882352941;0.47058823529411764
GO:0050771;0.0;0.1111111111111111;0.1111111111111111;0.1;0.1;0.0;0.1;0.09523809523809523;0.5555555555555556;0.0;0.1;0.09523809523809523;0.0;0.0;0.0;0.0;0.5263157894736842;0.0;0.1111111111111111;0.08695652173913043;0.0;0.1;0.0;0.0;0.0;0.45454545454545453;0.0;0.10526315789473684;0.1;0.1;0.08695652173913043;0.1111111111111111;0.7368421052631579;0.0;0.1111111111111111;0.0;0.0;0.1111111111111111;0.1;0.5263157894736842;0.1111111111111111;0.09090909090909091;0.5263157894736842;0.1;0.0;0.10526315789473684;0.1;0.09090909090909091;0.5263157894736842;0.0;0.10526315789473684;0.1111111111111111;0.36363636363636365;0.09523809523809523;0.11764705882352941;0.0;0.0;0.09090909090909091;0.0;0.1;0.08695652173913043;0.0;0.5882352941176471;0.09523809523809523;0.1111111111111111;1.0;0.5;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.5263157894736842;0.0;0.08333333333333333;0.0;0.5263157894736842;0.0;0.0;0.0;0.0;0.38095238095238093
GO:2000811;0.0;0.5;0.5;0.4444444444444444;0.4444444444444444;0.0;0.1111111111111111;0.10526315789473684;0.625;0.0;0.1111111111111111;0.21052631578947367;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.375;0.09523809523809523;0.0;0.3333333333333333;0.0;0.0;0.0;0.5;0.0;0.5882352941176471;0.1111111111111111;0.3333333333333333;0.38095238095238093;0.5;0.47058823529411764;0.0;0.5;0.0;0.0;0.5;0.1111111111111111;0.47058823529411764;0.5;0.4;0.5882352941176471;0.1111111111111111;0.0;0.47058823529411764;0.4444444444444444;0.4;0.5882352941176471;0.0;0.47058823529411764;0.5;0.4;0.42105263157894735;0.5333333333333333;0.0;0.0;0.1;0.0;0.4444444444444444;0.38095238095238093;0.0;0.5333333333333333;0.42105263157894735;0.5;0.5;1.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.5882352941176471;0.0;0.36363636363636365;0.0;0.9411764705882353;0.0;0.0;0.0;0.0;0.42105263157894735
GO:0001569;0.125;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.15384615384615385;0.0;0.3076923076923077;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.125;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0038007;0.0;0.14285714285714285;0.5714285714285714;0.125;0.125;0.11764705882352941;0.125;0.11764705882352941;0.14285714285714285;0.0;0.125;0.23529411764705882;0.25;0.13333333333333333;0.15384615384615385;0.16666666666666666;0.13333333333333333;0.3333333333333333;0.14285714285714285;0.10526315789473684;0.0;0.125;0.2222222222222222;0.21052631578947367;0.21052631578947367;0.4444444444444444;0.26666666666666666;0.13333333333333333;0.125;0.125;0.10526315789473684;0.14285714285714285;0.13333333333333333;0.3076923076923077;0.14285714285714285;0.0;0.0;0.14285714285714285;0.125;0.5333333333333333;0.14285714285714285;0.1111111111111111;0.5333333333333333;0.125;0.14285714285714285;0.5333333333333333;0.125;0.4444444444444444;0.13333333333333333;0.23529411764705882;0.13333333333333333;0.14285714285714285;0.4444444444444444;0.11764705882352941;0.6153846153846154;0.14285714285714285;0.16666666666666666;0.1111111111111111;0.13333333333333333;0.125;0.42105263157894735;0.0;0.6153846153846154;0.11764705882352941;0.14285714285714285;0.1111111111111111;0.5;0.0;1.0;0.0;0.0;0.11764705882352941;0.2222222222222222;0.23529411764705882;0.13333333333333333;0.15384615384615385;0.1;0.15384615384615385;0.5333333333333333;0.0;0.0;0.0;0.11764705882352941;0.47058823529411764
GO:0071559;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.36363636363636365;0.0;0.46153846153846156;0.0;0.0
GO:0009584;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.0;0.3333333333333333;0.0;0.2857142857142857;0.0;0.0
GO:0006351;0.0;0.11764705882352941;0.0;0.0;0.0;0.1;0.10526315789473684;0.1;0.0;0.0;0.10526315789473684;0.1;0.3157894736842105;0.1111111111111111;0.125;0.13333333333333333;0.0;0.13333333333333333;0.0;0.09090909090909091;0.0;0.0;0.2857142857142857;0.2727272727272727;0.2727272727272727;0.0;0.4444444444444444;0.0;0.10526315789473684;0.0;0.0;0.11764705882352941;0.0;0.125;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.11764705882352941;0.0;0.0;0.10526315789473684;0.11764705882352941;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.13333333333333333;0.09523809523809523;0.1111111111111111;0.0;0.0;0.0;0.0;0.1;0.11764705882352941;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;1.0;0.38095238095238093;0.3;0.0;0.125;0.0;0.125;0.0;0.0;0.5;0.0;0.4;0.0
GO:0038083;0.0;0.1111111111111111;0.0;0.0;0.0;0.19047619047619047;0.2;0.19047619047619047;0.0;0.0;0.2;0.19047619047619047;0.5;0.10526315789473684;0.23529411764705882;0.125;0.0;0.25;0.0;0.17391304347826086;0.0;0.0;0.2727272727272727;0.2608695652173913;0.2608695652173913;0.0;0.42105263157894735;0.0;0.2;0.0;0.0;0.2222222222222222;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.2;0.0;0.2222222222222222;0.0;0.0;0.2;0.2222222222222222;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.125;0.18181818181818182;0.10526315789473684;0.0;0.0;0.0;0.0;0.7619047619047619;0.2222222222222222;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.38095238095238093;1.0;0.2857142857142857;0.0;0.23529411764705882;0.0;0.23529411764705882;0.0;0.0;0.5882352941176471;0.0;0.47619047619047616;0.0
GO:0042761;0.0;0.11764705882352941;0.0;0.0;0.0;0.2;0.21052631578947367;0.2;0.0;0.0;0.21052631578947367;0.2;0.5263157894736842;0.1111111111111111;0.25;0.13333333333333333;0.0;0.26666666666666666;0.0;0.18181818181818182;0.0;0.0;0.8571428571428571;0.8181818181818182;0.8181818181818182;0.0;0.5555555555555556;0.0;0.21052631578947367;0.0;0.0;0.23529411764705882;0.0;0.25;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.23529411764705882;0.0;0.0;0.21052631578947367;0.23529411764705882;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.13333333333333333;0.19047619047619047;0.1111111111111111;0.0;0.0;0.0;0.0;0.2;0.23529411764705882;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.3;0.2857142857142857;1.0;0.0;0.25;0.0;0.25;0.0;0.0;0.375;0.0;0.3;0.0
GO:0045879;0.0;0.8;0.8;0.7058823529411765;0.35294117647058826;0.0;0.11764705882352941;0.1111111111111111;0.6666666666666666;0.0;0.11764705882352941;0.2222222222222222;0.0;0.0;0.0;0.0;0.375;0.0;0.4;0.1;0.0;0.47058823529411764;0.0;0.0;0.0;0.5263157894736842;0.0;0.25;0.11764705882352941;0.35294117647058826;0.3;0.13333333333333333;0.375;0.0;0.5333333333333333;0.0;0.0;0.5333333333333333;0.11764705882352941;0.5;0.13333333333333333;0.42105263157894735;0.625;0.11764705882352941;0.0;0.75;0.7058823529411765;0.631578947368421;0.625;0.0;0.5;0.26666666666666666;0.42105263157894735;0.3333333333333333;0.5714285714285714;0.0;0.0;0.10526315789473684;0.0;0.47058823529411764;0.4;0.0;0.5714285714285714;0.4444444444444444;0.13333333333333333;0.5263157894736842;0.5882352941176471;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5714285714285714;0.0;0.625;0.0;0.0;0.0;0.0;0.4444444444444444
