;GO:0007050;GO:0014064;GO:1901387;GO:0015031;GO:0006168;GO:0051091;GO:0042136;GO:0006886;GO:0043547;GO:0001666;GO:0070244;GO:0071650;GO:0046100;GO:0010811;GO:0018279;GO:0019367;GO:0034626;GO:0034625;GO:0030148;GO:1905077;GO:0060271;GO:0032482;GO:0051260;GO:0006178;GO:0021941;GO:0046621;GO:1904468;GO:0042147;GO:1900425;GO:0001881;GO:1903779;GO:0051610;GO:0071321;GO:0071641;GO:0010628;GO:0001516;GO:0032355;GO:0071644;GO:0018146;GO:0032310;GO:0006809;GO:0034498;GO:0034219;GO:0030334;GO:2000562;GO:0072659;GO:0008360;GO:0014003;GO:0045665;GO:0045787;GO:1903426;GO:0045666;GO:0042310;GO:1905403;GO:0045944;GO:0048739;GO:0099131;GO:0097067;GO:0002576;GO:0072086;GO:0051583;GO:0003429;GO:0070863;GO:2000774;GO:0035338;GO:0010951;GO:0032227;GO:0019547;GO:0035176;GO:0032263;GO:0006351;GO:0032264;GO:0050706;GO:0030041;GO:0090481;GO:0042761;GO:0009267;GO:0090160;GO:0006357;GO:0007517;GO:0019371;GO:0071300;GO:0001657;GO:0000050;GO:0045087;GO:0030032;GO:0035725;GO:2000666;GO:0016266;GO:0002829;GO:0055117;GO:0032456;GO:0031643
GO:0045787;0.6830074998557688;0.6830074998557688;0.43852901558847923;0.0;0.0;0.6830074998557688;0.4;0.0;0.3660149997115376;0.0;0.3356143810225276;0.4;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.0;0.48300749985576874;0.0;0.5356143810225276;0.48300749985576874;0.0;0.4;0.5356143810225276;0.0;0.0;0.4;0.0;0.0;0.3660149997115376;0.0;0.0;0.5356143810225276;0.3356143810225276;0.0;0.5356143810225276;0.0;0.48300749985576874;1.0;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.3356143810225276;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.5356143810225276;0.6830074998557688;0.0;0.4;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.4;0.0;0.8
GO:1903426;0.48300749985576874;0.48300749985576874;0.3660149997115376;0.0;0.0;0.5356143810225276;0.4;0.0;0.3660149997115376;0.0;0.3081136762725405;0.4;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.48300749985576874;0.4;0.0;0.48300749985576874;0.0;0.5356143810225276;0.48300749985576874;0.0;0.4;0.5356143810225276;0.0;0.0;0.4;0.0;0.0;0.3660149997115376;0.0;0.0;0.48300749985576874;0.3081136762725405;0.0;0.48300749985576874;0.0;0.48300749985576874;0.5356143810225276;1.0;0.48300749985576874;0.48300749985576874;0.3081136762725405;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.48300749985576874;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.4;0.0;0.5356143810225276
GO:0045666;0.8;0.48300749985576874;0.4;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.43852901558847923;0.0;0.2830074998557688;0.4;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.8;0.0;0.0;0.5356143810225276;0.48300749985576874;0.3660149997115376;0.0;0.48300749985576874;0.0;0.5356143810225276;0.8;0.0;0.4;0.43852901558847923;0.0;0.0;0.4;0.0;0.0;0.5356143810225276;0.0;0.0;0.48300749985576874;0.3081136762725405;0.0;0.6000000000000001;0.0;0.8;0.5356143810225276;0.48300749985576874;1.0;0.8;0.2830074998557688;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.43852901558847923;0.5356143810225276;0.0;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.4;0.0;0.6830074998557688
GO:0042310;0.8;0.43852901558847923;0.4;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.43852901558847923;0.0;0.2830074998557688;0.4;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.8;0.0;0.0;0.4;0.48300749985576874;0.3660149997115376;0.0;0.48300749985576874;0.0;0.5356143810225276;0.8;0.0;0.4;0.43852901558847923;0.0;0.0;0.4;0.0;0.0;0.5356143810225276;0.0;0.0;0.48300749985576874;0.3081136762725405;0.0;0.6000000000000001;0.0;0.8;0.48300749985576874;0.48300749985576874;0.8;1.0;0.2830074998557688;0.3660149997115376;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.43852901558847923;0.48300749985576874;0.0;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.4;0.0;0.48300749985576874
GO:1905403;0.3660149997115376;0.3081136762725405;0.21862188087829626;0.0;0.0;0.3081136762725405;0.23852901558847928;0.0;0.21862188087829626;0.0;0.8;0.2830074998557688;0.0;0.2830074998557688;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.2830074998557688;0.0;0.0;0.3356143810225276;0.3356143810225276;0.3081136762725405;0.0;0.3356143810225276;0.0;0.3081136762725405;0.2830074998557688;0.0;0.2830074998557688;0.2599120563717816;0.0;0.0;0.2830074998557688;0.0;0.0;0.21862188087829626;0.0;0.0;0.3081136762725405;0.23852901558847928;0.0;0.3081136762725405;0.0;0.3081136762725405;0.3356143810225276;0.3081136762725405;0.2830074998557688;0.2830074998557688;1.0;0.23852901558847928;0.0;0.0;0.0;0.0;0.0;0.2830074998557688;0.0;0.2599120563717816;0.3081136762725405;0.0;0.2830074998557688;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.2599120563717816;0.0;0.0;0.0;0.0;0.0;0.2599120563717816;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.3081136762725405;0.23852901558847928;0.0;0.3356143810225276
GO:0045944;0.3660149997115376;0.4;0.3356143810225276;0.0;0.0;0.6000000000000001;0.3081136762725405;0.0;0.2830074998557688;0.0;0.23852901558847928;0.3081136762725405;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.3660149997115376;0.0;0.0;0.3356143810225276;0.3660149997115376;0.3081136762725405;0.0;0.3660149997115376;0.0;0.4;0.3660149997115376;0.0;0.3081136762725405;0.8;0.0;0.0;0.3081136762725405;0.0;0.0;0.2830074998557688;0.0;0.0;0.3660149997115376;0.23852901558847928;0.0;0.3660149997115376;0.0;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.3660149997115376;0.23852901558847928;1.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.4;0.43852901558847923;0.0;0.3660149997115376;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.3356143810225276;0.3081136762725405;0.0;0.43852901558847923
GO:0048739;0.8;0.0;0.0;0.0;0.48300749985576874;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.8;0.43852901558847923;0.4;0.4;0.5356143810225276;0.0;0.8;0.8;0.8;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.5356143810225276;0.0;0.0;0.4;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.8;0.48300749985576874;0.0;0.8;0.0;0.48300749985576874;0.6000000000000001;0.0;0.0;0.8;0.8;0.5356143810225276;0.8;0.48300749985576874;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0
GO:0099131;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.6830074998557688;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.48300749985576874;0.0
GO:0097067;0.48300749985576874;0.0;0.0;0.0;0.3356143810225276;0.0;0.4;0.0;0.0;0.48300749985576874;0.0;0.0;0.3356143810225276;0.0;0.48300749985576874;0.3081136762725405;0.2830074998557688;0.2830074998557688;0.3660149997115376;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.6000000000000001;0.0;0.0;0.2830074998557688;0.6830074998557688;0.0;0.3660149997115376;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;1.0;0.3660149997115376;0.0;0.0;0.48300749985576874;0.0;0.0;0.3081136762725405;0.0;0.0;0.3081136762725405;0.0;0.3356143810225276;0.48300749985576874;0.3356143810225276;0.0;0.48300749985576874;0.0;0.3356143810225276;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.6000000000000001;0.0;0.3356143810225276;0.48300749985576874;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0
GO:0002576;0.5356143810225276;0.0;0.0;0.43852901558847923;0.3660149997115376;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.5356143810225276;0.3356143810225276;0.3081136762725405;0.3081136762725405;0.4;0.0;0.4;0.5356143810225276;0.4;0.3660149997115376;0.0;0.0;0.0;0.5356143810225276;0.0;0.4;0.0;0.43852901558847923;0.4;0.0;0.0;0.3081136762725405;0.0;0.0;0.4;0.43852901558847923;0.4;0.5356143810225276;0.48300749985576874;0.0;0.0;0.3081136762725405;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.43852901558847923;0.3660149997115376;1.0;0.0;0.43852901558847923;0.5356143810225276;0.0;0.0;0.3356143810225276;0.0;0.0;0.2830074998557688;0.0;0.3660149997115376;0.4;0.3660149997115376;0.0;0.5356143810225276;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.0;0.0;0.5356143810225276;0.4;0.0;0.3660149997115376;0.0;0.4;0.3660149997115376;0.0;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0
GO:0072086;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0051583;0.8;0.43852901558847923;0.4;0.6000000000000001;0.0;0.5356143810225276;0.5356143810225276;0.8;0.43852901558847923;0.0;0.2830074998557688;0.4;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.8;0.0;0.0;0.4;0.48300749985576874;0.3660149997115376;0.8;0.48300749985576874;0.0;0.5356143810225276;0.8;0.0;0.4;0.43852901558847923;0.0;0.0;0.4;0.0;0.8;0.5356143810225276;0.8;0.5356143810225276;0.48300749985576874;0.3081136762725405;0.48300749985576874;0.6000000000000001;0.0;0.8;0.48300749985576874;0.48300749985576874;0.8;0.8;0.2830074998557688;0.3660149997115376;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;1.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.48300749985576874;0.0;0.0;0.8;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.43852901558847923;0.4;0.8;0.48300749985576874
GO:0003429;0.8;0.0;0.0;0.0;0.48300749985576874;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.8;0.43852901558847923;0.4;0.4;0.5356143810225276;0.0;0.8;0.8;0.8;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.5356143810225276;0.0;0.0;0.4;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;1.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.8;0.48300749985576874;0.0;0.8;0.0;0.48300749985576874;0.6000000000000001;0.0;0.0;0.8;0.8;0.5356143810225276;0.8;0.48300749985576874;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0
GO:0070863;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.0;0.0;0.6000000000000001;0.3660149997115376;0.0;0.3356143810225276;0.0;0.2599120563717816;0.3660149997115376;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.0;0.48300749985576874;0.43852901558847923;0.0;0.3660149997115376;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.0;0.3356143810225276;0.0;0.0;0.43852901558847923;0.2830074998557688;0.0;0.43852901558847923;0.0;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.2599120563717816;0.4;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;1.0;0.5356143810225276;0.0;0.3081136762725405;0.4;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.4;0.3660149997115376;0.0;0.5356143810225276
GO:2000774;0.48300749985576874;0.6000000000000001;0.43852901558847923;0.0;0.0;0.6830074998557688;0.4;0.0;0.3660149997115376;0.0;0.3081136762725405;0.4;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.48300749985576874;0.4;0.0;0.5356143810225276;0.0;0.5356143810225276;0.48300749985576874;0.0;0.4;0.5356143810225276;0.0;0.0;0.4;0.0;0.0;0.3660149997115376;0.0;0.0;0.48300749985576874;0.3081136762725405;0.0;0.48300749985576874;0.0;0.48300749985576874;0.6830074998557688;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.3081136762725405;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.5356143810225276;1.0;0.0;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.5356143810225276;0.4;0.0;0.6830074998557688
GO:0035338;0.43852901558847923;0.0;0.0;0.0;0.4;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.5356143810225276;0.43852901558847923;0.4;0.4;0.5356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.4;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.3356143810225276;0.0;0.0;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.3081136762725405;0.3356143810225276;0.0;0.0;0.43852901558847923;0.0;0.0;1.0;0.0;0.0;0.3660149997115376;0.0;0.4;0.5356143810225276;0.4;0.0;0.43852901558847923;0.0;0.48300749985576874;0.3660149997115376;0.0;0.0;0.0;0.6000000000000001;0.3356143810225276;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0
GO:0010951;0.43852901558847923;0.3660149997115376;0.3356143810225276;0.0;0.0;0.43852901558847923;0.3356143810225276;0.0;0.5356143810225276;0.0;0.2830074998557688;0.3356143810225276;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.4;0.0;0.0;0.4;0.4;0.3660149997115376;0.0;0.4;0.0;0.3660149997115376;0.4;0.0;0.3356143810225276;0.43852901558847923;0.0;0.0;0.3356143810225276;0.0;0.0;0.3081136762725405;0.0;0.0;0.3660149997115376;0.2830074998557688;0.0;0.4;0.0;0.4;0.4;0.43852901558847923;0.4;0.4;0.2830074998557688;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.3081136762725405;0.3660149997115376;0.0;1.0;0.4;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.3660149997115376;0.2830074998557688;0.0;0.4
GO:0032227;0.5356143810225276;0.43852901558847923;0.3356143810225276;0.0;0.0;0.48300749985576874;0.3660149997115376;0.0;0.3356143810225276;0.0;0.3356143810225276;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.48300749985576874;0.5356143810225276;0.43852901558847923;0.0;0.5356143810225276;0.0;0.6000000000000001;0.43852901558847923;0.0;0.43852901558847923;0.4;0.0;0.0;0.43852901558847923;0.0;0.0;0.3356143810225276;0.0;0.0;0.43852901558847923;0.3356143810225276;0.0;0.43852901558847923;0.0;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3356143810225276;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.4;0.43852901558847923;0.0;0.4;1.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.3660149997115376;0.0;0.48300749985576874
GO:0019547;0.43852901558847923;0.0;0.0;0.0;0.3660149997115376;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.5356143810225276;0.3660149997115376;0.3356143810225276;0.3356143810225276;0.48300749985576874;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.3081136762725405;0.0;0.0;0.4;0.0;0.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.3081136762725405;0.2830074998557688;0.0;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.0;1.0;0.0;0.3660149997115376;0.48300749985576874;0.3660149997115376;0.0;0.43852901558847923;0.0;0.4;0.3356143810225276;0.0;0.0;0.0;0.5356143810225276;0.3081136762725405;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0
GO:0035176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0032263;0.48300749985576874;0.0;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.5356143810225276;0.3660149997115376;0.3356143810225276;0.3356143810225276;0.5356143810225276;0.0;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.3356143810225276;0.3660149997115376;0.0;0.0;0.48300749985576874;0.0;0.0;0.4;0.0;0.0;0.3660149997115376;0.0;1.0;0.48300749985576874;0.8;0.0;0.48300749985576874;0.0;0.4;0.4;0.0;0.0;0.0;0.5356143810225276;0.3660149997115376;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0
GO:0006351;0.8;0.0;0.0;0.0;0.48300749985576874;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.8;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.6000000000000001;0.0;0.8;0.8;0.8;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.0;0.6000000000000001;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.48300749985576874;0.4;0.0;0.0;0.8;0.0;0.0;0.5356143810225276;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;1.0;0.48300749985576874;0.0;0.8;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.8;0.48300749985576874;0.0;0.6000000000000001;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0
GO:0032264;0.48300749985576874;0.0;0.0;0.0;0.6000000000000001;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.5356143810225276;0.3660149997115376;0.3356143810225276;0.3356143810225276;0.5356143810225276;0.0;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.0;0.3660149997115376;0.0;0.0;0.43852901558847923;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.3356143810225276;0.3660149997115376;0.0;0.0;0.48300749985576874;0.0;0.0;0.4;0.0;0.0;0.3660149997115376;0.0;0.8;0.48300749985576874;1.0;0.0;0.48300749985576874;0.0;0.4;0.4;0.0;0.0;0.0;0.5356143810225276;0.3660149997115376;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0
GO:0050706;0.4;0.48300749985576874;0.3081136762725405;0.0;0.0;0.43852901558847923;0.3356143810225276;0.0;0.3081136762725405;0.0;0.2599120563717816;0.48300749985576874;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.4;0.0;0.0;0.4;0.48300749985576874;0.6000000000000001;0.0;0.4;0.0;0.43852901558847923;0.4;0.0;0.48300749985576874;0.3660149997115376;0.0;0.0;0.48300749985576874;0.0;0.0;0.3081136762725405;0.0;0.0;0.4;0.2599120563717816;0.0;0.4;0.0;0.4;0.43852901558847923;0.4;0.4;0.4;0.2599120563717816;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.43852901558847923;0.4;0.0;0.3081136762725405;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.3660149997115376;0.4;0.0;0.43852901558847923
GO:0030041;0.8;0.0;0.0;0.0;0.48300749985576874;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.8;0.43852901558847923;0.4;0.4;0.5356143810225276;0.0;0.8;0.8;0.8;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.5356143810225276;0.0;0.0;0.4;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.8;0.0;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.48300749985576874;0.8;0.48300749985576874;0.0;1.0;0.0;0.48300749985576874;0.6000000000000001;0.0;0.0;0.0;0.8;0.5356143810225276;0.0;0.48300749985576874;0.0;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.0
GO:0090481;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.6830074998557688;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.48300749985576874;0.0
