;GO:0007093;GO:0007098;GO:1990090;GO:0000733;GO:0045766;GO:0110032;GO:0071373;GO:0045892;GO:0045893;GO:0044320;GO:0071930;GO:1902042;GO:0036120;GO:0008631;GO:0008630;GO:0007265;GO:0000077;GO:0072332;GO:0048255;GO:0000070;GO:0033762;GO:0031100;GO:0070317;GO:0071922;GO:0043009;GO:0007076;GO:0006260;GO:0008285;GO:0045787;GO:1904117;GO:0006303;GO:0045944;GO:0006301;GO:0006302;GO:0071392;GO:0071398;GO:0048146;GO:0071314;GO:0071158;GO:0070345;GO:0030521;GO:0010994;GO:2000378;GO:0016579;GO:0045717;GO:0006270;GO:1903671;GO:0070979;GO:0000729;GO:0007088;GO:0000724;GO:0007089;GO:1990314;GO:0007080;GO:0085020;GO:0018108;GO:0030071;GO:0006366;GO:0046777;GO:0006367;GO:0043392;GO:0031398;GO:0071732;GO:0072425;GO:0016572;GO:0010458;GO:0071456;GO:0010575;GO:0010971;GO:0045739;GO:1904385;GO:0045737;GO:0007064;GO:1900740;GO:1904668;GO:0008156;GO:0071681;GO:0051574;GO:0051572;GO:0051573;GO:0051571;GO:0031145;GO:0070512;GO:0035067;GO:0044818;GO:0000079;GO:0006978;GO:2000617;GO:0000122;GO:0051984;GO:0031536;GO:0000086;GO:0006977;GO:0000083;GO:0000082;GO:0034644;GO:0071356;GO:0035335;GO:0032467;GO:0051865;GO:0033314;GO:0070936;GO:0006351;GO:0046600;GO:0045599;GO:0006633;GO:0006359;GO:0006349;GO:0044030;GO:0043065;GO:2000620;GO:0033147;GO:0071466
GO:0010994;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.14285714285714285;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.125;0.0;0.0;0.0;0.09090909090909091;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.125;0.0;0.1;0.0;0.09090909090909091;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.2
GO:2000378;0.4444444444444444;0.0;0.0;0.0;0.2;0.2727272727272727;0.0;0.5555555555555556;0.4;0.0;0.5;0.36363636363636365;0.0;0.0;0.0;0.0;0.4;0.0;0.5;0.0;0.0;0.0;0.4444444444444444;0.3;0.0;0.0;0.0;0.5714285714285714;0.375;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.3;0.5;0.0;0.0;1.0;0.0;0.625;0.0;0.2727272727272727;0.0;0.0;0.3333333333333333;0.0;0.25;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.1;0.36363636363636365;0.0;0.5714285714285714;0.0;0.0;0.0;0.2;0.2727272727272727;0.4;0.0;0.3333333333333333;0.0;0.0;0.3076923076923077;0.5555555555555556;0.0;0.3333333333333333;0.45454545454545453;0.45454545454545453;0.3333333333333333;0.0;0.3333333333333333;0.5;0.4;0.3333333333333333;0.0;0.3333333333333333;0.5;0.375;0.2727272727272727;0.0;0.5714285714285714;0.4;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.4;0.5;0.0;0.4;0.3333333333333333;0.4444444444444444;0.3;0.3076923076923077;0.4;0.0
GO:0016579;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.25;0.0;0.2727272727272727;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.2857142857142857;0.0;0.5;0.2857142857142857;0.0;0.25;0.0;0.0;0.0;0.5;0.5;0.0;0.375;0.5;0.2857142857142857;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5454545454545454;0.0;0.5;0.375;0.0;0.0;0.2222222222222222;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0
GO:0045717;0.4;0.0;0.0;0.0;0.18181818181818182;0.25;0.0;0.6666666666666666;0.5;0.0;0.6;0.3333333333333333;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.45454545454545453;0.0;0.0;0.0;0.4;0.2727272727272727;0.0;0.0;0.0;0.5;0.3333333333333333;0.0;0.0;0.45454545454545453;0.0;0.0;0.0;0.0;0.3;0.0;0.2727272727272727;0.4444444444444444;0.0;0.0;0.625;0.0;1.0;0.0;0.25;0.0;0.0;0.3;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.09090909090909091;0.3333333333333333;0.0;0.5;0.0;0.0;0.0;0.18181818181818182;0.25;0.36363636363636365;0.0;0.3;0.0;0.0;0.2857142857142857;0.6666666666666666;0.0;0.3076923076923077;0.4166666666666667;0.4166666666666667;0.3076923076923077;0.0;0.3076923076923077;0.45454545454545453;0.36363636363636365;0.3;0.0;0.3076923076923077;0.6;0.3333333333333333;0.25;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.36363636363636365;0.4444444444444444;0.0;0.5;0.3;0.4;0.2727272727272727;0.2857142857142857;0.36363636363636365;0.0
GO:0006270;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.5;0.0;0.5714285714285714;0.5714285714285714;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;1.0;0.0;0.2727272727272727;0.6666666666666666;0.0;0.5;0.0;0.0;0.0;0.2727272727272727;0.375;0.0;0.0;0.375;0.6666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.375;0.0;0.3;0.0;0.2727272727272727;0.0;0.0;0.0;0.3333333333333333;0.0;0.5;0.0;0.0;0.0;0.0;0.2
GO:1903671;0.0;0.0;0.0;0.0;0.625;0.16666666666666666;0.0;0.25;0.16666666666666666;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.09090909090909091;0.0;0.0;0.0;0.25;0.09090909090909091;0.0;0.0;0.0;0.3;0.2;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.16666666666666666;0.2727272727272727;0.0;0.0;0.2727272727272727;0.0;0.25;0.0;1.0;0.0;0.0;0.18181818181818182;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.09090909090909091;0.14285714285714285;0.0;0.3333333333333333;0.0;0.0;0.0;0.2727272727272727;0.15384615384615385;0.16666666666666666;0.0;0.18181818181818182;0.0;0.0;0.07692307692307693;0.25;0.0;0.125;0.1875;0.1875;0.125;0.0;0.125;0.2;0.0;0.18181818181818182;0.0;0.13333333333333333;0.23076923076923078;0.2;0.15384615384615385;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.18181818181818182;0.4;0.0;0.16666666666666666;0.18181818181818182;0.18181818181818182;0.16666666666666666;0.11764705882352941;0.25;0.0
GO:0070979;0.09090909090909091;0.09090909090909091;0.0;0.25;0.0;0.0;0.0625;0.0;0.0;0.06666666666666667;0.09090909090909091;0.0;0.0;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.07142857142857142;0.09090909090909091;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.25;0.0;0.0;0.0625;0.21428571428571427;0.0;0.23076923076923078;0.23076923076923078;0.07142857142857142;0.07142857142857142;0.0;0.07142857142857142;0.0;0.0;0.09090909090909091;0.09090909090909091;0.0;0.5;0.0;0.2727272727272727;0.0;1.0;0.2727272727272727;0.0;0.21428571428571427;0.0;0.0625;0.09090909090909091;0.8181818181818182;0.4166666666666667;0.0;0.25;0.4166666666666667;0.18181818181818182;0.0;0.0;0.07142857142857142;0.09090909090909091;0.4166666666666667;0.09090909090909091;0.07692307692307693;0.0;0.0;0.0;0.0625;0.0;0.09090909090909091;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.09090909090909091;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.0625;0.06666666666666667;0.4166666666666667;0.0;0.7272727272727273;0.09090909090909091;0.8181818181818182;0.25;0.0;0.0;0.15384615384615385;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.07692307692307693
GO:0000729;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.5;0.0;0.5714285714285714;0.5714285714285714;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.6666666666666666;0.0;0.2727272727272727;1.0;0.0;0.5;0.0;0.0;0.0;0.2727272727272727;0.375;0.0;0.0;0.375;0.6666666666666666;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.375;0.0;0.3;0.0;0.2727272727272727;0.0;0.0;0.0;0.3333333333333333;0.0;0.5;0.0;0.0;0.0;0.0;0.2
GO:0007088;0.625;0.0;0.0;0.0;0.2;0.5;0.0;0.2727272727272727;0.2727272727272727;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.4;0.0;0.2727272727272727;0.0;0.0;0.0;0.625;0.5555555555555556;0.0;0.0;0.0;0.375;0.5714285714285714;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.625;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.3;0.0;0.18181818181818182;0.0;0.0;1.0;0.0;0.5;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.1;0.25;0.0;0.5714285714285714;0.0;0.0;0.0;0.2;0.5555555555555556;0.3;0.0;0.5;0.0;0.45454545454545453;0.08333333333333333;0.2727272727272727;0.0;0.38461538461538464;0.38461538461538464;0.38461538461538464;0.38461538461538464;0.0;0.38461538461538464;0.4166666666666667;0.5555555555555556;0.5;0.0;0.38461538461538464;0.25;0.375;0.75;0.0;0.7142857142857143;0.0;0.0;0.0;0.0;0.0;0.625;0.0;0.5;0.0;0.0;0.5;0.3333333333333333;0.0;0.2727272727272727;0.2;0.3;0.3;0.35714285714285715;0.2727272727272727;0.0
GO:0000724;0.125;0.125;0.18181818181818182;0.5;0.0;0.0;0.16666666666666666;0.0;0.0;0.18181818181818182;0.125;0.0;0.18181818181818182;0.125;0.5;0.125;0.5;0.125;0.0;0.125;0.09090909090909091;0.0;0.0;0.0;0.0;0.125;0.5;0.0;0.0;0.16666666666666666;0.75;0.0;0.625;0.8571428571428571;0.2;0.2;0.0;0.2;0.0;0.0;0.125;0.125;0.0;0.25;0.0;0.5;0.0;0.21428571428571427;0.5;0.0;1.0;0.0;0.16666666666666666;0.125;0.21428571428571427;0.2727272727272727;0.0;0.3333333333333333;0.2727272727272727;0.4444444444444444;0.0;0.0;0.3;0.5;0.125;0.125;0.375;0.0;0.0;0.0;0.16666666666666666;0.0;0.125;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.125;0.0;0.4;0.0;0.0;0.0;0.0;0.125;0.5;0.125;0.125;0.16666666666666666;0.18181818181818182;0.2727272727272727;0.0;0.23076923076923078;0.125;0.21428571428571427;0.3333333333333333;0.0;0.0;0.2;0.0;0.3;0.0;0.0;0.0;0.0;0.2222222222222222
GO:0007089;0.45454545454545453;0.0;0.0;0.0;0.25;0.5833333333333334;0.0;0.21428571428571427;0.23076923076923078;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.21428571428571427;0.0;0.0;0.0;0.4166666666666667;0.38461538461538464;0.0;0.0;0.0;0.2727272727272727;0.5555555555555556;0.0;0.0;0.21428571428571427;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.5454545454545454;0.25;0.0;0.0;0.25;0.0;0.23076923076923078;0.0;0.14285714285714285;0.0;0.0;0.5;0.0;1.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.07692307692307693;0.2857142857142857;0.0;0.4;0.0;0.0;0.0;0.25;0.7;0.36363636363636365;0.0;0.5;0.0;0.25;0.25;0.21428571428571427;0.0;0.25;0.17647058823529413;0.17647058823529413;0.25;0.0;0.25;0.1875;0.5;0.36363636363636365;0.0;0.26666666666666666;0.2;0.4;0.7;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.0;0.46153846153846156;0.0;0.0;0.35714285714285715;0.25;0.0;0.21428571428571427;0.15384615384615385;0.23076923076923078;0.3333333333333333;0.23529411764705882;0.21428571428571427;0.0
GO:1990314;0.0;0.0;0.42857142857142855;0.09090909090909091;0.0;0.0;0.7142857142857143;0.0;0.0;0.5714285714285714;0.0;0.0;0.42857142857142855;0.0;0.25;0.0;0.2;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.7142857142857143;0.16666666666666666;0.0;0.18181818181818182;0.18181818181818182;0.5714285714285714;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0625;0.0;0.0;0.16666666666666666;0.0;1.0;0.0;0.0625;0.07692307692307693;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.4444444444444444;0.25;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.16666666666666666;0.4444444444444444;0.07692307692307693;0.0;0.06666666666666667;0.0;0.0625;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.375
GO:0007080;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.125;0.0;0.14285714285714285;0.14285714285714285;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.125;0.0;0.0;1.0;0.09090909090909091;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.125;0.0;0.1;0.0;0.09090909090909091;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.2
GO:0085020;0.09090909090909091;0.09090909090909091;0.0;0.25;0.0;0.0;0.0625;0.0;0.0;0.06666666666666667;0.09090909090909091;0.0;0.0;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.07142857142857142;0.09090909090909091;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.25;0.0;0.0;0.0625;0.21428571428571427;0.0;0.23076923076923078;0.23076923076923078;0.07142857142857142;0.07142857142857142;0.0;0.07142857142857142;0.0;0.0;0.09090909090909091;0.09090909090909091;0.0;0.5;0.0;0.2727272727272727;0.0;0.8181818181818182;0.2727272727272727;0.0;0.21428571428571427;0.0;0.0625;0.09090909090909091;1.0;0.4166666666666667;0.0;0.25;0.4166666666666667;0.18181818181818182;0.0;0.0;0.07142857142857142;0.09090909090909091;0.4166666666666667;0.09090909090909091;0.07692307692307693;0.0;0.0;0.0;0.0625;0.0;0.09090909090909091;0.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.09090909090909091;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.09090909090909091;0.0625;0.06666666666666667;0.4166666666666667;0.0;0.7272727272727273;0.09090909090909091;0.8181818181818182;0.25;0.0;0.0;0.15384615384615385;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.07692307692307693
GO:0018108;0.125;0.125;0.0;0.3333333333333333;0.0;0.0;0.07692307692307693;0.0;0.0;0.08333333333333333;0.125;0.0;0.0;0.125;0.125;0.125;0.09090909090909091;0.125;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.125;0.3333333333333333;0.0;0.0;0.07692307692307693;0.2727272727272727;0.0;0.3;0.3;0.09090909090909091;0.09090909090909091;0.0;0.09090909090909091;0.0;0.0;0.125;0.125;0.0;0.5;0.0;0.375;0.0;0.4166666666666667;0.375;0.0;0.2727272727272727;0.0;0.07692307692307693;0.125;0.4166666666666667;1.0;0.0;0.3333333333333333;0.75;0.25;0.0;0.0;0.09090909090909091;0.125;0.75;0.125;0.1;0.0;0.0;0.0;0.07692307692307693;0.0;0.125;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.125;0.0;0.125;0.0;0.0;0.0;0.0;0.125;0.125;0.125;0.125;0.07692307692307693;0.08333333333333333;0.5555555555555556;0.0;0.45454545454545453;0.125;0.4166666666666667;0.3333333333333333;0.0;0.0;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.1
GO:0030071;0.5555555555555556;0.0;0.0;0.0;0.18181818181818182;0.5454545454545454;0.0;0.25;0.25;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.25;0.0;0.0;0.0;0.5;0.5555555555555556;0.0;0.0;0.0;0.3333333333333333;0.5;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.3;0.0;0.5;0.3;0.0;0.0;0.3;0.0;0.2727272727272727;0.0;0.16666666666666666;0.0;0.0;0.6666666666666666;0.0;0.6;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.09090909090909091;0.23076923076923078;0.0;0.5;0.0;0.0;0.0;0.18181818181818182;0.6666666666666666;0.2727272727272727;0.0;0.4444444444444444;0.0;0.0;0.07692307692307693;0.25;0.0;0.42857142857142855;0.42857142857142855;0.42857142857142855;0.42857142857142855;0.0;0.42857142857142855;0.46153846153846156;0.6;0.4444444444444444;0.0;0.42857142857142855;0.23076923076923078;0.5;0.6666666666666666;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.5454545454545454;0.0;0.0;0.4166666666666667;0.3;0.0;0.25;0.18181818181818182;0.2727272727272727;0.2727272727272727;0.4;0.25;0.0
GO:0006366;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.3333333333333333;0.0;0.375;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.25;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.25;0.3333333333333333;0.0;1.0;0.3333333333333333;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;0.0;0.25;0.5;0.0;0.0;0.3333333333333333;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0
GO:0046777;0.125;0.125;0.0;0.3333333333333333;0.0;0.0;0.07692307692307693;0.0;0.0;0.08333333333333333;0.125;0.0;0.0;0.125;0.125;0.125;0.09090909090909091;0.125;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.125;0.3333333333333333;0.0;0.0;0.07692307692307693;0.2727272727272727;0.0;0.3;0.3;0.09090909090909091;0.09090909090909091;0.0;0.09090909090909091;0.0;0.0;0.125;0.125;0.0;0.5;0.0;0.375;0.0;0.4166666666666667;0.375;0.0;0.2727272727272727;0.0;0.07692307692307693;0.125;0.4166666666666667;0.75;0.0;0.3333333333333333;1.0;0.25;0.0;0.0;0.09090909090909091;0.125;0.75;0.125;0.1;0.0;0.0;0.0;0.07692307692307693;0.0;0.125;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.125;0.0;0.125;0.0;0.0;0.0;0.0;0.125;0.125;0.125;0.125;0.07692307692307693;0.08333333333333333;0.5555555555555556;0.0;0.45454545454545453;0.125;0.4166666666666667;0.3333333333333333;0.0;0.0;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.1
GO:0006367;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.4444444444444444;0.0;0.5;0.5;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.6666666666666666;0.0;0.18181818181818182;0.6666666666666666;0.0;0.4444444444444444;0.0;0.0;0.0;0.18181818181818182;0.25;0.0;0.6;0.25;1.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.25;0.0;0.2;0.0;0.18181818181818182;0.6;0.0;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.2
GO:0043392;0.0;0.0;0.0;0.0;0.1;0.09090909090909091;0.0;0.09090909090909091;0.09090909090909091;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.09090909090909091;0.6666666666666666;0.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.1;0.0;0.09090909090909091;0.1;0.0;0.0;0.1;0.0;0.09090909090909091;0.0;0.09090909090909091;0.0;0.0;0.1;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;1.0;0.07692307692307693;0.0;0.16666666666666666;0.0;0.0;0.0;0.1;0.08333333333333333;0.09090909090909091;0.0;0.1;0.0;0.0;0.2;0.09090909090909091;0.0;0.06666666666666667;0.06666666666666667;0.06666666666666667;0.06666666666666667;0.0;0.06666666666666667;0.07692307692307693;0.0;0.1;0.0;0.07142857142857142;0.08333333333333333;0.1111111111111111;0.08333333333333333;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1;0.1;0.0;0.09090909090909091;0.1;0.1;0.09090909090909091;0.0625;0.09090909090909091;0.0
GO:0031398;0.0;0.0;0.0;0.0;0.25;0.3076923076923077;0.0;0.3076923076923077;0.4166666666666667;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.21428571428571427;0.0;0.38461538461538464;0.0;0.0;0.0;0.23076923076923078;0.23076923076923078;0.0;0.0;0.0;0.2727272727272727;0.4;0.0;0.0;0.38461538461538464;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.3333333333333333;0.25;0.0;0.0;0.36363636363636365;0.0;0.3333333333333333;0.0;0.14285714285714285;0.0;0.0;0.25;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.07692307692307693;1.0;0.0;0.3;0.0;0.0;0.0;0.25;0.3076923076923077;0.36363636363636365;0.0;0.5384615384615384;0.0;0.25;0.8181818181818182;0.3076923076923077;0.0;0.5833333333333334;0.46153846153846156;0.46153846153846156;0.5833333333333334;0.0;0.5833333333333334;0.5;0.0;0.46153846153846156;0.0;0.5833333333333334;0.2857142857142857;0.4;0.3076923076923077;0.0;0.3;0.3076923076923077;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.21428571428571427;0.25;0.0;0.3076923076923077;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.5384615384615384;0.21428571428571427;0.0
GO:0071732;0.16666666666666666;0.16666666666666666;0.375;0.1111111111111111;0.0;0.0;0.4444444444444444;0.0;0.0;0.375;0.16666666666666666;0.0;0.375;0.16666666666666666;0.3333333333333333;0.16666666666666666;0.375;0.16666666666666666;0.0;0.16666666666666666;0.3333333333333333;0.0;0.0;0.0;0.0;0.16666666666666666;0.1111111111111111;0.0;0.0;0.4444444444444444;0.3;0.0;0.3333333333333333;0.3333333333333333;0.5714285714285714;0.5714285714285714;0.0;0.6666666666666666;0.0;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.0;0.07142857142857142;0.16666666666666666;0.0;0.3;0.0;0.4444444444444444;0.16666666666666666;0.07142857142857142;0.09090909090909091;0.0;0.0;0.09090909090909091;0.16666666666666666;0.0;0.0;1.0;0.3333333333333333;0.16666666666666666;0.16666666666666666;0.42857142857142855;0.0;0.0;0.0;0.4444444444444444;0.0;0.16666666666666666;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.16666666666666666;0.3333333333333333;0.16666666666666666;0.16666666666666666;0.2;0.375;0.09090909090909091;0.0;0.07692307692307693;0.16666666666666666;0.07142857142857142;0.0;0.0;0.0;0.1111111111111111;0.0;0.1;0.0;0.0;0.0;0.0;0.5
