;GO:0018108;GO:0035562;GO:0008380;GO:0090335;GO:0045727;GO:0007098;GO:0043508;GO:1901386;GO:0051491;GO:1900453;GO:0046777;GO:0044830;GO:0006367;GO:0048715;GO:0051090;GO:0006368;GO:0007215;GO:0000188;GO:0045892;GO:0097368;GO:0000381;GO:0048488;GO:2000637;GO:0016575;GO:0007062;GO:0045814;GO:0045737;GO:0098908;GO:0036124;GO:2001022;GO:0002092;GO:1901673;GO:0006376;GO:0060999;GO:0006974;GO:0046822;GO:1990264;GO:0098586;GO:0030856;GO:0035508;GO:0001558;GO:0043484;GO:0050680;GO:0018345;GO:2000766;GO:0034773;GO:0018105;GO:0032876;GO:0033129;GO:0018107;GO:1902373;GO:0060266;GO:0045947;GO:0008089;GO:0043123;GO:0043488;GO:0042795;GO:0009615;GO:0045944;GO:0006468;GO:1901800;GO:0048814;GO:1902416;GO:0042953;GO:0045591;GO:0034644;GO:0010633;GO:0033119;GO:0002819;GO:1905042;GO:0051028;GO:0048709;GO:0035970;GO:0006351;GO:0035690;GO:0006470;GO:1901254;GO:0044387;GO:1903830;GO:1903753;GO:0006397;GO:0048666;GO:0006359;GO:0006357;GO:0006349;GO:1901409;GO:0010923;GO:0099578;GO:0070373;GO:0031047;GO:0072711;GO:0032496;GO:0070898;GO:2000301
GO:0006349;0.07548231845693805;0.036692364793703955;0.13943261564481066;0.042064647228987374;0.1356691921375081;0.01468324974140624;0.10567815125427765;0.042064647228987374;0.042064647228987374;0.042064647228987374;0.07548231845693805;0.042064647228987374;0.13943261564481066;0.042064647228987374;0.1356691921375081;0.13943261564481066;0.042064647228987374;0.10567815125427765;0.1356691921375081;0.01468324974140624;0.1356691921375081;0.0;0.1356691921375081;0.07548231845693805;0.01468324974140624;0.4606771147109871;0.10567815125427765;0.042064647228987374;0.07548231845693805;0.042064647228987374;0.10567815125427765;0.042064647228987374;0.01468324974140624;0.042064647228987374;0.01468324974140624;0.042064647228987374;0.07548231845693805;0.0;0.042064647228987374;0.10567815125427765;0.042064647228987374;0.1356691921375081;0.042064647228987374;0.07548231845693805;0.1356691921375081;0.07548231845693805;0.07548231845693805;0.10567815125427765;0.10567815125427765;0.07548231845693805;0.1356691921375081;0.09795404577404272;0.1356691921375081;0.01468324974140624;0.042064647228987374;0.1356691921375081;0.13943261564481066;0.0;0.1356691921375081;0.07548231845693805;0.10567815125427765;0.042064647228987374;0.036692364793703955;0.0;0.042064647228987374;0.01468324974140624;0.042064647228987374;0.1356691921375081;0.042064647228987374;0.042064647228987374;0.0;0.01468324974140624;0.07548231845693805;0.13943261564481066;0.01468324974140624;0.07548231845693805;0.042064647228987374;0.10567815125427765;0.0;0.10567815125427765;0.13943261564481066;0.01468324974140624;0.1356691921375081;0.1356691921375081;1.0;0.1356691921375081;0.09795404577404272;0.1356691921375081;0.10567815125427765;0.1356691921375081;0.01468324974140624;0.0;0.01468324974140624;0.042064647228987374
GO:1901409;0.0;0.036692364793703955;0.0;0.047799631016701725;0.25118815347651524;0.0;0.2589137257715929;0.042064647228987374;0.12755981097713553;0.12755981097713553;0.0;0.042064647228987374;0.0;0.047799631016701725;0.15831211565824807;0.0;0.047799631016701725;0.2589137257715929;0.15831211565824807;0.0;0.15191422087961767;0.0;0.1356691921375081;0.0;0.0;0.1356691921375081;0.2970121637671333;0.047799631016701725;0.0;0.12755981097713553;0.17825033928423412;0.047799631016701725;0.0;0.12755981097713553;0.0;0.042064647228987374;0.0;0.0;0.047799631016701725;0.28270809275848624;0.047799631016701725;0.15191422087961767;0.047799631016701725;0.0;0.19885971868423638;0.0;0.0;0.14806647662370065;0.2970121637671333;0.0;0.17825033928423412;0.09795404577404272;0.19885971868423638;0.0;0.12755981097713553;0.15191422087961767;0.0;0.0;0.193449319138058;0.0;0.25118815347651524;0.047799631016701725;0.036692364793703955;0.0;0.12755981097713553;0.0;0.047799631016701725;0.15191422087961767;0.042064647228987374;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.0;0.11511873865597294;0.2589137257715929;0.0;0.2589137257715929;0.0;0.0;0.15831211565824807;0.193449319138058;0.1356691921375081;1.0;0.23617816366413516;0.19885971868423638;0.2589137257715929;0.1356691921375081;0.0;0.0;0.0;0.047799631016701725
GO:0010923;0.0;0.2828001955049257;0.0;0.047799631016701725;0.10577604256148812;0.0;0.3464055902193935;0.2828001955049257;0.047799631016701725;0.12804570306913615;0.0;0.042064647228987374;0.0;0.13839445927415203;0.17530917548795347;0.0;0.047799631016701725;0.3464055902193935;0.198940861166088;0.0;0.10577604256148812;0.0;0.09795404577404272;0.0;0.0;0.18816457782507542;0.23617816366413516;0.047799631016701725;0.0;0.047799631016701725;0.10577604256148812;0.047799631016701725;0.0;0.047799631016701725;0.0;0.042064647228987374;0.0;0.0;0.047799631016701725;0.472331344155125;0.047799631016701725;0.10577604256148812;0.13839445927415203;0.0;0.198940861166088;0.0;0.0;0.198940861166088;0.23617816366413516;0.0;0.198940861166088;0.18816457782507542;0.198940861166088;0.0;0.047799631016701725;0.10577604256148812;0.0;0.0;0.10577604256148812;0.0;0.10577604256148812;0.047799631016701725;0.17530917548795347;0.0;0.047799631016701725;0.0;0.13839445927415203;0.198940861166088;0.042064647228987374;0.12804570306913615;0.0;0.0;0.0;0.0;0.0;0.0;0.042064647228987374;0.3464055902193935;0.0;0.3464055902193935;0.0;0.0;0.10577604256148812;0.10577604256148812;0.09795404577404272;0.23617816366413516;1.0;0.10577604256148812;0.3464055902193935;0.18816457782507542;0.0;0.0;0.0;0.13839445927415203
GO:0099578;0.0;0.036692364793703955;0.0;0.047799631016701725;0.40811559759731486;0.0;0.19885971868423638;0.042064647228987374;0.047799631016701725;0.40055823995504786;0.0;0.042064647228987374;0.0;0.047799631016701725;0.14806647662370065;0.0;0.047799631016701725;0.19885971868423638;0.14806647662370065;0.0;0.1356691921375081;0.0;0.1356691921375081;0.0;0.0;0.1356691921375081;0.19885971868423638;0.16845680521671735;0.0;0.047799631016701725;0.10577604256148812;0.047799631016701725;0.0;0.047799631016701725;0.0;0.042064647228987374;0.0;0.0;0.047799631016701725;0.19885971868423638;0.047799631016701725;0.1356691921375081;0.047799631016701725;0.0;0.40811559759731486;0.0;0.0;0.14806647662370065;0.19885971868423638;0.0;0.1356691921375081;0.09795404577404272;0.40811559759731486;0.0;0.16845680521671735;0.38147421106401475;0.0;0.0;0.14806647662370065;0.0;0.19885971868423638;0.047799631016701725;0.036692364793703955;0.0;0.047799631016701725;0.0;0.047799631016701725;0.1356691921375081;0.042064647228987374;0.042064647228987374;0.0;0.0;0.0;0.0;0.0;0.0;0.042064647228987374;0.19885971868423638;0.0;0.19885971868423638;0.0;0.0;0.14806647662370065;0.14806647662370065;0.1356691921375081;0.19885971868423638;0.10577604256148812;1.0;0.19885971868423638;0.1356691921375081;0.0;0.0;0.0;0.40055823995504786
GO:0070373;0.0;0.036692364793703955;0.0;0.047799631016701725;0.19885971868423638;0.0;0.4815520067406112;0.12804570306913615;0.047799631016701725;0.16845680521671735;0.0;0.042064647228987374;0.0;0.13839445927415203;0.10900961301269105;0.0;0.047799631016701725;0.4815520067406112;0.20539045317781315;0.0;0.10900961301269105;0.0;0.10567815125427765;0.0;0.0;0.19681204097214483;0.2589137257715929;0.16845680521671735;0.0;0.1492331351584338;0.10577604256148812;0.047799631016701725;0.0;0.047799631016701725;0.0;0.042064647228987374;0.0;0.0;0.047799631016701725;0.23617816366413516;0.047799631016701725;0.10900961301269105;0.13839445927415203;0.0;0.2919513389081199;0.0;0.0;0.20539045317781315;0.2589137257715929;0.0;0.20539045317781315;0.250245473135147;0.2919513389081199;0.0;0.2326756683755529;0.10900961301269105;0.0;0.0;0.10900961301269105;0.0;0.19885971868423638;0.047799631016701725;0.036692364793703955;0.0;0.047799631016701725;0.0;0.13839445927415203;0.20539045317781315;0.1492331351584338;0.250245473135147;0.0;0.0;0.0;0.0;0.0;0.0;0.042064647228987374;0.38244600073093926;0.0;0.4815520067406112;0.0;0.0;0.10900961301269105;0.10900961301269105;0.10567815125427765;0.2589137257715929;0.3464055902193935;0.19885971868423638;1.0;0.19681204097214483;0.0;0.0;0.0;0.2667969813617204
GO:0031047;0.01468324974140624;0.036692364793703955;0.01468324974140624;0.042064647228987374;0.1356691921375081;0.01468324974140624;0.19681204097214483;0.12804570306913615;0.042064647228987374;0.12804570306913615;0.01468324974140624;0.042064647228987374;0.01468324974140624;0.12804570306913615;0.1356691921375081;0.01468324974140624;0.042064647228987374;0.19681204097214483;0.24029018053993487;0.01468324974140624;0.1356691921375081;0.0;0.1356691921375081;0.01468324974140624;0.01468324974140624;0.24029018053993487;0.10567815125427765;0.042064647228987374;0.01468324974140624;0.042064647228987374;0.10567815125427765;0.042064647228987374;0.01468324974140624;0.042064647228987374;0.01468324974140624;0.042064647228987374;0.01468324974140624;0.0;0.042064647228987374;0.10567815125427765;0.042064647228987374;0.1356691921375081;0.12804570306913615;0.01468324974140624;0.24029018053993487;0.01468324974140624;0.01468324974140624;0.19681204097214483;0.10567815125427765;0.01468324974140624;0.19681204097214483;0.18816457782507542;0.24029018053993487;0.01468324974140624;0.042064647228987374;0.1356691921375081;0.01468324974140624;0.0;0.1356691921375081;0.01468324974140624;0.10567815125427765;0.042064647228987374;0.036692364793703955;0.0;0.042064647228987374;0.01468324974140624;0.12804570306913615;0.24029018053993487;0.042064647228987374;0.12804570306913615;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.042064647228987374;0.19681204097214483;0.0;0.19681204097214483;0.01468324974140624;0.01468324974140624;0.1356691921375081;0.1356691921375081;0.1356691921375081;0.1356691921375081;0.18816457782507542;0.1356691921375081;0.19681204097214483;1.0;0.01468324974140624;0.0;0.01468324974140624;0.12804570306913615
GO:0072711;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.1912422969752877;0.0;0.01468324974140624;0.11807622278079505;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.11807622278079505;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.1912422969752877;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.424039135199054;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;1.0;0.21955571243929653;0.01468324974140624;0.0
GO:0032496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.307600388966433;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.307600388966433;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11807622278079505;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19673256925640645;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21955571243929653;1.0;0.0;0.0
GO:0070898;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.12408495164008174;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.12408495164008174;0.12408495164008174;0.0;0.0;0.0;0.12408495164008174;0.0;0.0;0.0;0.30997634000901914;0.0;0.01468324974140624;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.12408495164008174;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;0.0;0.01468324974140624;0.0;0.0;0.0;0.0;0.01468324974140624;0.01468324974140624;0.0;1.0;0.0
GO:2000301;0.0;0.036692364793703955;0.0;0.047799631016701725;0.047799631016701725;0.0;0.2667969813617204;0.3772119238002075;0.047799631016701725;0.40055823995504786;0.0;0.042064647228987374;0.0;0.13839445927415203;0.047799631016701725;0.0;0.047799631016701725;0.2667969813617204;0.13839445927415203;0.0;0.047799631016701725;0.0;0.047799631016701725;0.0;0.0;0.12804570306913615;0.047799631016701725;0.16845680521671735;0.0;0.047799631016701725;0.365604090407221;0.047799631016701725;0.0;0.047799631016701725;0.0;0.3959990409261581;0.0;0.0;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.047799631016701725;0.13839445927415203;0.0;0.13839445927415203;0.0;0.0;0.13839445927415203;0.047799631016701725;0.0;0.13839445927415203;0.12804570306913615;0.13839445927415203;0.0;0.16845680521671735;0.16702085169111647;0.0;0.0;0.047799631016701725;0.0;0.047799631016701725;0.047799631016701725;0.036692364793703955;0.0;0.047799631016701725;0.0;0.19673256925640645;0.13839445927415203;0.042064647228987374;0.12804570306913615;0.0;0.0;0.0;0.0;0.0;0.0;0.23542160760630382;0.13839445927415203;0.0;0.2667969813617204;0.0;0.0;0.047799631016701725;0.047799631016701725;0.042064647228987374;0.047799631016701725;0.13839445927415203;0.40055823995504786;0.2667969813617204;0.12804570306913615;0.0;0.0;0.0;1.0
