;GO:0018108;GO:0035562;GO:0008380;GO:0090335;GO:0045727;GO:0007098;GO:0043508;GO:1901386;GO:0051491;GO:1900453;GO:0046777;GO:0044830;GO:0006367;GO:0048715;GO:0051090;GO:0006368;GO:0007215;GO:0000188;GO:0045892;GO:0097368;GO:0000381;GO:0048488;GO:2000637;GO:0016575;GO:0007062;GO:0045814;GO:0045737;GO:0098908;GO:0036124;GO:2001022;GO:0002092;GO:1901673;GO:0006376;GO:0060999;GO:0006974;GO:0046822;GO:1990264;GO:0098586;GO:0030856;GO:0035508;GO:0001558;GO:0043484;GO:0050680;GO:0018345;GO:2000766;GO:0034773;GO:0018105;GO:0032876;GO:0033129;GO:0018107;GO:1902373;GO:0060266;GO:0045947;GO:0008089;GO:0043123;GO:0043488;GO:0042795;GO:0009615;GO:0045944;GO:0006468;GO:1901800;GO:0048814;GO:1902416;GO:0042953;GO:0045591;GO:0034644;GO:0010633;GO:0033119;GO:0002819;GO:1905042;GO:0051028;GO:0048709;GO:0035970;GO:0006351;GO:0035690;GO:0006470;GO:1901254;GO:0044387;GO:1903830;GO:1903753;GO:0006397;GO:0048666;GO:0006359;GO:0006357;GO:0006349;GO:1901409;GO:0010923;GO:0099578;GO:0070373;GO:0031047;GO:0072711;GO:0032496;GO:0070898;GO:2000301
GO:0045947;0.0;0.08333333333333333;0.0;0.2727272727272727;0.6666666666666666;0.0;0.46153846153846156;0.23076923076923078;0.23076923076923078;0.3333333333333333;0.0;0.0;0.0;0.0;0.5;0.0;0.2727272727272727;0.46153846153846156;0.7;0.0;0.45454545454545453;0.0;0.4166666666666667;0.0;0.0;0.6666666666666666;0.2727272727272727;0.2727272727272727;0.0;0.3;0.4;0.25;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.3;0.38461538461538464;0.3;0.5555555555555556;0.4;0.0;0.7777777777777778;0.0;0.0;0.5833333333333334;0.4166666666666667;0.0;0.5;0.4;1.0;0.0;0.23076923076923078;0.5454545454545454;0.0;0.0;0.5;0.0;0.4166666666666667;0.25;0.07692307692307693;0.0;0.21428571428571427;0.0;0.3;0.6666666666666666;0.18181818181818182;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.5;0.0;0.46153846153846156;0.0;0.0;0.5454545454545454;0.5454545454545454;0.5;0.4166666666666667;0.4166666666666667;0.6;0.5;0.6;0.0;0.0;0.0;0.36363636363636365
GO:0008089;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043123;0.0;0.09090909090909091;0.0;0.2727272727272727;0.36363636363636365;0.0;0.4166666666666667;0.15384615384615385;0.3;0.4444444444444444;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.45454545454545453;0.23076923076923078;0.0;0.21428571428571427;0.0;0.4;0.0;0.0;0.16666666666666666;0.4;0.3333333333333333;0.0;0.5;0.4;0.25;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.3;0.2857142857142857;0.3;0.25;0.2727272727272727;0.0;0.23076923076923078;0.0;0.0;0.25;0.2857142857142857;0.0;0.2727272727272727;0.2727272727272727;0.23076923076923078;0.0;1.0;0.1;0.0;0.0;0.25;0.0;0.3076923076923077;0.0;0.08333333333333333;0.0;0.3076923076923077;0.0;0.2;0.23076923076923078;0.3333333333333333;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.07142857142857142;0.0;0.45454545454545453;0.0;0.0;0.23076923076923078;0.23076923076923078;0.18181818181818182;0.3076923076923077;0.08333333333333333;0.2727272727272727;0.5;0.0;0.0;0.0;0.0;0.2727272727272727
GO:0043488;0.0;0.125;0.0;0.3;0.6;0.0;0.23076923076923078;0.1;0.1111111111111111;0.2857142857142857;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.2857142857142857;0.5;0.0;0.5454545454545454;0.0;0.3;0.0;0.0;0.5;0.3;0.2857142857142857;0.0;0.3333333333333333;0.4444444444444444;0.2727272727272727;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.3333333333333333;0.3076923076923077;0.14285714285714285;0.625;0.3;0.0;0.5454545454545454;0.0;0.0;0.38461538461538464;0.3333333333333333;0.0;0.75;0.3;0.5454545454545454;0.0;0.1;1.0;0.0;0.0;0.45454545454545453;0.0;0.45454545454545453;0.0;0.1111111111111111;0.0;0.23076923076923078;0.0;0.125;0.5555555555555556;0.125;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.09090909090909091;0.0;0.25;0.0;0.0;0.5;0.5;0.4444444444444444;0.4166666666666667;0.1111111111111111;0.5454545454545454;0.3076923076923077;0.45454545454545453;0.0;0.0;0.0;0.25
GO:0042795;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.6;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.6;0.0;0.375;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0009615;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0
GO:0045944;0.0;0.08333333333333333;0.0;0.25;0.6666666666666666;0.0;0.2;0.14285714285714285;0.2727272727272727;0.2727272727272727;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.25;0.6666666666666666;0.0;0.45454545454545453;0.0;0.4166666666666667;0.0;0.0;0.5;0.2727272727272727;0.2;0.0;0.36363636363636365;0.5555555555555556;0.23076923076923078;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.2727272727272727;0.35714285714285715;0.2727272727272727;0.5555555555555556;0.25;0.0;0.5;0.0;0.0;0.46153846153846156;0.38461538461538464;0.0;0.6666666666666666;0.2727272727272727;0.5;0.0;0.25;0.45454545454545453;0.0;0.0;1.0;0.0;0.38461538461538464;0.0;0.07692307692307693;0.0;0.21428571428571427;0.0;0.18181818181818182;0.5;0.18181818181818182;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.26666666666666666;0.0;0.21428571428571427;0.0;0.0;0.6666666666666666;0.875;0.5;0.7;0.2857142857142857;0.5;0.26666666666666666;0.45454545454545453;0.0;0.0;0.0;0.23076923076923078
GO:0006468;0.8571428571428571;0.0;0.375;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.8571428571428571;0.0;0.2857142857142857;0.0;0.0;0.2857142857142857;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.625;0.14285714285714285;0.0;0.0;0.0;0.45454545454545453;0.0;0.0;0.0;0.14285714285714285;0.0;0.1111111111111111;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.0;0.45454545454545453;0.8571428571428571;0.0;0.0;0.8571428571428571;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.625;0.375;0.1111111111111111;0.7142857142857143;0.0;0.0;0.0;0.0;0.375;0.14285714285714285;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.125;0.1;0.0;0.14285714285714285;0.0
GO:1901800;0.0;0.07692307692307693;0.0;0.25;0.6;0.0;0.3125;0.13333333333333333;0.25;0.3333333333333333;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.25;0.3333333333333333;0.3333333333333333;0.0;0.3076923076923077;0.0;0.36363636363636365;0.0;0.0;0.3333333333333333;0.36363636363636365;0.25;0.0;0.4;0.5;0.23076923076923078;0.0;0.2857142857142857;0.0;0.15384615384615385;0.0;0.0;0.2727272727272727;0.46153846153846156;0.2727272727272727;0.36363636363636365;0.25;0.0;0.4166666666666667;0.0;0.0;0.23076923076923078;0.5;0.0;0.4166666666666667;0.25;0.4166666666666667;0.0;0.3076923076923077;0.45454545454545453;0.0;0.0;0.38461538461538464;0.0;1.0;0.23076923076923078;0.07142857142857142;0.0;0.2857142857142857;0.0;0.16666666666666666;0.3333333333333333;0.16666666666666666;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.35714285714285715;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.3333333333333333;0.36363636363636365;0.5;0.2857142857142857;0.4166666666666667;0.35714285714285715;0.3076923076923077;0.0;0.0;0.0;0.23076923076923078
GO:0048814;0.0;0.0;0.0;0.4444444444444444;0.2727272727272727;0.0;0.23076923076923078;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.21428571428571427;0.5;0.0;0.0;0.0;0.25;0.0;0.0;0.2727272727272727;0.3076923076923077;0.0;0.0;0.625;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;1.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:1902416;0.0;0.375;0.0;0.09090909090909091;0.08333333333333333;0.0;0.14285714285714285;0.18181818181818182;0.09090909090909091;0.1111111111111111;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.14285714285714285;0.08333333333333333;0.0;0.07692307692307693;0.0;0.09090909090909091;0.0;0.0;0.08333333333333333;0.25;0.1111111111111111;0.0;0.1;0.09090909090909091;0.08333333333333333;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.1;0.2727272727272727;0.1111111111111111;0.09090909090909091;0.09090909090909091;0.0;0.07692307692307693;0.0;0.0;0.08333333333333333;0.06666666666666667;0.0;0.08333333333333333;0.1;0.07692307692307693;0.0;0.08333333333333333;0.1111111111111111;0.0;0.0;0.07692307692307693;0.0;0.07142857142857142;0.0;1.0;0.0;0.07142857142857142;0.0;0.1;0.08333333333333333;0.1;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.16666666666666666;0.0;0.07692307692307693;0.0;0.0;0.08333333333333333;0.08333333333333333;0.09090909090909091;0.07142857142857142;0.2;0.08333333333333333;0.07692307692307693;0.0;0.0;0.0;0.0;0.08333333333333333
GO:0042953;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045591;0.0;0.07692307692307693;0.0;0.36363636363636365;0.3333333333333333;0.0;0.2;0.13333333333333333;0.25;0.3333333333333333;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.25;0.1875;0.21428571428571427;0.0;0.2;0.0;0.36363636363636365;0.0;0.0;0.14285714285714285;0.36363636363636365;0.25;0.0;0.4;0.36363636363636365;0.23076923076923078;0.0;0.2857142857142857;0.0;0.15384615384615385;0.0;0.0;0.4;0.26666666666666666;0.2727272727272727;0.23076923076923078;0.25;0.0;0.21428571428571427;0.0;0.0;0.23076923076923078;0.26666666666666666;0.0;0.23076923076923078;0.36363636363636365;0.21428571428571427;0.0;0.3076923076923077;0.23076923076923078;0.0;0.0;0.21428571428571427;0.0;0.2857142857142857;0.3333333333333333;0.07142857142857142;0.0;1.0;0.0;0.2727272727272727;0.21428571428571427;0.2727272727272727;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.17647058823529413;0.0;0.21428571428571427;0.0;0.0;0.21428571428571427;0.21428571428571427;0.15384615384615385;0.2857142857142857;0.2;0.21428571428571427;0.2;0.0;0.0;0.0;0.0;0.23076923076923078
GO:0034644;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.2222222222222222;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.2;0.14285714285714285;0.0;0.0
GO:0010633;0.0;0.1111111111111111;0.0;0.2222222222222222;0.2;0.0;0.25;0.3;0.2222222222222222;0.5;0.0;0.0;0.0;0.4;0.14285714285714285;0.0;0.0;0.2727272727272727;0.3333333333333333;0.0;0.18181818181818182;0.0;0.2222222222222222;0.0;0.0;0.3333333333333333;0.2222222222222222;0.2857142857142857;0.0;0.25;0.2222222222222222;0.2;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.42857142857142855;0.15384615384615385;0.2857142857142857;0.2222222222222222;0.375;0.0;0.3;0.0;0.0;0.3333333333333333;0.15384615384615385;0.0;0.3;0.6666666666666666;0.3;0.0;0.2;0.125;0.0;0.0;0.18181818181818182;0.0;0.16666666666666666;0.0;0.1;0.0;0.2727272727272727;0.0;1.0;0.3333333333333333;0.25;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.23076923076923078;0.0;0.2727272727272727;0.0;0.0;0.2;0.2;0.2222222222222222;0.16666666666666666;0.2727272727272727;0.2;0.3;0.3;0.0;0.0;0.0;0.3333333333333333
GO:0033119;0.0;0.09090909090909091;0.0;0.2727272727272727;0.5555555555555556;0.0;0.35714285714285715;0.25;0.18181818181818182;0.375;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.35714285714285715;0.75;0.0;0.6666666666666666;0.0;0.45454545454545453;0.0;0.0;0.75;0.2727272727272727;0.2222222222222222;0.0;0.3;0.4444444444444444;0.25;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.3;0.2857142857142857;0.3;0.8571428571428571;0.4;0.0;0.6666666666666666;0.0;0.0;0.5;0.3076923076923077;0.0;0.6666666666666666;0.4444444444444444;0.6666666666666666;0.0;0.23076923076923078;0.5555555555555556;0.0;0.0;0.5;0.0;0.3333333333333333;0.0;0.08333333333333333;0.0;0.21428571428571427;0.0;0.3333333333333333;1.0;0.2;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.38461538461538464;0.0;0.35714285714285715;0.0;0.0;0.5555555555555556;0.5555555555555556;0.5555555555555556;0.45454545454545453;0.4166666666666667;0.45454545454545453;0.38461538461538464;0.6666666666666666;0.0;0.0;0.0;0.36363636363636365
GO:0002819;0.0;0.1111111111111111;0.0;0.2222222222222222;0.2;0.0;0.25;0.18181818181818182;0.2222222222222222;0.2857142857142857;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.2727272727272727;0.2;0.0;0.18181818181818182;0.0;0.2222222222222222;0.0;0.0;0.2;0.2222222222222222;0.2857142857142857;0.0;0.42857142857142855;0.2222222222222222;0.2;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.25;0.15384615384615385;0.2857142857142857;0.2222222222222222;0.2222222222222222;0.0;0.18181818181818182;0.0;0.0;0.2;0.15384615384615385;0.0;0.2;0.5;0.18181818181818182;0.0;0.3333333333333333;0.125;0.0;0.0;0.18181818181818182;0.0;0.16666666666666666;0.0;0.1;0.0;0.2727272727272727;0.0;0.25;0.2;1.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.08333333333333333;0.0;0.2727272727272727;0.0;0.0;0.2;0.2;0.2222222222222222;0.16666666666666666;0.1;0.2;0.3;0.0;0.0;0.0;0.0;0.2
GO:1905042;0.0;0.1;0.0;0.3333333333333333;0.18181818181818182;0.0;0.3076923076923077;0.2727272727272727;0.2;0.42857142857142855;0.0;0.0;0.0;0.36363636363636365;0.125;0.0;0.0;0.3333333333333333;0.3;0.0;0.16666666666666666;0.0;0.2;0.0;0.0;0.3;0.2;0.25;0.0;0.3333333333333333;0.2;0.18181818181818182;0.0;0.0;0.0;0.2;0.0;0.0;0.375;0.14285714285714285;0.42857142857142855;0.2;0.3333333333333333;0.0;0.2727272727272727;0.0;0.0;0.3;0.14285714285714285;0.0;0.2727272727272727;0.5555555555555556;0.2727272727272727;0.0;0.2727272727272727;0.1111111111111111;0.0;0.0;0.16666666666666666;0.0;0.15384615384615385;0.0;0.09090909090909091;0.0;0.25;0.0;0.375;0.3;0.3333333333333333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.21428571428571427;0.0;0.3333333333333333;0.0;0.0;0.18181818181818182;0.18181818181818182;0.2;0.15384615384615385;0.25;0.18181818181818182;0.36363636363636365;0.2727272727272727;0.0;0.0;0.0;0.3
GO:0051028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0048709;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.125;0.0;0.2;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.16666666666666666;0.0;0.0;0.0
GO:0035970;0.5555555555555556;0.0;0.3333333333333333;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.25;0.0;0.0;0.25;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.5555555555555556;0.125;0.0;0.0;0.0;0.4166666666666667;0.0;0.0;0.0;0.125;0.0;0.1;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.4166666666666667;0.5555555555555556;0.0;0.0;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.625;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.125;1.0;0.3333333333333333;0.1;0.8571428571428571;0.0;0.0;0.0;0.0;0.3333333333333333;0.125;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.1111111111111111;0.09090909090909091;0.0;0.125;0.0
GO:0006351;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.6;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;1.0;0.0;0.375;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035690;0.1;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.1;0.0;0.2;0.0;0.0;0.2;0.2;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.2;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.2;0.1;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.2;0.1;0.0;1.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.16666666666666666;0.8;0.3333333333333333;0.2;0.0
GO:0006470;0.625;0.0;0.375;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.625;0.0;0.2857142857142857;0.0;0.0;0.2857142857142857;0.14285714285714285;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.625;0.14285714285714285;0.0;0.0;0.0;0.45454545454545453;0.0;0.0;0.0;0.14285714285714285;0.0;0.1111111111111111;0.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.0;0.45454545454545453;0.625;0.0;0.0;0.625;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.7142857142857143;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.8571428571428571;0.375;0.1111111111111111;1.0;0.0;0.0;0.0;0.0;0.375;0.14285714285714285;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.125;0.1;0.0;0.14285714285714285;0.0
GO:1901254;0.0;0.1111111111111111;0.0;0.2222222222222222;0.3333333333333333;0.0;0.16666666666666666;0.36363636363636365;0.375;0.375;0.0;0.5454545454545454;0.0;0.0;0.14285714285714285;0.0;0.0;0.16666666666666666;0.2;0.0;0.18181818181818182;0.0;0.375;0.0;0.0;0.2;0.375;0.2857142857142857;0.0;0.42857142857142855;0.5;0.2;0.0;0.0;0.0;0.5;0.0;0.0;0.25;0.25;0.2857142857142857;0.2222222222222222;0.2222222222222222;0.0;0.18181818181818182;0.0;0.0;0.2;0.25;0.0;0.3333333333333333;0.25;0.18181818181818182;0.0;0.3333333333333333;0.125;0.0;0.0;0.3;0.0;0.2727272727272727;0.0;0.1;0.0;0.2727272727272727;0.0;0.25;0.2;0.25;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.08333333333333333;0.0;0.18181818181818182;0.0;0.0;0.2;0.2;0.2222222222222222;0.2727272727272727;0.1;0.2;0.18181818181818182;0.0;0.0;0.0;0.0;0.4
GO:0044387;0.0;0.3;0.0;0.21428571428571427;0.4166666666666667;0.0;0.6363636363636364;0.25;0.07692307692307693;0.25;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.6363636363636364;0.38461538461538464;0.0;0.26666666666666666;0.0;0.21428571428571427;0.0;0.0;0.38461538461538464;0.5454545454545454;0.09090909090909091;0.0;0.23076923076923078;0.3076923076923077;0.2;0.0;0.0;0.0;0.07692307692307693;0.0;0.0;0.23076923076923078;0.42857142857142855;0.09090909090909091;0.3076923076923077;0.3076923076923077;0.0;0.5;0.0;0.0;0.2857142857142857;0.5833333333333334;0.0;0.35714285714285715;0.3076923076923077;0.5;0.0;0.07142857142857142;0.09090909090909091;0.0;0.0;0.26666666666666666;0.0;0.35714285714285715;0.0;0.16666666666666666;0.0;0.17647058823529413;0.0;0.23076923076923078;0.38461538461538464;0.08333333333333333;0.21428571428571427;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;1.0;0.0;0.6153846153846154;0.0;0.0;0.2857142857142857;0.2857142857142857;0.3076923076923077;0.5833333333333334;0.5384615384615384;0.38461538461538464;0.6666666666666666;0.35714285714285715;0.0;0.0;0.0;0.2857142857142857
GO:1903830;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
