;GO:2000480;GO:0014068;GO:0008584;GO:0014065;GO:0035162;GO:1902036;GO:0015031;GO:0046854;GO:0050796;GO:0001666;GO:0001701;GO:0071773;GO:0072107;GO:2000352;GO:0032689;GO:0060231;GO:1902043;GO:0042308;GO:0050728;GO:0051260;GO:0007265;GO:0042421;GO:0009967;GO:0072182;GO:0072178;GO:0061290;GO:0051897;GO:0010389;GO:0008284;GO:0045786;GO:0038095;GO:0097190;GO:0042035;GO:0038096;GO:0043523;GO:0045944;GO:0048538;GO:0050850;GO:0000165;GO:0043370;GO:0007229;GO:0032703;GO:0001920;GO:0001766;GO:0046641;GO:0019221;GO:0033632;GO:0001806;GO:0072643;GO:0010595;GO:0050852;GO:0070228;GO:0035898;GO:0050853;GO:0016579;GO:0060374;GO:0031295;GO:0038083;GO:0048304;GO:1901536;GO:0001662;GO:0050862;GO:0002863;GO:0050860;GO:2000703;GO:2000146;GO:2000664;GO:0050900;GO:2000667;GO:0050863;GO:0045727;GO:0051051;GO:0006882;GO:0006366;GO:0043542;GO:0045840;GO:0043303;GO:0043029;GO:2000679;GO:0002317;GO:0010975;GO:0006919;GO:0051209;GO:0051569;GO:0019722;GO:2001244;GO:2000553;GO:0061085;GO:0002572;GO:0042985;GO:0030217;GO:0045064;GO:2000607;GO:0010629;GO:0030218;GO:0071442;GO:0045860;GO:0045582;GO:0045066;GO:0010469;GO:2000683;GO:0032753;GO:0035589;GO:0033600;GO:0046718;GO:0060065;GO:0045589;GO:0009615;GO:0000122;GO:2000617;GO:0045471;GO:2000734;GO:0010716;GO:0071353;GO:0072602;GO:0071356;GO:2000611;GO:0071599;GO:0045070;GO:0035457;GO:0045638;GO:0006470;GO:0045599;GO:0007169;GO:0042089;GO:0031929;GO:0048469;GO:0048468;GO:0045086;GO:0045087;GO:0043066;GO:0006508;GO:0072676;GO:0032733
GO:0001806;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.1111111111111111;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.09090909090909091;0.0;0.09090909090909091;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0
GO:0072643;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0010595;0.07142857142857142;0.3;0.0;0.0;0.0;0.3;0.0;0.0;0.25;0.0;0.0;0.0;0.5;0.15384615384615385;0.3333333333333333;0.0;0.2727272727272727;0.2;0.2;0.0;0.0;0.0;0.375;0.3;0.0;0.0;0.3;0.18181818181818182;0.375;0.2222222222222222;0.0;0.0;0.375;0.0;0.2;0.2727272727272727;0.0;0.3;0.0;0.23076923076923078;0.0;0.3333333333333333;0.2222222222222222;0.0;0.25;0.0;0.2222222222222222;0.0;0.0;1.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.5;0.18181818181818182;0.0;0.3;0.3333333333333333;0.2;0.3333333333333333;0.4444444444444444;0.4444444444444444;0.0;0.4444444444444444;0.2;0.3;0.25;0.07142857142857142;0.0;0.0;0.3;0.0;0.0;0.09090909090909091;0.0;0.0;0.25;0.0;0.15384615384615385;0.0;0.3;0.4;0.15384615384615385;0.0;0.16666666666666666;0.0;0.0;0.3;0.2;0.0;0.21428571428571427;0.23076923076923078;0.4;0.0;0.125;0.25;0.5;0.0;0.375;0.0;0.0;0.25;0.0;0.16666666666666666;0.23076923076923078;0.0;0.3333333333333333;0.18181818181818182;0.0;0.0;0.0;0.3333333333333333;0.0;0.3;0.0;0.3333333333333333;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.18181818181818182;0.0;0.0;0.5
GO:0050852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.4166666666666667;0.45454545454545453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4166666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0070228;0.1875;0.23076923076923078;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.16666666666666666;0.5454545454545454;0.16666666666666666;0.0;0.5;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.2727272727272727;0.25;0.0;0.0;0.23076923076923078;0.25;0.3;0.3;0.0;0.3;0.2727272727272727;0.0;0.6666666666666666;0.21428571428571427;0.0;0.23076923076923078;0.2727272727272727;0.21428571428571427;0.2727272727272727;0.16666666666666666;0.2727272727272727;0.0;0.2;0.2727272727272727;0.18181818181818182;0.0;0.0;0.16666666666666666;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.23076923076923078;0.0;0.23076923076923078;0.16666666666666666;0.23076923076923078;0.25;0.2727272727272727;0.23076923076923078;0.0;0.23076923076923078;0.25;0.25;0.2;0.0625;0.0;0.0;0.25;0.0;0.0;0.07692307692307693;0.0;0.0;0.5454545454545454;0.2727272727272727;0.21428571428571427;0.0;0.5454545454545454;0.15384615384615385;0.21428571428571427;0.0;0.23076923076923078;0.0;0.0;0.25;0.16666666666666666;0.0;0.1875;0.2;0.23076923076923078;0.0;0.2727272727272727;0.3333333333333333;0.16666666666666666;0.0;0.25;0.0;0.0;0.23076923076923078;0.0;0.21428571428571427;0.2;0.0;0.25;0.25;0.0;0.0;0.0;0.2727272727272727;0.0;0.15384615384615385;0.0;0.2727272727272727;0.0;0.2727272727272727;0.0;0.0;0.2727272727272727;0.0;0.0;0.23076923076923078;0.0;0.6666666666666666;0.0;0.0;0.16666666666666666
GO:0035898;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0050853;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.4166666666666667;0.45454545454545453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4166666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0016579;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.45454545454545453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0
GO:0060374;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0031295;0.0;0.25;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.25;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.25;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.7;0.0;0.4444444444444444;0.125;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.5454545454545454;0.0;0.0;0.36363636363636365;0.4;0.2727272727272727;0.0;0.0;0.25;0.25;0.25;0.75;0.3333333333333333;0.0;0.0;0.0;0.0;0.3333333333333333;0.25;0.16666666666666666;0.0;0.25;0.0;0.2857142857142857;0.0;0.2;0.0;0.25;0.36363636363636365;0.2;0.0;0.21428571428571427;0.25;0.25;0.23076923076923078;0.0;0.0;0.25;0.0;0.7777777777777778;0.25;0.0;0.3;0.2727272727272727;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.26666666666666666;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.36363636363636365;0.0;0.25;0.0;0.2727272727272727;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.25;0.2;0.23076923076923078;0.0;0.0;0.2727272727272727
GO:0038083;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.25;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.1111111111111111;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.6;0.0;0.1111111111111111;0.0;0.0;0.07692307692307693;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.1111111111111111;0.1111111111111111;0.45454545454545453;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.07692307692307693;0.0;0.0;0.0;0.07692307692307693;0.0;0.5555555555555556;0.0;0.1111111111111111;0.3;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.0;0.0;0.0;0.3333333333333333;0.0;0.0
GO:0048304;0.07142857142857142;0.3;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.5;0.15384615384615385;0.3333333333333333;0.0;0.2727272727272727;0.2;0.2;0.0;0.0;0.0;0.375;0.4;0.0;0.0;0.3;0.18181818181818182;0.375;0.2222222222222222;0.0;0.0;0.375;0.0;0.2;0.4166666666666667;0.0;0.3;0.0;0.38461538461538464;0.0;0.3333333333333333;0.36363636363636365;0.0;0.5;0.0;0.2222222222222222;0.0;0.0;0.5;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.5454545454545454;0.0;1.0;0.45454545454545453;0.0;0.3;0.3333333333333333;0.2;0.3333333333333333;0.2222222222222222;0.4444444444444444;0.0;0.4444444444444444;0.5;0.45454545454545453;0.25;0.07142857142857142;0.0;0.0;0.3;0.0;0.0;0.09090909090909091;0.0;0.0;0.25;0.0;0.26666666666666666;0.0;0.3;0.4;0.26666666666666666;0.0;0.2857142857142857;0.0;0.0;0.3;0.36363636363636365;0.0;0.3333333333333333;0.35714285714285715;0.5454545454545454;0.0;0.125;0.25;0.5;0.0;0.375;0.0;0.0;0.4166666666666667;0.0;0.3076923076923077;0.23076923076923078;0.0;0.3333333333333333;0.18181818181818182;0.0;0.0;0.0;0.45454545454545453;0.0;0.3;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.18181818181818182;0.0;0.0;0.5
GO:1901536;0.35714285714285715;0.23076923076923078;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.18181818181818182;0.3076923076923077;0.3;0.0;0.21428571428571427;0.3;0.3;0.0;0.0;0.0;0.2727272727272727;0.25;0.0;0.0;0.23076923076923078;0.25;0.3;0.4444444444444444;0.0;0.3;0.4444444444444444;0.0;0.2727272727272727;0.36363636363636365;0.0;0.23076923076923078;0.2727272727272727;0.21428571428571427;0.0;0.3;0.625;0.0;0.2;0.0;0.2;0.0;0.0;0.18181818181818182;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;1.0;0.0;0.23076923076923078;0.18181818181818182;0.3;0.36363636363636365;0.4;0.23076923076923078;0.0;0.23076923076923078;0.25;0.4;0.375;0.06666666666666667;0.0;0.0;0.25;0.0;0.0;0.08333333333333333;0.0;0.0;0.26666666666666666;0.4;0.3076923076923077;0.0;0.23076923076923078;0.16666666666666666;0.3076923076923077;0.0;0.45454545454545453;0.0;0.0;0.36363636363636365;0.625;0.0;0.2857142857142857;0.3076923076923077;0.23076923076923078;0.0;0.1111111111111111;0.3333333333333333;0.18181818181818182;0.0;0.3333333333333333;0.0;0.0;0.23076923076923078;0.0;0.5;0.2857142857142857;0.0;0.36363636363636365;0.36363636363636365;0.0;0.0;0.0;0.4;0.0;0.16666666666666666;0.0;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.0;0.36363636363636365;0.0;0.0;0.18181818181818182
GO:0001662;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0
GO:0050862;0.1875;0.5555555555555556;0.0;0.0;0.0;0.3;0.0;0.0;0.3;0.0;0.0;0.0;0.3;0.21428571428571427;0.18181818181818182;0.0;0.5;0.18181818181818182;0.3;0.0;0.0;0.0;0.7142857142857143;0.25;0.0;0.0;0.5555555555555556;0.25;0.4444444444444444;0.3;0.36363636363636365;0.3;0.2727272727272727;0.4166666666666667;0.2727272727272727;0.25;0.0;0.5555555555555556;0.2727272727272727;0.23076923076923078;0.0;0.18181818181818182;0.3333333333333333;0.0;0.3333333333333333;0.0;0.2;0.0;0.0;0.3;0.4166666666666667;0.23076923076923078;0.0;0.4166666666666667;0.0;0.0;0.36363636363636365;0.0;0.3;0.23076923076923078;0.0;1.0;0.625;0.75;0.4;0.2727272727272727;0.2727272727272727;0.0;0.2727272727272727;0.3;0.36363636363636365;0.2222222222222222;0.06666666666666667;0.0;0.0;0.36363636363636365;0.0;0.0;0.08333333333333333;0.0;0.0;0.3076923076923077;0.0;0.21428571428571427;0.0;0.5555555555555556;0.5555555555555556;0.21428571428571427;0.0;0.23076923076923078;0.0;0.0;0.25;0.18181818181818182;0.0;0.26666666666666666;0.2857142857142857;0.36363636363636365;0.0;0.5;0.375;0.3;0.0;0.2;0.0;0.0;0.25;0.0;0.21428571428571427;0.2857142857142857;0.0;0.4444444444444444;0.25;0.0;0.0;0.0;0.4;0.0;0.2727272727272727;0.0;0.3;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.25;0.0;0.0;0.3
GO:0002863;0.07142857142857142;0.4444444444444444;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.3333333333333333;0.15384615384615385;0.2;0.0;0.4;0.2;0.625;0.0;0.0;0.0;0.5714285714285714;0.18181818181818182;0.0;0.0;0.4444444444444444;0.18181818181818182;0.375;0.2222222222222222;0.4;0.0;0.2222222222222222;0.45454545454545453;0.2;0.2727272727272727;0.0;0.4444444444444444;0.0;0.25;0.0;0.2;0.2222222222222222;0.0;0.36363636363636365;0.0;0.2222222222222222;0.0;0.0;0.3333333333333333;0.45454545454545453;0.16666666666666666;0.0;0.45454545454545453;0.0;0.0;0.4;0.0;0.3333333333333333;0.18181818181818182;0.0;0.625;1.0;0.4444444444444444;0.3;0.2222222222222222;0.3;0.0;0.3;0.3333333333333333;0.3;0.25;0.07142857142857142;0.0;0.0;0.3;0.0;0.0;0.09090909090909091;0.0;0.0;0.25;0.0;0.15384615384615385;0.0;0.4444444444444444;0.625;0.15384615384615385;0.0;0.16666666666666666;0.0;0.0;0.18181818181818182;0.2;0.0;0.21428571428571427;0.23076923076923078;0.4;0.0;0.375;0.42857142857142855;0.3333333333333333;0.0;0.2222222222222222;0.0;0.0;0.2727272727272727;0.0;0.16666666666666666;0.23076923076923078;0.0;0.3333333333333333;0.18181818181818182;0.0;0.0;0.0;0.3333333333333333;0.0;0.3;0.0;0.3333333333333333;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.18181818181818182;0.0;0.0;0.3333333333333333
GO:0050860;0.21428571428571427;0.4;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.3;0.0;0.0;0.0;0.2;0.3076923076923077;0.3333333333333333;0.0;0.36363636363636365;0.3333333333333333;0.4444444444444444;0.0;0.0;0.0;0.5;0.25;0.0;0.0;0.4;0.25;0.3;0.4444444444444444;0.0;0.0;0.2222222222222222;0.36363636363636365;0.2727272727272727;0.16666666666666666;0.0;0.4;0.0;0.25;0.0;0.3333333333333333;0.5;0.0;0.25;0.0;0.2222222222222222;0.0;0.0;0.2;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.2;0.3;0.0;0.75;0.4444444444444444;1.0;0.5555555555555556;0.375;0.18181818181818182;0.0;0.18181818181818182;0.3333333333333333;0.25;0.42857142857142855;0.07142857142857142;0.0;0.0;0.25;0.0;0.0;0.09090909090909091;0.0;0.0;0.21428571428571427;0.4;0.21428571428571427;0.0;0.4;0.4;0.21428571428571427;0.0;0.3333333333333333;0.0;0.0;0.36363636363636365;0.3333333333333333;0.0;0.1875;0.08333333333333333;0.2727272727272727;0.0;0.5;0.375;0.2;0.0;0.375;0.0;0.0;0.2727272727272727;0.0;0.2727272727272727;0.2;0.0;0.625;0.36363636363636365;0.0;0.0;0.0;0.2727272727272727;0.0;0.18181818181818182;0.0;0.5;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.36363636363636365;0.0;0.0;0.2
GO:2000703;0.2857142857142857;0.4;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.3;0.0;0.0;0.0;0.6666666666666666;0.3333333333333333;0.5;0.0;0.36363636363636365;0.3333333333333333;0.4444444444444444;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.4;0.2727272727272727;0.3333333333333333;0.5;0.0;0.3333333333333333;0.375;0.0;0.3;0.23076923076923078;0.0;0.4;0.3;0.25;0.0;0.5;0.5;0.0;0.21428571428571427;0.0;0.2222222222222222;0.0;0.0;0.3333333333333333;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.36363636363636365;0.0;0.4;0.3;0.5555555555555556;1.0;0.375;0.3;0.0;0.3;0.2727272727272727;0.2727272727272727;0.42857142857142855;0.07142857142857142;0.0;0.0;0.2727272727272727;0.0;0.0;0.09090909090909091;0.0;0.0;0.23076923076923078;0.4444444444444444;0.23076923076923078;0.0;0.4;0.2727272727272727;0.23076923076923078;0.0;0.36363636363636365;0.0;0.0;0.75;0.3333333333333333;0.0;0.2;0.21428571428571427;0.2727272727272727;0.0;0.5;0.375;0.3333333333333333;0.0;0.5714285714285714;0.0;0.0;0.2727272727272727;0.0;0.2727272727272727;0.21428571428571427;0.0;0.75;0.4;0.0;0.0;0.0;0.3;0.0;0.18181818181818182;0.0;0.5;0.0;0.5;0.0;0.0;0.3;0.0;0.0;0.3;0.0;0.4;0.0;0.0;0.3333333333333333
GO:2000146;0.3076923076923077;0.2727272727272727;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.2222222222222222;0.36363636363636365;0.375;0.0;0.25;0.375;0.375;0.0;0.0;0.0;0.3333333333333333;0.3;0.0;0.0;0.2727272727272727;0.3;0.375;0.5714285714285714;0.0;0.375;0.3333333333333333;0.0;0.3333333333333333;0.25;0.0;0.2727272727272727;0.3333333333333333;0.25;0.0;0.375;0.5;0.0;0.23076923076923078;0.0;0.25;0.0;0.0;0.4444444444444444;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.4;0.0;0.2727272727272727;0.2222222222222222;0.375;0.375;1.0;0.2727272727272727;0.0;0.2727272727272727;0.3;0.3;0.5;0.07692307692307693;0.0;0.0;0.3;0.0;0.0;0.1;0.0;0.0;0.25;0.5;0.25;0.0;0.2727272727272727;0.2;0.25;0.0;0.4;0.0;0.0;0.4444444444444444;0.375;0.0;0.21428571428571427;0.09090909090909091;0.2727272727272727;0.0;0.14285714285714285;0.42857142857142855;0.2222222222222222;0.0;0.42857142857142855;0.0;0.0;0.2727272727272727;0.0;0.36363636363636365;0.23076923076923078;0.0;0.4444444444444444;0.4444444444444444;0.0;0.0;0.0;0.3333333333333333;0.0;0.2;0.0;0.5;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.4444444444444444;0.0;0.0;0.2222222222222222
