;GO:2000480;GO:0061333;GO:0032693;GO:1902950;GO:0002634;GO:0071498;GO:0071374;GO:0002638;GO:0001947;GO:2000111;GO:0019886;GO:0050710;GO:0042308;GO:1902564;GO:0060998;GO:0045652;GO:0002922;GO:0002924;GO:0014902;GO:0030890;GO:0051898;GO:1905563;GO:0060025;GO:0045947;GO:1904753;GO:0002062;GO:0045666;GO:0045663;GO:0038096;GO:0045669;GO:0045944;GO:0043401;GO:0043524;GO:0000165;GO:0051145;GO:0030889;GO:0071277;GO:0001649;GO:0050731;GO:0050853;GO:0043537;GO:0046928;GO:1900165;GO:0060536;GO:1904646;GO:0048667;GO:0048666;GO:0043410;GO:0001782;GO:0007517;GO:0002467;GO:0002622;GO:0001811;GO:0016064;GO:0050869;GO:0001814;GO:2001199;GO:0060045;GO:0055012;GO:0006366;GO:0006367;GO:0035914;GO:0002316;GO:0043031;GO:0048167;GO:0030220;GO:2000311;GO:2000310;GO:0030224;GO:0071219;GO:0010694;GO:0014898;GO:0051966;GO:0030501;GO:0051963;GO:0043318;GO:0014033;GO:0030182;GO:0042100;GO:1904706;GO:0006898;GO:2000727;GO:0071560;GO:0002605;GO:2001016;GO:0010469;GO:0031666;GO:0050766;GO:0035984;GO:0050765;GO:0090073;GO:0000122;GO:0060297;GO:0035176;GO:0035690;GO:0007166;GO:1905898;GO:0072160;GO:1901216;GO:0006357;GO:0030318;GO:0009617;GO:0071222;GO:2000987;GO:0045087;GO:0046330;GO:0045088;GO:0071864;GO:0030279
GO:2001016;0.06666666666666665;0.0;0.14814814814814814;0.14814814814814814;0.1428571428571429;0.0;0.0;0.09999999999999998;0.0;0.18181818181818177;0.0;0.11111111111111116;0.06521739130434778;0.12903225806451613;0.25806451612903225;0.31999999999999995;0.13793103448275867;0.06521739130434778;0.0;0.14634146341463417;0.11428571428571432;0.12903225806451613;0.15384615384615385;0.07547169811320753;0.11111111111111116;0.0;0.4482758620689655;0.4347826086956522;0.11904761904761907;0.48;0.11764705882352944;0.16000000000000003;0.12121212121212122;0.09302325581395354;0.0;0.09302325581395354;0.0;0.0;0.13043478260869568;0.13157894736842102;0.1282051282051282;0.11764705882352944;0.10416666666666663;0.0;0.0;0.0;0.0;0.1071428571428571;0.0714285714285714;0.0;0.0;0.09375;0.05084745762711862;0.0;0.12121212121212122;0.04347826086956519;0.23529411764705888;0.45945945945945943;0.0;0.0;0.0;0.0;0.0;0.12903225806451613;0.14814814814814814;0.0;0.09999999999999998;0.09999999999999998;0.0;0.0;0.14634146341463417;0.0;0.15384615384615385;0.33333333333333337;0.2692307692307693;0.051948051948051965;0.0;0.0;0.0;0.13793103448275867;0.0;0.6129032258064516;0.0;0.1071428571428571;1.0;0.14814814814814814;0.16216216216216217;0.19354838709677424;0.0;0.12121212121212122;0.06896551724137934;0.07407407407407407;0.17142857142857137;0.0;0.0;0.16666666666666663;0.2222222222222222;0.0;0.24;0.10810810810810811;0.0;0.0;0.0;0.1875;0.0;0.09375;0.11111111111111116;0.24;0.16000000000000003
GO:0010469;0.10869565217391308;0.0;0.19999999999999996;0.2857142857142857;0.2666666666666667;0.0;0.0;0.17647058823529416;0.0;0.18181818181818177;0.0;0.12121212121212122;0.09090909090909094;0.2222222222222222;0.18181818181818177;0.25;0.25;0.125;0.0;0.1333333333333333;0.4444444444444444;0.2222222222222222;0.5454545454545454;0.09999999999999998;0.17391304347826086;0.0;0.16000000000000003;0.25;0.1724137931034483;0.19999999999999996;0.09999999999999998;0.33333333333333337;0.19999999999999996;0.1333333333333333;0.0;0.1333333333333333;0.0;0.0;0.11428571428571432;0.19999999999999996;0.14814814814814814;0.3157894736842105;0.11111111111111116;0.0;0.0;0.0;0.0;0.19512195121951215;0.1333333333333333;0.0;0.0;0.2222222222222222;0.0888888888888889;0.0;0.19999999999999996;0.07272727272727275;0.16000000000000003;0.10810810810810811;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.5;0.0;0.40909090909090906;0.40909090909090906;0.0;0.0;0.1724137931034483;0.0;0.5454545454545454;0.15000000000000002;0.25;0.07936507936507942;0.0;0.0;0.0;0.25;0.0;0.12121212121212122;0.0;0.19999999999999996;0.14814814814814814;1.0;0.36363636363636365;0.19999999999999996;0.0;0.19999999999999996;0.19999999999999996;0.09756097560975607;0.16666666666666663;0.0;0.0;0.36363636363636365;0.33333333333333337;0.0;0.2857142857142857;0.16666666666666663;0.0;0.0;0.0;0.19047619047619047;0.0;0.16326530612244894;0.3076923076923077;0.2857142857142857;0.23076923076923073
GO:0031666;0.06779661016949157;0.0;0.11111111111111116;0.15384615384615385;0.14814814814814814;0.0;0.0;0.10344827586206895;0.0;0.1875;0.0;0.0888888888888889;0.06666666666666665;0.1333333333333333;0.11764705882352944;0.1428571428571429;0.23076923076923073;0.09090909090909094;0.0;0.15000000000000002;0.2666666666666667;0.1333333333333333;0.26086956521739135;0.07692307692307687;0.11428571428571432;0.0;0.17142857142857137;0.23076923076923073;0.17948717948717952;0.19999999999999996;0.12;0.16666666666666663;0.125;0.09523809523809523;0.0;0.09523809523809523;0.0;0.0;0.1333333333333333;0.19999999999999996;0.10256410256410253;0.19354838709677424;0.08333333333333337;0.0;0.0;0.0;0.0;0.2978723404255319;0.07407407407407407;0.0;0.0;0.1333333333333333;0.0892857142857143;0.0;0.125;0.0757575757575758;0.10810810810810811;0.12765957446808507;0.0;0.0;0.0;0.0;0.0;0.1333333333333333;0.25;0.0;0.22857142857142854;0.22857142857142854;0.0;0.0;0.15000000000000002;0.0;0.26086956521739135;0.12903225806451613;0.1428571428571429;0.06666666666666665;0.0;0.0;0.0;0.1428571428571429;0.0;0.13953488372093026;0.0;0.11111111111111116;0.16216216216216217;0.36363636363636365;1.0;0.19999999999999996;0.0;0.125;0.0714285714285714;0.07547169811320753;0.11111111111111116;0.0;0.0;0.17391304347826086;0.33333333333333337;0.0;0.25;0.11111111111111116;0.0;0.0;0.0;0.19354838709677424;0.0;0.2545454545454545;0.16000000000000003;0.25;0.12
GO:0050766;0.07547169811320753;0.0;0.1428571428571429;0.26315789473684215;0.13636363636363635;0.0;0.0;0.13043478260869568;0.0;0.23076923076923073;0.0;0.16216216216216217;0.1351351351351351;0.16666666666666663;0.18518518518518523;0.18181818181818177;0.18181818181818177;0.07692307692307687;0.0;0.17647058823529416;0.1428571428571429;0.16666666666666663;0.21052631578947367;0.08695652173913049;0.1785714285714286;0.0;0.2068965517241379;0.30000000000000004;0.1428571428571429;0.25;0.13636363636363635;0.2222222222222222;0.15384615384615385;0.11111111111111116;0.0;0.11111111111111116;0.0;0.0;0.15384615384615385;0.16129032258064513;0.15625;0.24;0.15000000000000002;0.0;0.0;0.0;0.0;0.12244897959183676;0.09523809523809523;0.0;0.0;0.12;0.05769230769230771;0.0;0.15384615384615385;0.048387096774193505;0.12903225806451613;0.14634146341463417;0.0;0.0;0.0;0.0;0.0;0.16666666666666663;0.19999999999999996;0.0;0.19354838709677424;0.19354838709677424;0.0;0.0;0.17647058823529416;0.0;0.21052631578947367;0.16000000000000003;0.23809523809523814;0.10447761194029848;0.0;0.0;0.0;0.18181818181818177;0.0;0.16216216216216217;0.0;0.1428571428571429;0.19354838709677424;0.19999999999999996;0.19999999999999996;1.0;0.0;0.5;0.09090909090909094;0.08510638297872342;0.1724137931034483;0.0;0.0;0.23529411764705888;0.30000000000000004;0.0;0.33333333333333337;0.1333333333333333;0.0;0.0;0.0;0.14814814814814814;0.0;0.10526315789473684;0.15000000000000002;0.33333333333333337;0.1578947368421053
GO:0035984;0.0;0.0;0.0;0.0;0.0;0.16666666666666663;0.41666666666666663;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307687;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333337;0.0;0.0;0.045454545454545414;0.0;0.0;0.07692307692307687;0.0;0.045454545454545414;0.07999999999999996;0.0;0.23076923076923073;0.08333333333333337;0.0;0.050000000000000044;0.0;0.0;0.0;0.0;0.6666666666666667;0.06896551724137934;0.07999999999999996;0.0;0.0;0.0;0.07407407407407407;0.0;0.0;0.06896551724137934;0.0;0.0;0.0;0.0;0.0714285714285714;0.04166666666666663;0.0444444444444444;0.08333333333333337;0.05128205128205132;0.0;0.0;0.07692307692307687;0.0;0.0;0.0714285714285714;0.23076923076923073;0.0;0.0625;0.0;0.0;0.0;0.0;0.07692307692307687;0.08333333333333337;0.06666666666666665;0.0;0.0;0.0;0.41666666666666663;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.07999999999999996;0.0;0.07407407407407407;0.0;0.0;0.07999999999999996;0.07692307692307687;0.33333333333333337;0.0;0.07999999999999996;0.0;0.0;0.0;0.0
GO:0050765;0.11764705882352944;0.0;0.19999999999999996;0.26315789473684215;0.13636363636363635;0.0;0.0;0.18181818181818177;0.0;0.1428571428571429;0.0;0.2647058823529411;0.19999999999999996;0.2727272727272727;0.18518518518518523;0.18181818181818177;0.13043478260869568;0.10526315789473684;0.0;0.11111111111111116;0.23076923076923073;0.2727272727272727;0.21052631578947367;0.13636363636363635;0.2692307692307693;0.0;0.12903225806451613;0.18181818181818177;0.11111111111111116;0.15384615384615385;0.08695652173913049;0.2222222222222222;0.25;0.11111111111111116;0.0;0.17647058823529416;0.0;0.0;0.09756097560975607;0.125;0.23333333333333328;0.24;0.2432432432432432;0.0;0.0;0.0;0.0;0.07843137254901966;0.09523809523809523;0.0;0.0;0.12;0.07843137254901966;0.0;0.25;0.06557377049180324;0.2068965517241379;0.09302325581395354;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.19999999999999996;0.0;0.19354838709677424;0.19354838709677424;0.0;0.0;0.11111111111111116;0.0;0.21052631578947367;0.11538461538461542;0.23809523809523814;0.15625;0.0;0.0;0.0;0.30000000000000004;0.0;0.10256410256410253;0.0;0.19999999999999996;0.12121212121212122;0.19999999999999996;0.125;0.5;0.0;1.0;0.09090909090909094;0.1333333333333333;0.1724137931034483;0.0;0.0;0.23529411764705888;0.18181818181818177;0.0;0.19999999999999996;0.1333333333333333;0.0;0.0;0.0;0.1071428571428571;0.0;0.06779661016949157;0.15000000000000002;0.19999999999999996;0.2222222222222222
GO:0090073;0.0625;0.0;0.125;0.125;0.11764705882352944;0.0;0.0;0.11111111111111116;0.0;0.08333333333333337;0.0;0.05714285714285716;0.05882352941176472;0.09999999999999998;0.08333333333333337;0.11111111111111116;0.11111111111111116;0.05882352941176472;0.0;0.0625;0.08333333333333337;0.09999999999999998;0.1333333333333333;0.04761904761904767;0.07999999999999996;0.0;0.07407407407407407;0.11111111111111116;0.0625;0.09090909090909094;0.04761904761904767;0.1428571428571429;0.09090909090909094;0.0625;0.0;0.0625;0.0;0.0;0.05405405405405406;0.0714285714285714;0.06896551724137934;0.08695652173913049;0.052631578947368474;0.0;0.0;0.0;0.0;0.04255319148936165;0.1333333333333333;0.0;0.0;0.09999999999999998;0.04255319148936165;0.0;0.09090909090909094;0.03508771929824561;0.07407407407407407;0.05128205128205132;0.0;0.0;0.0;0.0;0.0;0.09999999999999998;0.125;0.0;0.1071428571428571;0.1071428571428571;0.0;0.0;0.1333333333333333;0.0;0.1333333333333333;0.09523809523809523;0.11111111111111116;0.030303030303030276;0.0;0.0;0.0;0.11111111111111116;0.0;0.05714285714285716;0.0;0.125;0.06896551724137934;0.19999999999999996;0.0714285714285714;0.09090909090909094;0.0;0.09090909090909094;1.0;0.046511627906976716;0.07692307692307687;0.0;0.0;0.15384615384615385;0.11111111111111116;0.0;0.125;0.07692307692307687;0.0;0.0;0.0;0.08695652173913049;0.0;0.036363636363636376;0.1333333333333333;0.125;0.1428571428571429
GO:0000122;0.23809523809523814;0.0;0.09756097560975607;0.09756097560975607;0.06976744186046513;0.0;0.0;0.09302325581395354;0.0;0.08163265306122447;0.0;0.10344827586206895;0.06779661016949157;0.13953488372093026;0.08163265306122447;0.09302325581395354;0.06818181818181823;0.06779661016949157;0.0;0.07017543859649122;0.12765957446808507;0.13953488372093026;0.09999999999999998;0.5434782608695652;0.125;0.0;0.07692307692307687;0.09302325581395354;0.07017543859649122;0.08510638297872342;0.3921568627450981;0.10256410256410253;0.1333333333333333;0.07017543859649122;0.0;0.10909090909090913;0.0;0.0;0.1578947368421053;0.07547169811320753;0.11538461538461542;0.08333333333333337;0.09836065573770492;0.0;0.0;0.0;0.0;0.13432835820895528;0.04761904761904767;0.0;0.0;0.06521739130434778;0.05555555555555558;0.0;0.1333333333333333;0.04878048780487809;0.12;0.0625;0.0;0.0;0.0;0.0;0.0;0.13953488372093026;0.09756097560975607;0.0;0.07407407407407407;0.07407407407407407;0.0;0.0;0.10909090909090913;0.0;0.09999999999999998;0.06382978723404253;0.09302325581395354;0.0674157303370787;0.0;0.0;0.0;0.14634146341463417;0.0;0.06666666666666665;0.0;0.09756097560975607;0.07407407407407407;0.09756097560975607;0.07547169811320753;0.08510638297872342;0.0;0.1333333333333333;0.046511627906976716;1.0;0.07843137254901966;0.0;0.0;0.10526315789473684;0.09302325581395354;0.0;0.09756097560975607;0.5277777777777778;0.0;0.0;0.0;0.061224489795918324;0.0;0.12;0.07317073170731703;0.09756097560975607;0.10256410256410253
GO:0060297;0.07017543859649122;0.0;0.12;0.21739130434782605;0.20833333333333337;0.0;0.0;0.11111111111111116;0.0;0.125;0.0;0.09302325581395354;0.06976744186046513;0.1428571428571429;0.2857142857142857;0.25;0.11111111111111116;0.06976744186046513;0.0;0.09999999999999998;0.125;0.1428571428571429;0.17391304347826086;0.07999999999999996;0.12121212121212122;0.0;0.21875;0.25;0.09999999999999998;0.2142857142857143;0.07999999999999996;0.18181818181818177;0.1333333333333333;0.09999999999999998;0.0;0.09999999999999998;0.0;0.0;0.0888888888888889;0.11111111111111116;0.10810810810810811;0.12903225806451613;0.08695652173913049;0.0;0.0;0.0;0.0;0.07272727272727275;0.07999999999999996;0.0;0.0;0.10344827586206895;0.0535714285714286;0.0;0.1333333333333333;0.045454545454545414;0.18181818181818177;0.10869565217391308;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.16666666666666663;0.0;0.10810810810810811;0.10810810810810811;0.0;0.0;0.09999999999999998;0.0;0.17391304347826086;0.13793103448275867;0.30434782608695654;0.05405405405405406;0.0;0.0;0.0;0.15384615384615385;0.0;0.20512820512820518;0.0;0.12;0.17142857142857137;0.16666666666666663;0.11111111111111116;0.1724137931034483;0.0;0.1724137931034483;0.07692307692307687;0.07843137254901966;1.0;0.0;0.0;0.19047619047619047;0.15384615384615385;0.0;0.16666666666666663;0.11764705882352944;0.0;0.0;0.0;0.09375;0.0;0.06349206349206349;0.125;0.16666666666666663;0.13043478260869568
GO:0035176;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19999999999999996;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0035690;0.0;0.0;0.0;0.0;0.0;0.4;0.4285714285714286;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666663;0.0;0.0;0.0;0.0;0.0;0.0;0.19999999999999996;0.0;0.0;0.06666666666666665;0.0;0.0;0.16666666666666663;0.0;0.06666666666666665;0.18181818181818177;0.0;0.5;0.19999999999999996;0.0;0.07692307692307687;0.0;0.0;0.0;0.0;0.30000000000000004;0.1333333333333333;0.18181818181818177;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.1333333333333333;0.0;0.0;0.0;0.0;0.1428571428571429;0.05882352941176472;0.06451612903225812;0.19999999999999996;0.07999999999999996;0.0;0.0;0.16666666666666663;0.0;0.0;0.1428571428571429;0.3846153846153846;0.0;0.11111111111111116;0.0;0.0;0.0;0.0;0.16666666666666663;0.19999999999999996;0.125;0.0;0.0;0.0;0.4285714285714286;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;1.0;0.18181818181818177;0.0;0.15384615384615385;0.0;0.0;0.18181818181818177;0.16666666666666663;0.30000000000000004;0.0;0.18181818181818177;0.0;0.0;0.0;0.0
GO:0007166;0.09090909090909094;0.0;0.25;0.36363636363636365;0.23076923076923073;0.18181818181818177;0.11764705882352944;0.2142857142857143;0.0;0.21052631578947367;0.0;0.1333333333333333;0.09999999999999998;0.2666666666666667;0.21052631578947367;0.3076923076923077;0.2142857142857143;0.09999999999999998;0.18181818181818177;0.14814814814814814;0.21052631578947367;0.2666666666666667;0.4;0.10810810810810811;0.19999999999999996;0.2222222222222222;0.18181818181818177;0.3076923076923077;0.24;0.23529411764705888;0.10810810810810811;0.8571428571428572;0.23529411764705888;0.24;0.19999999999999996;0.14814814814814814;0.1333333333333333;0.2222222222222222;0.125;0.2857142857142857;0.16666666666666663;0.2222222222222222;0.12121212121212122;0.0;0.08695652173913049;0.1428571428571429;0.19999999999999996;0.09523809523809523;0.16666666666666663;0.0;0.0;0.1875;0.06976744186046513;0.0;0.23529411764705888;0.05660377358490565;0.18181818181818177;0.11764705882352944;0.15384615384615385;0.06060606060606055;0.06666666666666665;0.2222222222222222;0.08333333333333337;0.2666666666666667;0.36363636363636365;0.18181818181818177;0.16666666666666663;0.16666666666666663;0.15384615384615385;0.1333333333333333;0.14814814814814814;0.0;0.4;0.17647058823529416;0.3076923076923077;0.06557377049180324;0.18181818181818177;0.2222222222222222;0.1333333333333333;0.3076923076923077;0.0;0.1333333333333333;0.11764705882352944;0.25;0.16666666666666663;0.36363636363636365;0.17391304347826086;0.23529411764705888;0.07999999999999996;0.23529411764705888;0.15384615384615385;0.10526315789473684;0.19047619047619047;0.0;0.18181818181818177;1.0;0.3076923076923077;0.16666666666666663;0.36363636363636365;0.19047619047619047;0.19999999999999996;0.0;0.08695652173913049;0.1578947368421053;0.0;0.07999999999999996;0.2727272727272727;0.36363636363636365;0.30000000000000004
GO:1905898;0.08163265306122447;0.0;0.17647058823529416;0.25;0.23529411764705888;0.0;0.0;0.1578947368421053;0.0;0.2727272727272727;0.0;0.11428571428571432;0.08571428571428574;0.19999999999999996;0.16666666666666663;0.2222222222222222;0.375;0.11764705882352944;0.0;0.19999999999999996;0.21739130434782605;0.19999999999999996;0.2666666666666667;0.09523809523809523;0.16000000000000003;0.0;0.24;0.375;0.24137931034482762;0.30000000000000004;0.15000000000000002;0.2857142857142857;0.18181818181818177;0.125;0.0;0.125;0.0;0.0;0.17142857142857137;0.28;0.13793103448275867;0.17391304347826086;0.10526315789473684;0.0;0.0;0.0;0.0;0.18604651162790697;0.11764705882352944;0.0;0.0;0.19999999999999996;0.10869565217391308;0.0;0.18181818181818177;0.0892857142857143;0.14814814814814814;0.16216216216216217;0.0;0.0;0.0;0.0;0.0;0.19999999999999996;0.25;0.0;0.1785714285714286;0.1785714285714286;0.0;0.0;0.19999999999999996;0.0;0.2666666666666667;0.19047619047619047;0.2222222222222222;0.07692307692307687;0.0;0.0;0.0;0.2222222222222222;0.0;0.18181818181818177;0.0;0.17647058823529416;0.2222222222222222;0.33333333333333337;0.33333333333333337;0.30000000000000004;0.0;0.18181818181818177;0.11111111111111116;0.09302325581395354;0.15384615384615385;0.0;0.0;0.3076923076923077;1.0;0.0;0.4285714285714286;0.15384615384615385;0.0;0.0;0.0;0.35;0.0;0.20408163265306123;0.3571428571428571;0.4285714285714286;0.19999999999999996
GO:0072160;0.0;0.15384615384615385;0.0;0.0;0.0;0.15384615384615385;0.10526315789473684;0.0;0.1333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.06451612903225812;0.0;0.0;0.15384615384615385;0.0;0.06451612903225812;0.5555555555555556;0.0;0.11764705882352944;0.625;0.0;0.07407407407407407;0.0;0.0;0.0;0.18181818181818177;0.07999999999999996;0.2857142857142857;0.4;0.0;0.0;0.18181818181818177;0.1428571428571429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.41666666666666663;0.05714285714285716;0.0625;0.625;0.21739130434782605;0.0;0.0;0.5;0.0;0.0;0.41666666666666663;0.11764705882352944;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.625;0.11764705882352944;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.07407407407407407;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.16666666666666663;0.0;1.0;0.0;0.0;0.5555555555555556;0.0;0.07999999999999996;0.0;0.0;0.0;0.0;0.0;0.0
GO:1901216;0.08510638297872342;0.0;0.19999999999999996;0.2857142857142857;0.1875;0.0;0.0;0.17647058823529416;0.0;0.4444444444444444;0.0;0.12121212121212122;0.09090909090909094;0.2222222222222222;0.18181818181818177;0.25;0.25;0.09090909090909094;0.0;0.2142857142857143;0.18181818181818177;0.2222222222222222;0.3076923076923077;0.09999999999999998;0.17391304347826086;0.0;0.26086956521739135;0.4285714285714286;0.1724137931034483;0.33333333333333337;0.1578947368421053;0.33333333333333337;0.33333333333333337;0.1333333333333333;0.0;0.1333333333333333;0.0;0.0;0.18181818181818177;0.19999999999999996;0.14814814814814814;0.19047619047619047;0.11111111111111116;0.0;0.0;0.0;0.0;0.13953488372093026;0.1333333333333333;0.0;0.0;0.1578947368421053;0.06521739130434778;0.0;0.19999999999999996;0.0535714285714286;0.16000000000000003;0.17142857142857137;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.2857142857142857;0.0;0.14814814814814814;0.14814814814814814;0.0;0.0;0.2142857142857143;0.0;0.3076923076923077;0.21052631578947367;0.25;0.0625;0.0;0.0;0.0;0.25;0.0;0.19354838709677424;0.0;0.19999999999999996;0.24;0.2857142857142857;0.25;0.33333333333333337;0.0;0.19999999999999996;0.125;0.09756097560975607;0.16666666666666663;0.0;0.0;0.36363636363636365;0.4285714285714286;0.0;1.0;0.16666666666666663;0.0;0.0;0.0;0.19047619047619047;0.0;0.11764705882352944;0.2142857142857143;0.5;0.23076923076923073
GO:0006357;0.17307692307692313;0.0;0.12;0.16666666666666663;0.11538461538461542;0.0;0.0;0.11111111111111116;0.0;0.125;0.0;0.09302325581395354;0.06976744186046513;0.1428571428571429;0.125;0.15384615384615385;0.11111111111111116;0.06976744186046513;0.0;0.09999999999999998;0.125;0.1428571428571429;0.17391304347826086;0.35;0.12121212121212122;0.0;0.11428571428571432;0.15384615384615385;0.09999999999999998;0.1333333333333333;0.5428571428571429;0.18181818181818177;0.1333333333333333;0.09999999999999998;0.0;0.09999999999999998;0.0;0.0;0.22499999999999998;0.11111111111111116;0.10810810810810811;0.12903225806451613;0.08695652173913049;0.0;0.0;0.0;0.0;0.18000000000000005;0.07999999999999996;0.0;0.0;0.10344827586206895;0.0535714285714286;0.0;0.1333333333333333;0.045454545454545414;0.11428571428571432;0.08510638297872342;0.0;0.0;0.0;0.0;0.0;0.1428571428571429;0.16666666666666663;0.0;0.10810810810810811;0.10810810810810811;0.0;0.0;0.1578947368421053;0.0;0.17391304347826086;0.09999999999999998;0.15384615384615385;0.05405405405405406;0.0;0.0;0.0;0.15384615384615385;0.0;0.09302325581395354;0.0;0.12;0.10810810810810811;0.16666666666666663;0.11111111111111116;0.1333333333333333;0.0;0.1333333333333333;0.07692307692307687;0.5277777777777778;0.11764705882352944;0.0;0.0;0.19047619047619047;0.15384615384615385;0.0;0.16666666666666663;1.0;0.0;0.0;0.0;0.09375;0.0;0.15517241379310343;0.125;0.16666666666666663;0.13043478260869568
GO:0030318;0.0;0.18181818181818177;0.0;0.0;0.0;0.18181818181818177;0.11764705882352944;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.0;0.0;0.0;0.0;0.8333333333333334;0.0;0.0;0.06896551724137934;0.0;0.0;0.18181818181818177;0.0;0.06896551724137934;0.7142857142857143;0.0;0.1333333333333333;0.8333333333333334;0.0;0.07999999999999996;0.0;0.0;0.0;0.2222222222222222;0.08695652173913049;0.33333333333333337;0.5;0.0;0.0;0.2222222222222222;0.16666666666666663;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.06060606060606055;0.06666666666666665;0.8333333333333334;0.23809523809523814;0.0;0.0;0.625;0.0;0.0;0.5;0.1333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.8333333333333334;0.1333333333333333;0.0;0.0;0.0;0.11764705882352944;0.0;0.0;0.0;0.0;0.0;0.07999999999999996;0.0;0.0;0.0;0.0;0.0;0.18181818181818177;0.19999999999999996;0.0;0.5555555555555556;0.0;0.0;1.0;0.0;0.08695652173913049;0.0;0.0;0.0;0.0;0.0;0.0
GO:0009617;0.0;0.0;0.0;0.0;0.0;0.16666666666666663;0.11111111111111116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333337;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.1333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3846153846153846;0.0;0.11111111111111116;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11111111111111116;0.0;0.0;0.0;0.0;0.0;0.07692307692307687;0.0;0.0;0.0;0.0;0.19999999999999996;0.16666666666666663;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.23809523809523814;0.0;0.18181818181818177;0.0;0.0;0.0;0.0
GO:0071222;0.0;0.0;0.0;0.0;0.0;0.18181818181818177;0.33333333333333337;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333337;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909094;0.0;0.0;0.04761904761904767;0.0;0.0;0.08333333333333337;0.0;0.04761904761904767;0.08695652173913049;0.0;0.25;0.09090909090909094;0.0;0.052631578947368474;0.0;0.0;0.0;0.0;0.3571428571428571;0.07407407407407407;0.08695652173913049;0.0;0.0;0.0;0.07999999999999996;0.0;0.0;0.07407407407407407;0.0;0.0;0.0;0.0;0.07692307692307687;0.04347826086956519;0.046511627906976716;0.09090909090909094;0.05405405405405406;0.0;0.0;0.08333333333333337;0.0;0.0;0.07692307692307687;0.5789473684210527;0.0;0.06666666666666665;0.0;0.0;0.0;0.0;0.08333333333333337;0.09090909090909094;0.0714285714285714;0.0;0.0;0.0;0.33333333333333337;0.0;0.0;0.0;0.0;0.0;0.33333333333333337;0.0;0.0;0.0;0.0;0.0;0.30000000000000004;0.08695652173913049;0.0;0.07999999999999996;0.0;0.0;0.08695652173913049;0.23809523809523814;1.0;0.0;0.08695652173913049;0.0;0.0;0.0;0.0
