;GO:0014068;GO:0014067;GO:0046854;GO:0002244;GO:0045766;GO:0008589;GO:2000119;GO:0001701;GO:0048642;GO:0010811;GO:0050679;GO:0032720;GO:0043518;GO:0055062;GO:0002092;GO:0035790;GO:1900025;GO:0045930;GO:0009725;GO:0030539;GO:0048015;GO:2000647;GO:0071363;GO:2000802;GO:0010544;GO:0018146;GO:2000249;GO:0034614;GO:0051897;GO:0033128;GO:1902174;GO:2000780;GO:0008285;GO:0038091;GO:0045944;GO:0045668;GO:0002576;GO:0000165;GO:2000778;GO:0048146;GO:0019221;GO:0001649;GO:2000773;GO:0008210;GO:0048701;GO:0007517;GO:0070570;GO:1990830;GO:2000146;GO:2000144;GO:0030199;GO:0035924;GO:0030510;GO:2000147;GO:0007050;GO:0018108;GO:0045606;GO:0023019;GO:0046777;GO:0006366;GO:0048557;GO:0003253;GO:0060326;GO:2000679;GO:0042340;GO:0055003;GO:0032760;GO:2000276;GO:0071456;GO:0035115;GO:0035116;GO:0030500;GO:0035359;GO:0007186;GO:0032000;GO:2000051;GO:0043552;GO:0090263;GO:0002053;GO:0043433;GO:0032914;GO:0072378;GO:0000271;GO:0010628;GO:0010863;GO:0050920;GO:0033327;GO:0030335;GO:0035067;GO:0071639;GO:0000122;GO:0071230;GO:2000739;GO:0030326;GO:0009968;GO:0060628;GO:0010955;GO:0010952;GO:0060070;GO:0006351;GO:0007204;GO:0090090;GO:0043066;GO:0070373;GO:0070374;GO:0045880;GO:0006508;GO:0035567
GO:1990830;0.0;0.0;0.25;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.6666666666666666;0.0;0.26666666666666666;0.0;0.7692307692307693;0.0;0.0;0.25;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.25;0.23529411764705882;0.0;0.0;0.2857142857142857;0.16666666666666666;0.0;0.2857142857142857;0.0;0.0;0.0;1.0;0.0;0.0;0.3076923076923077;0.7142857142857143;0.0;0.0;0.2857142857142857;0.23529411764705882;0.0;0.3076923076923077;0.25;0.1111111111111111;0.0;0.26666666666666666;0.3076923076923077;0.0;0.25;0.25;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.11764705882352941;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.0;0.25
GO:2000146;0.5;0.625;0.0;0.0;0.4;0.5714285714285714;0.47058823529411764;0.0;0.5;0.46153846153846156;0.5714285714285714;0.5333333333333333;0.5882352941176471;0.25;0.47058823529411764;0.11764705882352941;0.625;0.7142857142857143;0.0;0.0;0.13333333333333333;0.7142857142857143;0.0;0.47058823529411764;0.5882352941176471;0.0;0.5;0.0;0.5;0.5555555555555556;0.47058823529411764;0.5882352941176471;0.7692307692307693;0.1111111111111111;0.42105263157894735;0.7142857142857143;0.0;0.47058823529411764;0.4444444444444444;0.5714285714285714;0.14285714285714285;0.0;0.6666666666666666;0.2857142857142857;0.0;0.0;0.47058823529411764;0.0;1.0;0.42105263157894735;0.0;0.0;0.42105263157894735;0.8571428571428571;0.7142857142857143;0.0;0.5333333333333333;0.46153846153846156;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.4;0.4444444444444444;0.0;0.0;0.0;0.42857142857142855;0.6666666666666666;0.6153846153846154;0.47058823529411764;0.625;0.3157894736842105;0.5;0.5714285714285714;0.42105263157894735;0.4;0.0;0.0;0.42857142857142855;0.25;0.6153846153846154;0.0;0.8;0.5263157894736842;0.4;0.5263157894736842;0.0;0.5714285714285714;0.0;0.7142857142857143;0.5714285714285714;0.5882352941176471;0.47058823529411764;0.125;0.0;0.21052631578947367;0.625;0.6666666666666666;0.5263157894736842;0.42105263157894735;0.5333333333333333;0.0;0.125
GO:2000144;0.38095238095238093;0.38095238095238093;0.0;0.0;0.4;0.42105263157894735;0.2727272727272727;0.0;0.2857142857142857;0.4444444444444444;0.5263157894736842;0.3;0.36363636363636365;0.19047619047619047;0.5454545454545454;0.09090909090909091;0.47619047619047616;0.42105263157894735;0.0;0.0;0.1;0.42105263157894735;0.0;0.36363636363636365;0.36363636363636365;0.0;0.38095238095238093;0.0;0.38095238095238093;0.43478260869565216;0.45454545454545453;0.36363636363636365;0.4444444444444444;0.43478260869565216;0.9166666666666666;0.42105263157894735;0.0;0.36363636363636365;0.34782608695652173;0.5263157894736842;0.10526315789473684;0.0;0.4;0.21052631578947367;0.0;0.0;0.36363636363636365;0.0;0.42105263157894735;1.0;0.0;0.0;0.8333333333333334;0.42105263157894735;0.42105263157894735;0.0;0.4;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.4;0.2608695652173913;0.0;0.0;0.0;0.3157894736842105;0.4;0.4444444444444444;0.45454545454545453;0.38095238095238093;0.4166666666666667;0.38095238095238093;0.5263157894736842;0.8333333333333334;0.4;0.0;0.0;0.7368421052631579;0.19047619047619047;0.3333333333333333;0.0;0.4;0.4166666666666667;0.4;0.8333333333333334;0.0;0.42105263157894735;0.0;0.42105263157894735;0.42105263157894735;0.5454545454545454;0.45454545454545453;0.09523809523809523;0.0;0.16666666666666666;0.38095238095238093;0.4;0.3333333333333333;0.3333333333333333;0.4;0.0;0.09523809523809523
GO:0030199;0.0;0.0;0.26666666666666666;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.3333333333333333;0.0;0.0;0.26666666666666666;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.26666666666666666;0.25;0.0;0.0;0.3076923076923077;0.18181818181818182;0.0;0.3076923076923077;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;1.0;0.3076923076923077;0.0;0.0;0.3076923076923077;0.25;0.0;0.3333333333333333;0.26666666666666666;0.11764705882352941;0.0;0.2857142857142857;0.3333333333333333;0.0;0.26666666666666666;0.5333333333333333;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.125;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666
GO:0035924;0.0;0.0;0.25;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.6666666666666666;0.0;0.26666666666666666;0.0;0.9230769230769231;0.0;0.0;0.25;0.0;0.6153846153846154;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.25;0.23529411764705882;0.0;0.0;0.2857142857142857;0.16666666666666666;0.0;0.2857142857142857;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.3076923076923077;1.0;0.0;0.0;0.2857142857142857;0.23529411764705882;0.0;0.3076923076923077;0.25;0.1111111111111111;0.0;0.26666666666666666;0.3076923076923077;0.0;0.25;0.25;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.11764705882352941;0.21052631578947367;0.0;0.0;0.0;0.0;0.0;0.0;0.25
GO:0030510;0.5714285714285714;0.5714285714285714;0.0;0.0;0.3;0.631578947368421;0.2727272727272727;0.0;0.2857142857142857;0.3333333333333333;0.42105263157894735;0.3;0.36363636363636365;0.19047619047619047;0.36363636363636365;0.09090909090909091;0.38095238095238093;0.42105263157894735;0.0;0.0;0.1;0.42105263157894735;0.0;0.36363636363636365;0.36363636363636365;0.0;0.38095238095238093;0.0;0.5714285714285714;0.34782608695652173;0.36363636363636365;0.36363636363636365;0.4444444444444444;0.34782608695652173;0.9166666666666666;0.42105263157894735;0.0;0.36363636363636365;0.34782608695652173;0.42105263157894735;0.42105263157894735;0.0;0.4;0.21052631578947367;0.0;0.0;0.36363636363636365;0.0;0.42105263157894735;0.8333333333333334;0.0;0.0;1.0;0.42105263157894735;0.42105263157894735;0.0;0.4;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.3;0.2608695652173913;0.0;0.0;0.0;0.3157894736842105;0.6;0.4444444444444444;0.36363636363636365;0.5714285714285714;0.3333333333333333;0.5714285714285714;0.42105263157894735;0.8333333333333334;0.3;0.0;0.0;0.631578947368421;0.19047619047619047;0.4444444444444444;0.0;0.4;0.3333333333333333;0.3;0.9166666666666666;0.0;0.42105263157894735;0.0;0.631578947368421;0.42105263157894735;0.5454545454545454;0.36363636363636365;0.09523809523809523;0.0;0.16666666666666666;0.5714285714285714;0.4;0.5;0.5;0.6;0.0;0.09523809523809523
GO:2000147;0.5;0.5;0.0;0.0;0.5333333333333333;0.5714285714285714;0.47058823529411764;0.0;0.375;0.6153846153846154;0.7142857142857143;0.4;0.47058823529411764;0.25;0.5882352941176471;0.11764705882352941;0.5;0.5714285714285714;0.0;0.0;0.13333333333333333;0.5714285714285714;0.0;0.47058823529411764;0.47058823529411764;0.0;0.5;0.0;0.5;0.4444444444444444;0.5882352941176471;0.47058823529411764;0.6153846153846154;0.5555555555555556;0.42105263157894735;0.5714285714285714;0.0;0.47058823529411764;0.4444444444444444;0.7142857142857143;0.14285714285714285;0.0;0.5333333333333333;0.2857142857142857;0.0;0.0;0.47058823529411764;0.0;0.8571428571428571;0.42105263157894735;0.0;0.0;0.42105263157894735;1.0;0.14285714285714285;0.0;0.5333333333333333;0.46153846153846156;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.5333333333333333;0.4444444444444444;0.0;0.0;0.0;0.42857142857142855;0.5333333333333333;0.6153846153846154;0.5882352941176471;0.5;0.42105263157894735;0.5;0.7142857142857143;0.3157894736842105;0.5333333333333333;0.0;0.0;0.5714285714285714;0.25;0.6153846153846154;0.0;0.9333333333333333;0.42105263157894735;0.5333333333333333;0.42105263157894735;0.0;0.5714285714285714;0.0;0.5714285714285714;0.5714285714285714;0.47058823529411764;0.5882352941176471;0.125;0.0;0.21052631578947367;0.5;0.5333333333333333;0.42105263157894735;0.42105263157894735;0.5333333333333333;0.0;0.125
GO:0007050;0.125;0.625;0.25;0.16666666666666666;0.13333333333333333;0.14285714285714285;0.47058823529411764;0.0;0.5;0.15384615384615385;0.5714285714285714;0.5333333333333333;0.5882352941176471;0.125;0.47058823529411764;0.11764705882352941;0.625;0.8571428571428571;0.0;0.0;0.13333333333333333;0.7142857142857143;0.3076923076923077;0.11764705882352941;0.5882352941176471;0.25;0.5;0.3076923076923077;0.125;0.5555555555555556;0.47058823529411764;0.5882352941176471;0.7692307692307693;0.1111111111111111;0.42105263157894735;0.7142857142857143;0.25;0.11764705882352941;0.4444444444444444;0.5714285714285714;0.14285714285714285;0.16666666666666666;0.6666666666666666;0.2857142857142857;0.0;0.0;0.11764705882352941;0.2857142857142857;0.7142857142857143;0.42105263157894735;0.3076923076923077;0.2857142857142857;0.42105263157894735;0.14285714285714285;1.0;0.23529411764705882;0.13333333333333333;0.15384615384615385;0.25;0.1111111111111111;0.0;0.13333333333333333;0.15384615384615385;0.14285714285714285;0.25;0.125;0.13333333333333333;0.1111111111111111;0.2857142857142857;0.0;0.0;0.14285714285714285;0.6666666666666666;0.15384615384615385;0.47058823529411764;0.625;0.10526315789473684;0.125;0.5714285714285714;0.42105263157894735;0.13333333333333333;0.0;0.0;0.14285714285714285;0.125;0.15384615384615385;0.16666666666666666;0.13333333333333333;0.5263157894736842;0.13333333333333333;0.5263157894736842;0.2857142857142857;0.5714285714285714;0.0;0.7142857142857143;0.5714285714285714;0.5882352941176471;0.11764705882352941;0.125;0.11764705882352941;0.21052631578947367;0.625;0.6666666666666666;0.5263157894736842;0.10526315789473684;0.13333333333333333;0.0;0.125
GO:0018108;0.0;0.0;0.631578947368421;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.25;0.0;0.0;0.3157894736842105;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.19047619047619047;0.0;0.0;0.21052631578947367;0.8;0.0;0.0;0.23529411764705882;0.13333333333333333;0.0;0.35294117647058826;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.25;0.23529411764705882;0.0;0.0;0.23529411764705882;1.0;0.0;0.25;0.8421052631578947;0.38095238095238093;0.0;0.2222222222222222;0.25;0.0;0.3157894736842105;0.21052631578947367;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5882352941176471;0.5;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.4;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.625;0.21052631578947367
GO:0045606;0.47058823529411764;0.47058823529411764;0.0;0.0;0.625;0.5333333333333333;0.3333333333333333;0.0;0.47058823529411764;0.5714285714285714;0.6666666666666666;0.5;0.4444444444444444;0.23529411764705882;0.5555555555555556;0.1111111111111111;0.5882352941176471;0.5333333333333333;0.0;0.0;0.125;0.5333333333333333;0.0;0.6666666666666666;0.4444444444444444;0.0;0.47058823529411764;0.0;0.47058823529411764;0.42105263157894735;0.5555555555555556;0.4444444444444444;0.5714285714285714;0.5263157894736842;0.4;0.6666666666666666;0.0;0.4444444444444444;0.42105263157894735;0.6666666666666666;0.13333333333333333;0.0;0.5;0.26666666666666666;0.0;0.0;0.4444444444444444;0.0;0.5333333333333333;0.4;0.0;0.0;0.4;0.5333333333333333;0.13333333333333333;0.0;1.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.5;0.3157894736842105;0.0;0.0;0.0;0.6666666666666666;0.5;0.5714285714285714;0.5555555555555556;0.47058823529411764;0.4;0.47058823529411764;0.6666666666666666;0.3;0.5;0.0;0.0;0.5333333333333333;0.23529411764705882;0.42857142857142855;0.0;0.5;0.4;0.5;0.4;0.0;0.6666666666666666;0.0;0.5333333333333333;0.5333333333333333;0.4444444444444444;0.5555555555555556;0.11764705882352941;0.0;0.2;0.47058823529411764;0.5;0.4;0.4;0.5;0.0;0.11764705882352941
GO:0023019;0.4;0.4;0.26666666666666666;0.18181818181818182;0.42857142857142855;0.46153846153846156;0.375;0.0;0.4;0.5;0.6153846153846154;0.42857142857142855;0.5;0.26666666666666666;0.5;0.125;0.4;0.6153846153846154;0.0;0.0;0.14285714285714285;0.6153846153846154;0.3333333333333333;0.375;0.5;0.26666666666666666;0.5333333333333333;0.3333333333333333;0.4;0.47058823529411764;0.5;0.5;0.6666666666666666;0.11764705882352941;0.3333333333333333;0.6153846153846154;0.26666666666666666;0.125;0.35294117647058826;0.6153846153846154;0.15384615384615385;0.18181818181818182;0.42857142857142855;0.3076923076923077;0.0;0.0;0.125;0.3076923076923077;0.46153846153846156;0.3333333333333333;0.3333333333333333;0.3076923076923077;0.4444444444444444;0.46153846153846156;0.15384615384615385;0.25;0.42857142857142855;1.0;0.26666666666666666;0.11764705882352941;0.0;0.14285714285714285;0.16666666666666666;0.3076923076923077;0.26666666666666666;0.13333333333333333;0.42857142857142855;0.23529411764705882;0.3076923076923077;0.0;0.0;0.46153846153846156;0.42857142857142855;0.16666666666666666;0.5;0.4;0.3333333333333333;0.4;0.6153846153846154;0.3333333333333333;0.42857142857142855;0.0;0.0;0.46153846153846156;0.26666666666666666;0.5;0.18181818181818182;0.42857142857142855;0.2222222222222222;0.42857142857142855;0.3333333333333333;0.3076923076923077;0.6153846153846154;0.0;0.46153846153846156;0.6153846153846154;0.5;0.25;0.13333333333333333;0.125;0.2222222222222222;0.4;0.5714285714285714;0.3333333333333333;0.3333333333333333;0.42857142857142855;0.0;0.13333333333333333
GO:0046777;0.0;0.0;0.6666666666666666;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.26666666666666666;0.0;0.0;0.3333333333333333;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.2222222222222222;0.8421052631578947;0.0;0.0;0.25;0.14285714285714285;0.0;0.375;0.0;0.0;0.0;0.25;0.0;0.0;0.26666666666666666;0.25;0.0;0.0;0.25;0.8421052631578947;0.0;0.26666666666666666;1.0;0.4;0.0;0.23529411764705882;0.26666666666666666;0.0;0.3333333333333333;0.2222222222222222;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.625;0.5333333333333333;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.42105263157894735;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.2222222222222222
GO:0006366;0.0;0.0;0.2;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.11764705882352941;0.0;0.0;0.4;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.1;0.09523809523809523;0.0;0.0;0.1111111111111111;0.125;0.0;0.3333333333333333;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.11764705882352941;0.1111111111111111;0.0;0.0;0.1111111111111111;0.38095238095238093;0.0;0.11764705882352941;0.4;1.0;0.0;0.10526315789473684;0.11764705882352941;0.0;0.4;0.1;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.47058823529411764;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.9523809523809523;0.08695652173913043;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.1
GO:0048557;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.15384615384615385;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.15384615384615385;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0003253;0.0;0.0;0.23529411764705882;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.125;0.0;0.2857142857142857;0.0;0.0;0.23529411764705882;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.23529411764705882;0.1111111111111111;0.0;0.0;0.13333333333333333;0.15384615384615385;0.0;0.26666666666666666;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.2857142857142857;0.26666666666666666;0.0;0.0;0.13333333333333333;0.2222222222222222;0.0;0.14285714285714285;0.23529411764705882;0.10526315789473684;0.0;1.0;0.14285714285714285;0.0;0.23529411764705882;0.11764705882352941;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.1111111111111111;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941
GO:0060326;0.0;0.0;0.26666666666666666;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.3333333333333333;0.0;0.0;0.26666666666666666;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.26666666666666666;0.125;0.0;0.0;0.15384615384615385;0.18181818181818182;0.0;0.3076923076923077;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.3333333333333333;0.3076923076923077;0.0;0.0;0.15384615384615385;0.25;0.0;0.16666666666666666;0.26666666666666666;0.11764705882352941;0.0;0.14285714285714285;1.0;0.0;0.26666666666666666;0.13333333333333333;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.125;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333
GO:2000679;0.25;0.25;0.0;0.0;0.26666666666666666;0.2857142857142857;0.23529411764705882;0.0;0.25;0.3076923076923077;0.2857142857142857;0.26666666666666666;0.23529411764705882;0.25;0.23529411764705882;0.11764705882352941;0.25;0.2857142857142857;0.0;0.0;0.13333333333333333;0.2857142857142857;0.0;0.23529411764705882;0.23529411764705882;0.0;0.25;0.0;0.25;0.2222222222222222;0.23529411764705882;0.23529411764705882;0.3076923076923077;0.1111111111111111;0.21052631578947367;0.2857142857142857;0.0;0.11764705882352941;0.2222222222222222;0.2857142857142857;0.14285714285714285;0.0;0.26666666666666666;0.2857142857142857;0.0;0.0;0.11764705882352941;0.0;0.2857142857142857;0.21052631578947367;0.0;0.0;0.21052631578947367;0.2857142857142857;0.14285714285714285;0.0;0.26666666666666666;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.26666666666666666;0.3333333333333333;0.0;0.0;0.0;0.2857142857142857;0.26666666666666666;0.15384615384615385;0.23529411764705882;0.25;0.42105263157894735;0.25;0.2857142857142857;0.3157894736842105;0.26666666666666666;0.0;0.0;0.2857142857142857;0.5;0.3076923076923077;0.0;0.26666666666666666;0.21052631578947367;0.26666666666666666;0.21052631578947367;0.0;0.2857142857142857;0.0;0.2857142857142857;0.2857142857142857;0.23529411764705882;0.47058823529411764;0.125;0.0;0.21052631578947367;0.25;0.26666666666666666;0.21052631578947367;0.21052631578947367;0.26666666666666666;0.0;0.125
GO:0042340;0.0;0.0;0.3333333333333333;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.26666666666666666;0.0;0.0;0.8888888888888888;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.2222222222222222;0.21052631578947367;0.0;0.0;0.25;0.14285714285714285;0.0;0.375;0.0;0.0;0.0;0.25;0.0;0.0;0.26666666666666666;0.25;0.0;0.0;0.25;0.3157894736842105;0.0;0.26666666666666666;0.3333333333333333;0.4;0.0;0.23529411764705882;0.26666666666666666;0.0;1.0;0.2222222222222222;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.5333333333333333;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.42105263157894735;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.2222222222222222
GO:0055003;0.0;0.0;0.2222222222222222;0.14285714285714285;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.13333333333333333;0.11764705882352941;0.0;0.26666666666666666;0.0;0.0;0.2222222222222222;0.0;0.26666666666666666;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.2222222222222222;0.10526315789473684;0.0;0.0;0.125;0.14285714285714285;0.0;0.25;0.125;0.14285714285714285;0.0;0.25;0.0;0.0;0.5333333333333333;0.25;0.0;0.0;0.125;0.21052631578947367;0.0;0.13333333333333333;0.2222222222222222;0.1;0.13333333333333333;0.11764705882352941;0.13333333333333333;0.0;0.2222222222222222;1.0;0.0;0.0;0.25;0.125;0.125;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.25;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.1111111111111111;0.10526315789473684;0.19047619047619047;0.0;0.0;0.0;0.0;0.0;0.0;0.1111111111111111
GO:0032760;0.47058823529411764;0.35294117647058826;0.0;0.0;0.625;0.4;0.3333333333333333;0.0;0.47058823529411764;0.5714285714285714;0.5333333333333333;0.875;0.3333333333333333;0.23529411764705882;0.4444444444444444;0.1111111111111111;0.35294117647058826;0.4;0.0;0.0;0.125;0.4;0.0;0.5555555555555556;0.4444444444444444;0.0;0.35294117647058826;0.0;0.47058823529411764;0.3157894736842105;0.4444444444444444;0.3333333333333333;0.42857142857142855;0.42105263157894735;0.4;0.5333333333333333;0.0;0.1111111111111111;0.631578947368421;0.5333333333333333;0.13333333333333333;0.0;0.375;0.26666666666666666;0.0;0.0;0.1111111111111111;0.0;0.4;0.4;0.0;0.0;0.3;0.5333333333333333;0.13333333333333333;0.0;0.5;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;1.0;0.3157894736842105;0.0;0.0;0.0;0.5333333333333333;0.375;0.14285714285714285;0.4444444444444444;0.35294117647058826;0.4;0.47058823529411764;0.5333333333333333;0.3;0.75;0.0;0.0;0.5333333333333333;0.23529411764705882;0.42857142857142855;0.0;0.5;0.3;0.75;0.3;0.0;0.4;0.0;0.4;0.4;0.3333333333333333;0.4444444444444444;0.11764705882352941;0.0;0.2;0.35294117647058826;0.375;0.3;0.4;0.5;0.0;0.11764705882352941
