;GO:0014068;GO:0014066;GO:0046579;GO:0046854;GO:0022008;GO:1902715;GO:0003334;GO:0032725;GO:0001701;GO:0032729;GO:0031077;GO:0010811;GO:0050679;GO:0035556;GO:0019800;GO:1902043;GO:0007265;GO:0009967;GO:0060513;GO:0090190;GO:0030538;GO:0007416;GO:0001837;GO:0001839;GO:0010543;GO:0051259;GO:0051897;GO:0043406;GO:0033089;GO:0008285;GO:0038095;GO:0021533;GO:0097190;GO:0045664;GO:0046632;GO:0060825;GO:0045944;GO:0044336;GO:0060302;GO:0021773;GO:0048538;GO:0045668;GO:0032825;GO:0000165;GO:0007229;GO:0001766;GO:0046641;GO:0001649;GO:0050852;GO:0050853;GO:0031295;GO:0033077;GO:0038083;GO:0048304;GO:0045954;GO:0030514;GO:0002863;GO:0050860;GO:1990830;GO:2001234;GO:2000147;GO:0021915;GO:0060044;GO:0045727;GO:0006366;GO:0048712;GO:0048557;GO:0045840;GO:0043303;GO:0001865;GO:0002437;GO:0032760;GO:0051965;GO:2000313;GO:0060272;GO:0021902;GO:0060394;GO:0003382;GO:0030217;GO:0010629;GO:0048570;GO:0045066;GO:0030336;GO:0032753;GO:0061037;GO:0061312;GO:1905006;GO:0090630;GO:0045589;GO:0090193;GO:1904837;GO:0000122;GO:0045595;GO:0071353;GO:0047496;GO:0010951;GO:0045070;GO:0006351;GO:0033153;GO:0007169;GO:0007202;GO:0042089;GO:0042246;GO:0060335;GO:0090090;GO:0045086;GO:0045087;GO:0043066;GO:0046330;GO:0070374;GO:0032733
GO:0048557;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.16666666666666666;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.8333333333333334;0.0;0.16666666666666666;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.15384615384615385;0.15384615384615385;0.0;0.15384615384615385;0.15384615384615385;0.0;0.8333333333333334;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045840;0.5555555555555556;0.47058823529411764;0.5263157894736842;0.0;0.0;0.5;0.0;0.5;0.0;0.5;0.0;0.5333333333333333;0.625;0.5333333333333333;0.0;0.5;0.11764705882352941;0.625;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.5555555555555556;0.45454545454545453;0.5;0.5333333333333333;0.1111111111111111;0.0;0.5333333333333333;0.11764705882352941;0.0;0.10526315789473684;0.38095238095238093;0.42105263157894735;0.3333333333333333;0.0;0.0;0.5;0.5263157894736842;0.42105263157894735;0.5;0.0;0.5;0.0;0.1;0.1;0.5263157894736842;0.0;0.0;0.38095238095238093;0.42105263157894735;0.36363636363636365;0.4444444444444444;0.4444444444444444;0.0;0.4444444444444444;0.625;0.0;0.4;0.5555555555555556;0.0;0.1;0.0;1.0;0.0;0.0;0.0;0.47058823529411764;0.7058823529411765;0.47058823529411764;0.0;0.0;0.4;0.0;0.0;0.375;0.0;0.0;0.47058823529411764;0.5;0.375;0.09090909090909091;0.4444444444444444;0.23529411764705882;0.42105263157894735;0.47058823529411764;0.0;0.38095238095238093;0.5714285714285714;0.0;0.0;0.4;0.4444444444444444;0.0;0.0;0.11764705882352941;0.21052631578947367;0.0;0.0;0.5263157894736842;0.4444444444444444;0.5555555555555556;0.0;0.47058823529411764;0.36363636363636365;0.47619047619047616;0.5
GO:0043303;0.0;0.0;0.0;0.10526315789473684;0.13333333333333333;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.1;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.13333333333333333;0.125;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.10526315789473684;0.13333333333333333;0.125;0.0;0.1111111111111111;0.1;0.0;0.1;0.0;0.1111111111111111;0.0;0.0;0.0;0.1;0.11764705882352941;0.35294117647058826;0.0;0.13333333333333333;0.09523809523809523;0.09523809523809523;0.2;0.1111111111111111;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;1.0;0.10526315789473684;0.25;0.0;0.0;0.0;0.0;0.11764705882352941;0.0;0.11764705882352941;0.11764705882352941;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.08695652173913043;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.11764705882352941;0.3157894736842105;0.0;0.0;0.1;0.09090909090909091;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.0;0.0
GO:0001865;0.0;0.0;0.0;0.1111111111111111;0.14285714285714285;0.0;0.13333333333333333;0.0;0.11764705882352941;0.0;0.11764705882352941;0.0;0.0;0.13333333333333333;0.10526315789473684;0.0;0.11764705882352941;0.0;0.11764705882352941;0.0;0.13333333333333333;0.14285714285714285;0.13333333333333333;0.125;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.1111111111111111;0.14285714285714285;0.13333333333333333;0.0;0.9411764705882353;0.10526315789473684;0.0;0.10526315789473684;0.0;0.11764705882352941;0.13333333333333333;0.0;0.0;0.10526315789473684;0.125;0.125;0.0;0.14285714285714285;0.1;0.1;0.21052631578947367;0.11764705882352941;0.1;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.13333333333333333;0.0;0.0;0.1;0.0;0.13333333333333333;0.0;0.10526315789473684;1.0;0.26666666666666666;0.0;0.0;0.0;0.125;0.125;0.0;0.125;0.125;0.0;0.13333333333333333;0.11764705882352941;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.125;0.1111111111111111;0.0;0.0;0.10526315789473684;0.09523809523809523;0.11764705882352941;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0
GO:0002437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11764705882352941;0.11764705882352941;0.25;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.26666666666666666;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0
GO:0032760;0.47058823529411764;0.375;0.4444444444444444;0.0;0.0;0.631578947368421;0.0;0.8;0.0;0.8;0.0;0.5714285714285714;0.5333333333333333;0.14285714285714285;0.0;0.42105263157894735;0.125;0.5333333333333333;0.0;0.5882352941176471;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.47058823529411764;0.38095238095238093;0.5263157894736842;0.42857142857142855;0.11764705882352941;0.0;0.14285714285714285;0.125;0.0;0.1111111111111111;0.4;0.3333333333333333;0.35294117647058826;0.0;0.0;0.5333333333333333;0.5555555555555556;0.1111111111111111;0.13333333333333333;0.0;0.42105263157894735;0.0;0.10526315789473684;0.10526315789473684;0.4444444444444444;0.0;0.0;0.5;0.4444444444444444;0.2857142857142857;0.47058823529411764;0.35294117647058826;0.0;0.35294117647058826;0.5333333333333333;0.0;0.42105263157894735;0.47058823529411764;0.0;0.10526315789473684;0.0;0.47058823529411764;0.0;0.0;0.0;1.0;0.625;0.5;0.0;0.0;0.3157894736842105;0.0;0.0;0.4;0.0;0.0;0.375;0.8;0.5333333333333333;0.09523809523809523;0.47058823529411764;0.25;0.4444444444444444;0.625;0.0;0.3;0.46153846153846156;0.0;0.0;0.21052631578947367;0.47058823529411764;0.0;0.0;0.125;0.2222222222222222;0.0;0.0;0.4444444444444444;0.35294117647058826;0.7058823529411765;0.0;0.375;0.38095238095238093;0.4;0.8
GO:0051965;0.47058823529411764;0.25;0.4444444444444444;0.0;0.0;0.5263157894736842;0.0;0.6666666666666666;0.0;0.6666666666666666;0.0;0.5714285714285714;0.6666666666666666;0.14285714285714285;0.0;0.42105263157894735;0.125;0.5333333333333333;0.0;0.5882352941176471;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.47058823529411764;0.38095238095238093;0.5263157894736842;0.2857142857142857;0.11764705882352941;0.0;0.14285714285714285;0.125;0.0;0.1111111111111111;0.4;0.2222222222222222;0.23529411764705882;0.0;0.0;0.26666666666666666;0.5555555555555556;0.1111111111111111;0.13333333333333333;0.0;0.42105263157894735;0.0;0.10526315789473684;0.10526315789473684;0.1111111111111111;0.0;0.0;0.5;0.4444444444444444;0.38095238095238093;0.47058823529411764;0.23529411764705882;0.0;0.23529411764705882;0.5333333333333333;0.0;0.42105263157894735;0.5882352941176471;0.0;0.10526315789473684;0.0;0.7058823529411765;0.0;0.0;0.0;0.625;1.0;0.625;0.0;0.0;0.21052631578947367;0.0;0.0;0.26666666666666666;0.0;0.0;0.25;0.6666666666666666;0.26666666666666666;0.09523809523809523;0.23529411764705882;0.25;0.2222222222222222;0.625;0.0;0.2;0.3076923076923077;0.0;0.0;0.21052631578947367;0.47058823529411764;0.0;0.0;0.125;0.2222222222222222;0.0;0.0;0.4444444444444444;0.23529411764705882;0.5882352941176471;0.0;0.25;0.19047619047619047;0.4;0.6666666666666666
GO:2000313;0.7058823529411765;0.75;0.6666666666666666;0.0;0.0;0.42105263157894735;0.0;0.5333333333333333;0.0;0.5333333333333333;0.0;0.42857142857142855;0.5333333333333333;0.5714285714285714;0.0;0.631578947368421;0.125;0.8;0.0;0.5882352941176471;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.7058823529411765;0.5714285714285714;0.5263157894736842;0.5714285714285714;0.11764705882352941;0.0;0.5714285714285714;0.625;0.0;0.1111111111111111;0.4;0.4444444444444444;0.7058823529411765;0.0;0.0;0.5333333333333333;0.5555555555555556;0.4444444444444444;0.13333333333333333;0.0;0.42105263157894735;0.0;0.10526315789473684;0.10526315789473684;0.1111111111111111;0.0;0.0;0.5;0.3333333333333333;0.47619047619047616;0.47058823529411764;0.7058823529411765;0.0;0.7058823529411765;0.5333333333333333;0.0;0.5263157894736842;0.47058823529411764;0.0;0.10526315789473684;0.0;0.47058823529411764;0.0;0.0;0.0;0.5;0.625;1.0;0.0;0.0;0.631578947368421;0.0;0.0;0.4;0.0;0.0;0.5;0.5333333333333333;0.6666666666666666;0.09523809523809523;0.5882352941176471;0.25;0.5555555555555556;0.625;0.0;0.4;0.6153846153846154;0.0;0.0;0.42105263157894735;0.35294117647058826;0.0;0.0;0.125;0.2222222222222222;0.0;0.0;0.6666666666666666;0.7058823529411765;0.47058823529411764;0.0;0.5;0.5714285714285714;0.6;0.5333333333333333
GO:0060272;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.15384615384615385;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.15384615384615385;0.0;0.15384615384615385;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.13333333333333333;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.125;0.0;0.0;0.0;0.0;1.0;0.14285714285714285;0.0;0.14285714285714285;0.14285714285714285;0.0;0.15384615384615385;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0021902;0.0;0.0;0.0;0.25;0.16666666666666666;0.0;0.15384615384615385;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.0;0.15384615384615385;0.11764705882352941;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.15384615384615385;0.16666666666666666;0.15384615384615385;0.14285714285714285;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.125;0.16666666666666666;0.15384615384615385;0.0;0.13333333333333333;0.11764705882352941;0.0;0.11764705882352941;0.0;0.13333333333333333;0.15384615384615385;0.0;0.0;0.11764705882352941;0.14285714285714285;0.2857142857142857;0.0;0.16666666666666666;0.1111111111111111;0.1111111111111111;0.0;0.13333333333333333;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.15384615384615385;0.0;0.0;0.1111111111111111;0.0;0.15384615384615385;0.0;0.11764705882352941;0.125;0.0;0.0;0.0;0.0;0.14285714285714285;1.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.15384615384615385;0.13333333333333333;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.2857142857142857;0.125;0.0;0.0;0.11764705882352941;0.10526315789473684;0.13333333333333333;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0060394;0.6;0.631578947368421;0.5714285714285714;0.0;0.0;0.36363636363636365;0.0;0.3333333333333333;0.0;0.3333333333333333;0.0;0.35294117647058826;0.4444444444444444;0.47058823529411764;0.0;0.5454545454545454;0.10526315789473684;0.6666666666666666;0.0;0.3;0.0;0.0;0.0;0.0;0.4;0.0;0.6;0.75;0.36363636363636365;0.5882352941176471;0.1;0.0;0.47058823529411764;0.10526315789473684;0.0;0.09523809523809523;0.43478260869565216;0.38095238095238093;0.4;0.0;0.0;0.5555555555555556;0.38095238095238093;0.38095238095238093;0.1111111111111111;0.0;0.36363636363636365;0.0;0.09090909090909091;0.09090909090909091;0.09523809523809523;0.0;0.0;0.2608695652173913;0.38095238095238093;0.6666666666666666;0.4;0.7;0.0;0.7;0.4444444444444444;0.0;0.45454545454545453;0.7;0.0;0.09090909090909091;0.0;0.4;0.0;0.0;0.0;0.3157894736842105;0.21052631578947367;0.631578947368421;0.0;0.0;1.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.42105263157894735;0.3333333333333333;0.4444444444444444;0.08333333333333333;0.4;0.21052631578947367;0.38095238095238093;0.3157894736842105;0.0;0.5217391304347826;0.5;0.0;0.0;0.7272727272727273;0.3;0.0;0.0;0.10526315789473684;0.19047619047619047;0.0;0.0;0.5714285714285714;0.7;0.6;0.0;0.5263157894736842;0.75;0.782608695652174;0.3333333333333333
GO:0003382;0.0;0.0;0.0;0.25;0.16666666666666666;0.0;0.15384615384615385;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.0;0.15384615384615385;0.11764705882352941;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.15384615384615385;0.16666666666666666;0.15384615384615385;0.14285714285714285;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.125;0.16666666666666666;0.15384615384615385;0.0;0.13333333333333333;0.11764705882352941;0.0;0.11764705882352941;0.0;0.13333333333333333;0.15384615384615385;0.0;0.0;0.11764705882352941;0.14285714285714285;0.2857142857142857;0.0;0.16666666666666666;0.1111111111111111;0.1111111111111111;0.0;0.13333333333333333;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.15384615384615385;0.0;0.0;0.1111111111111111;0.0;0.15384615384615385;0.0;0.11764705882352941;0.125;0.0;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;1.0;0.14285714285714285;0.0;0.15384615384615385;0.13333333333333333;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.2857142857142857;0.125;0.0;0.0;0.11764705882352941;0.10526315789473684;0.13333333333333333;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0030217;0.0;0.0;0.0;0.125;0.16666666666666666;0.0;0.15384615384615385;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.0;0.15384615384615385;0.11764705882352941;0.0;0.13333333333333333;0.0;0.13333333333333333;0.0;0.15384615384615385;0.16666666666666666;0.15384615384615385;0.14285714285714285;0.0;0.15384615384615385;0.0;0.0;0.0;0.0;0.125;0.16666666666666666;0.15384615384615385;0.0;0.9333333333333333;0.11764705882352941;0.0;0.11764705882352941;0.0;0.13333333333333333;0.15384615384615385;0.0;0.0;0.11764705882352941;0.14285714285714285;0.14285714285714285;0.0;0.16666666666666666;0.1111111111111111;0.1111111111111111;0.23529411764705882;0.9333333333333333;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.15384615384615385;0.0;0.0;0.1111111111111111;0.0;0.15384615384615385;0.0;0.11764705882352941;0.125;0.3076923076923077;0.0;0.0;0.0;0.14285714285714285;0.14285714285714285;0.0;0.14285714285714285;1.0;0.0;0.15384615384615385;0.9333333333333333;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.15384615384615385;0.0;0.0;0.14285714285714285;0.125;0.0;0.0;0.11764705882352941;0.10526315789473684;0.13333333333333333;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0
GO:0010629;0.375;0.4;0.35294117647058826;0.0;0.0;0.3333333333333333;0.0;0.42857142857142855;0.0;0.42857142857142855;0.0;0.46153846153846156;0.42857142857142855;0.15384615384615385;0.0;0.3333333333333333;0.13333333333333333;0.42857142857142855;0.0;0.375;0.0;0.0;0.0;0.0;0.375;0.0;0.375;0.5;0.3333333333333333;0.6153846153846154;0.125;0.0;0.15384615384615385;0.13333333333333333;0.0;0.11764705882352941;0.631578947368421;0.35294117647058826;0.5;0.0;0.0;0.5714285714285714;0.35294117647058826;0.11764705882352941;0.14285714285714285;0.0;0.3333333333333333;0.0;0.1111111111111111;0.1111111111111111;0.11764705882352941;0.0;0.0;0.5263157894736842;0.35294117647058826;0.6;0.375;0.5;0.0;0.5;0.42857142857142855;0.0;0.4444444444444444;0.75;0.0;0.1111111111111111;0.0;0.375;0.0;0.0;0.0;0.4;0.26666666666666666;0.4;0.0;0.0;0.6666666666666666;0.0;0.0;1.0;0.0;0.0;0.5333333333333333;0.42857142857142855;0.5714285714285714;0.6;0.5;0.26666666666666666;0.35294117647058826;0.4;0.0;0.7368421052631579;0.5;0.0;0.0;0.6666666666666666;0.375;0.0;0.0;0.13333333333333333;0.23529411764705882;0.0;0.0;0.35294117647058826;0.5;0.625;0.0;0.5333333333333333;0.5;0.5263157894736842;0.42857142857142855
GO:0048570;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.16666666666666666;0.0;0.14285714285714285;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.8333333333333334;0.0;0.16666666666666666;0.15384615384615385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.14285714285714285;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.8333333333333334;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.15384615384615385;0.15384615384615385;0.0;0.15384615384615385;0.15384615384615385;0.0;1.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045066;0.0;0.0;0.0;0.11764705882352941;0.15384615384615385;0.0;0.14285714285714285;0.0;0.125;0.0;0.125;0.0;0.0;0.14285714285714285;0.1111111111111111;0.0;0.125;0.0;0.125;0.0;0.14285714285714285;0.15384615384615385;0.14285714285714285;0.13333333333333333;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.11764705882352941;0.15384615384615385;0.14285714285714285;0.0;0.125;0.1111111111111111;0.0;0.1111111111111111;0.0;0.125;0.14285714285714285;0.0;0.0;0.1111111111111111;0.13333333333333333;0.13333333333333333;0.0;0.15384615384615385;0.10526315789473684;0.10526315789473684;0.2222222222222222;0.125;0.10526315789473684;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.14285714285714285;0.0;0.0;0.10526315789473684;0.0;0.14285714285714285;0.0;0.1111111111111111;0.11764705882352941;0.2857142857142857;0.0;0.0;0.0;0.13333333333333333;0.13333333333333333;0.0;0.13333333333333333;0.9333333333333333;0.0;0.14285714285714285;1.0;0.0;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.13333333333333333;0.11764705882352941;0.0;0.0;0.1111111111111111;0.1;0.125;0.0;0.0;0.15384615384615385;0.0;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.0
GO:0030336;0.47058823529411764;0.5;0.4444444444444444;0.0;0.0;0.42105263157894735;0.0;0.4;0.0;0.4;0.0;0.42857142857142855;0.5333333333333333;0.5714285714285714;0.0;0.42105263157894735;0.125;0.5333333333333333;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.47058823529411764;0.38095238095238093;0.42105263157894735;0.7142857142857143;0.11764705882352941;0.0;0.5714285714285714;0.125;0.0;0.1111111111111111;0.4;0.4444444444444444;0.47058823529411764;0.0;0.0;0.6666666666666666;0.4444444444444444;0.4444444444444444;0.13333333333333333;0.0;0.42105263157894735;0.0;0.10526315789473684;0.10526315789473684;0.1111111111111111;0.0;0.0;0.3;0.3333333333333333;0.47619047619047616;0.35294117647058826;0.47058823529411764;0.0;0.5882352941176471;0.8;0.0;0.5263157894736842;0.47058823529411764;0.0;0.10526315789473684;0.0;0.47058823529411764;0.0;0.0;0.0;0.375;0.25;0.5;0.0;0.0;0.42105263157894735;0.0;0.0;0.5333333333333333;0.0;0.0;1.0;0.4;0.5333333333333333;0.09523809523809523;0.5882352941176471;0.25;0.4444444444444444;0.375;0.0;0.5;0.6153846153846154;0.0;0.0;0.5263157894736842;0.35294117647058826;0.0;0.0;0.125;0.2222222222222222;0.0;0.0;0.4444444444444444;0.5882352941176471;0.47058823529411764;0.0;0.625;0.38095238095238093;0.4;0.4
GO:0032753;0.5;0.4;0.47058823529411764;0.0;0.0;0.6666666666666666;0.0;0.8571428571428571;0.0;0.8571428571428571;0.0;0.6153846153846154;0.5714285714285714;0.15384615384615385;0.0;0.4444444444444444;0.13333333333333333;0.5714285714285714;0.0;0.625;0.0;0.0;0.0;0.0;0.5;0.0;0.5;0.4;0.5555555555555556;0.46153846153846156;0.125;0.0;0.15384615384615385;0.13333333333333333;0.0;0.11764705882352941;0.42105263157894735;0.35294117647058826;0.375;0.0;0.0;0.5714285714285714;0.5882352941176471;0.11764705882352941;0.14285714285714285;0.0;0.4444444444444444;0.0;0.1111111111111111;0.1111111111111111;0.47058823529411764;0.0;0.0;0.5263157894736842;0.47058823529411764;0.3;0.5;0.375;0.0;0.375;0.5714285714285714;0.0;0.4444444444444444;0.5;0.0;0.1111111111111111;0.0;0.5;0.0;0.0;0.0;0.8;0.6666666666666666;0.5333333333333333;0.0;0.0;0.3333333333333333;0.0;0.0;0.42857142857142855;0.0;0.0;0.4;1.0;0.5714285714285714;0.1;0.5;0.26666666666666666;0.47058823529411764;0.6666666666666666;0.0;0.3157894736842105;0.5;0.0;0.0;0.2222222222222222;0.5;0.0;0.0;0.13333333333333333;0.23529411764705882;0.0;0.0;0.47058823529411764;0.375;0.75;0.0;0.4;0.4;0.42105263157894735;0.8571428571428571
GO:0061037;0.375;0.4;0.35294117647058826;0.0;0.0;0.4444444444444444;0.0;0.5714285714285714;0.0;0.5714285714285714;0.0;0.46153846153846156;0.42857142857142855;0.15384615384615385;0.0;0.3333333333333333;0.13333333333333333;0.42857142857142855;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.375;0.3;0.4444444444444444;0.6153846153846154;0.125;0.0;0.15384615384615385;0.6666666666666666;0.0;0.11764705882352941;0.3157894736842105;0.35294117647058826;0.5;0.0;0.0;0.7142857142857143;0.47058823529411764;0.11764705882352941;0.14285714285714285;0.0;0.3333333333333333;0.0;0.1111111111111111;0.1111111111111111;0.11764705882352941;0.0;0.0;0.42105263157894735;0.35294117647058826;0.4;0.375;0.5;0.0;0.5;0.42857142857142855;0.0;0.4444444444444444;0.375;0.0;0.5555555555555556;0.0;0.375;0.0;0.0;0.0;0.5333333333333333;0.26666666666666666;0.6666666666666666;0.0;0.0;0.4444444444444444;0.0;0.0;0.5714285714285714;0.0;0.0;0.5333333333333333;0.5714285714285714;1.0;0.1;0.625;0.26666666666666666;0.47058823529411764;0.5333333333333333;0.0;0.42105263157894735;0.6666666666666666;0.0;0.0;0.4444444444444444;0.375;0.0;0.0;0.13333333333333333;0.23529411764705882;0.0;0.0;0.35294117647058826;0.5;0.5;0.0;0.5333333333333333;0.3;0.3157894736842105;0.5714285714285714
