;GO:0007095;GO:0006284;GO:0007098;GO:0007131;GO:0006283;GO:0006289;GO:0042771;GO:0008585;GO:0006287;GO:0045004;GO:0045766;GO:0051090;GO:0045892;GO:0045893;GO:0070200;GO:0032201;GO:0071897;GO:0010778;GO:0032206;GO:0034502;GO:0090502;GO:1902042;GO:0006296;GO:0006293;GO:1900264;GO:0006294;GO:0007141;GO:0051260;GO:0006297;GO:0008630;GO:0006298;GO:0042148;GO:0006334;GO:0045931;GO:0000077;GO:0071480;GO:0001556;GO:0031860;GO:0050727;GO:0070317;GO:0035264;GO:0043009;GO:0006260;GO:1900034;GO:0006261;GO:0090398;GO:1904354;GO:0042276;GO:0006303;GO:0045944;GO:0070192;GO:0006268;GO:0006301;GO:0031619;GO:0000281;GO:1990426;GO:0031297;GO:0071158;GO:0016233;GO:0030521;GO:0019985;GO:0070987;GO:2000378;GO:0016579;GO:0045717;GO:1902065;GO:0000729;GO:0006273;GO:0006271;GO:0006272;GO:0055089;GO:0000724;GO:0007004;GO:0000722;GO:0043137;GO:0007129;GO:0001541;GO:0006309;GO:0085020;GO:0071548;GO:0072757;GO:0046939;GO:0006361;GO:1902990;GO:0036297;GO:0006360;GO:0006366;GO:0000019;GO:0006363;GO:0006367;GO:0006368;GO:0043150;GO:0031954;GO:0031398;GO:0072425;GO:0010575;GO:0045739;GO:0090305;GO:0000707;GO:0006370;GO:0030855;GO:0071681;GO:0051574;GO:0051572;GO:0051573;GO:0051571;GO:0032355;GO:0070512;GO:0070911;GO:0016567;GO:0033600;GO:1903461;GO:0043967;GO:0035067;GO:0043966;GO:0044818;GO:0032077;GO:0045589;GO:0045740;GO:0006342;GO:0000079;GO:0051103;GO:0006978;GO:2000617;GO:0097421;GO:0006977;GO:0000083;GO:0032508;GO:0000082;GO:0034644;GO:0032465;GO:0071479;GO:0071356;GO:0033674;GO:0010833;GO:0070301;GO:0051865;GO:0051106;GO:0070816;GO:0042769;GO:0007286;GO:0046600;GO:0006633;GO:0006359;GO:0007569;GO:0045876;GO:0051598;GO:0006349;GO:0044030;GO:0048478;GO:2000620;GO:0033147;GO:0034599;GO:0010569;GO:2000348
GO:0006978;0.8;0.5356143810225276;0.8;0.8;0.48300749985576874;0.5356143810225276;0.8;0.0;0.8;0.8;0.43852901558847923;0.6000000000000001;0.4;0.4;0.0;0.8;0.5356143810225276;0.8;0.5356143810225276;0.0;0.4;0.3660149997115376;0.8;0.8;0.43852901558847923;0.8;0.8;0.8;0.8;0.8;0.5356143810225276;0.8;0.8;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.8;0.8;0.48300749985576874;0.4;0.0;0.0;0.5356143810225276;0.48300749985576874;0.48300749985576874;0.6830074998557688;0.48300749985576874;0.8;0.48300749985576874;0.3660149997115376;0.8;0.8;0.5356143810225276;0.8;0.8;0.8;0.8;0.4;0.43852901558847923;0.8;0.8;0.8;0.43852901558847923;0.43852901558847923;0.4;0.6000000000000001;0.8;0.8;0.8;0.8;0.43852901558847923;0.48300749985576874;0.4;0.43852901558847923;0.8;0.8;0.0;0.8;0.3356143810225276;0.6000000000000001;0.6000000000000001;0.48300749985576874;0.8;0.8;0.5356143810225276;0.8;0.8;0.4;0.8;0.8;0.8;0.8;0.3356143810225276;0.3356143810225276;0.8;0.43852901558847923;0.4;0.48300749985576874;0.8;0.8;0.8;0.6000000000000001;0.3081136762725405;0.3081136762725405;0.3081136762725405;0.3081136762725405;0.6000000000000001;0.3081136762725405;0.48300749985576874;0.4;0.48300749985576874;0.8;0.8;0.3356143810225276;0.8;0.8;0.4;0.3660149997115376;0.4;0.8;0.43852901558847923;0.8;1.0;0.3081136762725405;0.0;0.8;0.8;0.43852901558847923;0.8;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.6000000000000001;0.3660149997115376;0.4;0.43852901558847923;0.6830074998557688;0.8;0.43852901558847923;0.5356143810225276;0.4;0.6830074998557688;0.43852901558847923;0.8;0.48300749985576874;0.43852901558847923;0.8;0.2830074998557688;0.4;0.6830074998557688;0.4;0.48300749985576874
GO:2000617;0.3081136762725405;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.4;0.0;0.3081136762725405;0.0;0.0;0.5356143810225276;0.0;0.0;0.2599120563717816;0.0;0.4;0.4;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.4;0.2830074998557688;0.0;0.0;0.0;0.3081136762725405;0.3081136762725405;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.4;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.23852901558847928;0.3081136762725405;0.0;0.0;0.4;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.23852901558847928;0.0;0.21862188087829626;0.23852901558847928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.4;0.3356143810225276;0.4;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.0;0.6000000000000001;0.0;0.0;0.3081136762725405;0.0;0.0;0.6830074998557688;0.0;0.3081136762725405;0.4;0.2830074998557688;0.43852901558847923;0.3081136762725405;0.4;0.0;0.3081136762725405;1.0;0.0;0.4;0.3356143810225276;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.3660149997115376;0.23852901558847928;0.0;0.0;0.4;0.3081136762725405;0.0;0.0;0.3660149997115376;0.0;0.3356143810225276;0.0;0.5356143810225276;0.3356143810225276;0.3660149997115376;0.3660149997115376;0.3081136762725405;0.6830074998557688;0.2830074998557688;0.0;0.3356143810225276;0.3356143810225276
GO:0097421;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.6830074998557688;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006977;0.8;0.6830074998557688;0.8;0.8;0.6000000000000001;0.6830074998557688;0.8;0.0;0.8;0.8;0.5356143810225276;0.6830074998557688;0.5356143810225276;0.48300749985576874;0.0;0.8;0.5356143810225276;0.8;0.6000000000000001;0.0;0.4;0.48300749985576874;0.8;0.8;0.48300749985576874;0.8;0.8;0.8;0.8;0.8;0.6830074998557688;0.8;0.8;0.8;0.8;0.48300749985576874;0.8;0.8;0.6000000000000001;0.8;0.0;0.0;0.5356143810225276;0.6830074998557688;0.48300749985576874;0.8;0.5356143810225276;0.8;0.6000000000000001;0.43852901558847923;0.8;0.8;0.6830074998557688;0.8;0.8;0.8;0.8;1.0;0.48300749985576874;0.8;0.8;0.8;0.6830074998557688;0.43852901558847923;0.6000000000000001;0.6000000000000001;0.8;0.8;0.8;0.8;0.48300749985576874;0.6000000000000001;0.43852901558847923;0.48300749985576874;0.8;0.8;0.0;0.8;0.3356143810225276;0.6000000000000001;0.6000000000000001;0.48300749985576874;0.8;0.8;0.6830074998557688;0.8;0.8;0.48300749985576874;0.8;0.8;0.8;0.8;0.43852901558847923;0.43852901558847923;0.8;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.8;0.8;0.8;0.6000000000000001;0.3660149997115376;0.4;0.4;0.3660149997115376;0.6000000000000001;0.3660149997115376;0.6000000000000001;0.4;0.6830074998557688;0.8;0.8;0.43852901558847923;0.8;0.8;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.8;0.6830074998557688;0.8;0.8;0.4;0.0;1.0;0.8;0.43852901558847923;0.8;0.48300749985576874;0.8;0.5356143810225276;0.5356143810225276;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.3660149997115376;0.48300749985576874;0.43852901558847923;0.8;0.8;0.6000000000000001;0.5356143810225276;0.48300749985576874;0.6830074998557688;0.6830074998557688;0.8;0.5356143810225276;0.5356143810225276;0.8;0.3356143810225276;0.5356143810225276;0.8;0.48300749985576874;0.6000000000000001
GO:0000083;0.8;0.48300749985576874;0.8;0.8;0.43852901558847923;0.48300749985576874;0.8;0.0;0.8;0.8;0.43852901558847923;0.8;0.8;0.8;0.0;0.8;0.5356143810225276;0.8;0.5356143810225276;0.0;0.4;0.3660149997115376;0.8;0.8;0.5356143810225276;0.8;0.8;0.8;0.8;0.8;0.48300749985576874;0.8;0.8;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.8;0.8;0.48300749985576874;0.4;0.0;0.0;0.5356143810225276;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.8;0.43852901558847923;0.6830074998557688;0.8;0.8;0.48300749985576874;0.8;0.8;0.8;0.8;0.4;0.43852901558847923;0.8;0.8;0.8;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.0;0.8;0.8;0.8;0.8;0.43852901558847923;0.43852901558847923;0.4;0.43852901558847923;0.8;0.8;0.0;0.8;0.3356143810225276;0.0;0.5356143810225276;0.48300749985576874;0.8;0.8;0.48300749985576874;0.8;0.8;0.48300749985576874;0.8;0.8;0.8;0.8;0.3660149997115376;0.3660149997115376;0.8;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.8;0.8;0.8;0.5356143810225276;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.0;0.3356143810225276;0.43852901558847923;0.4;0.48300749985576874;0.8;0.8;0.3660149997115376;0.8;0.8;0.48300749985576874;0.3660149997115376;0.6000000000000001;0.8;0.43852901558847923;0.8;0.8;0.3356143810225276;0.0;0.8;1.0;0.43852901558847923;0.8;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.5356143810225276;0.3660149997115376;0.48300749985576874;0.6830074998557688;0.6000000000000001;0.8;0.43852901558847923;0.5356143810225276;0.8;0.6830074998557688;0.43852901558847923;0.8;0.6000000000000001;0.5356143810225276;0.8;0.3081136762725405;0.4;0.6000000000000001;0.48300749985576874;0.48300749985576874
GO:0032508;0.43852901558847923;0.3081136762725405;0.48300749985576874;0.43852901558847923;0.2830074998557688;0.3081136762725405;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.3356143810225276;0.43852901558847923;0.0;0.0;0.2599120563717816;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.3081136762725405;0.43852901558847923;0.48300749985576874;0.0;0.3356143810225276;0.2830074998557688;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.3081136762725405;0.3660149997115376;0.0;0.43852901558847923;0.2830074998557688;0.0;0.6000000000000001;1.0;0.3081136762725405;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.2599120563717816;0.0;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.2830074998557688;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.5356143810225276;0.0;0.43852901558847923;0.21862188087829626;0.0;0.3356143810225276;0.3081136762725405;0.43852901558847923;0.43852901558847923;0.3081136762725405;0.4;0.4;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.0;0.3081136762725405;0.43852901558847923;0.4;0.4;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.2830074998557688;0.2599120563717816;0.0;0.43852901558847923;0.48300749985576874;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.43852901558847923;0.43852901558847923;1.0;0.43852901558847923;0.2830074998557688;0.0;0.3081136762725405;0.3081136762725405;0.0;0.48300749985576874;0.3356143810225276;0.23852901558847928;0.0;0.2830074998557688;0.3356143810225276;0.43852901558847923;0.0;0.3356143810225276;0.0;0.4;0.0;0.43852901558847923;0.3081136762725405;0.0;0.43852901558847923;0.0;0.0;0.3660149997115376;0.0;0.0
GO:0000082;0.8;0.48300749985576874;0.8;0.8;0.43852901558847923;0.48300749985576874;0.8;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.8;0.5356143810225276;0.8;0.0;0.0;0.4;0.0;0.8;0.0;0.0;0.8;0.8;0.8;0.8;0.8;0.48300749985576874;0.8;0.8;0.0;0.5356143810225276;0.43852901558847923;0.8;0.8;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.6000000000000001;0.0;0.8;0.43852901558847923;0.0;0.8;0.8;0.48300749985576874;0.8;0.8;0.8;0.8;0.0;0.43852901558847923;0.8;0.8;0.8;0.0;0.43852901558847923;0.0;0.0;0.8;0.8;0.8;0.8;0.0;0.43852901558847923;0.4;0.43852901558847923;0.8;0.8;0.0;0.8;0.3356143810225276;0.0;0.5356143810225276;0.48300749985576874;0.8;0.8;0.48300749985576874;0.8;0.8;0.0;0.8;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.48300749985576874;0.8;0.8;0.8;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.8;0.8;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.8;0.8;0.0;0.0;0.8;0.8;0.43852901558847923;1.0;0.43852901558847923;0.0;0.48300749985576874;0.48300749985576874;0.0;0.43852901558847923;0.5356143810225276;0.3660149997115376;0.0;0.43852901558847923;0.6000000000000001;0.8;0.0;0.5356143810225276;0.0;0.6830074998557688;0.0;0.8;0.48300749985576874;0.0;0.8;0.0;0.0;0.6000000000000001;0.0;0.0
GO:0034644;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.3356143810225276;0.3660149997115376;0.48300749985576874;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.3356143810225276;0.43852901558847923;0.0;0.0;0.2599120563717816;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.0;0.4;0.6000000000000001;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.3081136762725405;0.43852901558847923;0.0;0.48300749985576874;0.3356143810225276;0.0;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.2830074998557688;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.0;0.2830074998557688;0.0;0.4;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.3356143810225276;0.2599120563717816;0.2830074998557688;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.21862188087829626;0.4;0.4;0.3081136762725405;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.0;0.3081136762725405;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.4;0.0;0.0;0.0;0.0;0.4;0.0;0.3356143810225276;0.2599120563717816;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.48300749985576874;0.43852901558847923;0.2830074998557688;0.43852901558847923;1.0;0.0;0.6830074998557688;0.3660149997115376;0.0;0.2830074998557688;0.4;0.23852901558847928;0.0;0.2830074998557688;0.43852901558847923;0.43852901558847923;0.0;0.3356143810225276;0.0;0.4;0.0;0.43852901558847923;0.3081136762725405;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.0
GO:0032465;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.0;0.4;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.6000000000000001;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.6830074998557688;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.4;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6830074998557688;0.3660149997115376;0.48300749985576874;0.0;0.0;0.5356143810225276;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.3356143810225276;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.4;0.4;0.6830074998557688;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.3356143810225276;0.0;0.3356143810225276;0.0;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.0;0.48300749985576874;0.3660149997115376;0.0;0.8;0.48300749985576874;0.0;0.0;0.0;1.0;0.0;0.0;0.4;0.3660149997115376;0.0;0.0;0.43852901558847923;0.4;0.0;0.0;0.5356143810225276;0.0;0.43852901558847923;0.0;0.6830074998557688;0.6000000000000001;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.3081136762725405;0.43852901558847923;0.0;0.43852901558847923;0.5356143810225276
GO:0071479;0.48300749985576874;0.4;0.48300749985576874;0.48300749985576874;0.3660149997115376;0.4;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.3660149997115376;0.48300749985576874;0.0;0.0;0.2830074998557688;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.4;0.48300749985576874;0.48300749985576874;0.0;0.43852901558847923;1.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.3356143810225276;0.48300749985576874;0.0;0.5356143810225276;0.3660149997115376;0.0;0.48300749985576874;0.48300749985576874;0.4;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.3081136762725405;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.0;0.3081136762725405;0.0;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.3660149997115376;0.2830074998557688;0.3081136762725405;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.23852901558847928;0.43852901558847923;0.43852901558847923;0.3356143810225276;0.48300749985576874;0.48300749985576874;0.4;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.0;0.5356143810225276;0.0;0.0;0.3356143810225276;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.3660149997115376;0.2830074998557688;0.0;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.5356143810225276;0.48300749985576874;0.3081136762725405;0.48300749985576874;0.6830074998557688;0.0;1.0;0.4;0.0;0.3081136762725405;0.43852901558847923;0.2599120563717816;0.0;0.3081136762725405;0.48300749985576874;0.48300749985576874;0.0;0.3660149997115376;0.0;0.43852901558847923;0.0;0.48300749985576874;0.3356143810225276;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.0
GO:0071356;0.48300749985576874;0.4;0.48300749985576874;0.48300749985576874;0.3660149997115376;0.4;0.5356143810225276;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.3660149997115376;0.48300749985576874;0.0;0.0;0.2830074998557688;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.5356143810225276;0.4;0.48300749985576874;0.48300749985576874;0.0;0.43852901558847923;0.3660149997115376;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.3356143810225276;0.48300749985576874;0.0;0.5356143810225276;0.3660149997115376;0.0;0.48300749985576874;0.48300749985576874;0.4;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.3081136762725405;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.0;0.2830074998557688;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.3660149997115376;0.2830074998557688;0.3081136762725405;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.23852901558847928;0.5356143810225276;0.6000000000000001;0.3356143810225276;0.48300749985576874;0.48300749985576874;0.4;0.43852901558847923;0.43852901558847923;0.0;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.0;0.0;0.5356143810225276;0.0;0.0;0.3356143810225276;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.6000000000000001;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.3660149997115376;0.2830074998557688;0.0;0.48300749985576874;0.48300749985576874;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.5356143810225276;0.0;0.0;0.5356143810225276;0.48300749985576874;0.3081136762725405;0.48300749985576874;0.3660149997115376;0.0;0.4;1.0;0.0;0.3081136762725405;0.5356143810225276;0.2599120563717816;0.0;0.3081136762725405;0.43852901558847923;0.48300749985576874;0.0;0.3660149997115376;0.0;0.43852901558847923;0.0;0.48300749985576874;0.3356143810225276;0.0;0.48300749985576874;0.0;0.0;0.6000000000000001;0.0;0.0
GO:0033674;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.3660149997115376;0.5356143810225276;0.3660149997115376;0.4;0.0;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.0;0.2830074998557688;0.0;0.43852901558847923;0.8;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.3081136762725405;0.0;0.0;0.0;0.3660149997115376;0.3356143810225276;0.0;0.0;0.0;0.4;0.0;0.0;0.3660149997115376;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.3356143810225276;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.3356143810225276;0.0;0.3081136762725405;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.6830074998557688;0.4;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.3081136762725405;0.3081136762725405;0.3660149997115376;0.0;0.3660149997115376;0.0;0.0;0.3660149997115376;0.0;0.0;0.3356143810225276;0.0;0.43852901558847923;0.5356143810225276;0.3081136762725405;0.48300749985576874;0.43852901558847923;0.6000000000000001;0.0;0.43852901558847923;0.3660149997115376;0.0;0.48300749985576874;0.43852901558847923;0.0;0.0;0.0;0.4;0.0;0.0;1.0;0.3356143810225276;0.0;0.0;0.43852901558847923;0.3356143810225276;0.0;0.0;0.3356143810225276;0.0;0.3660149997115376;0.0;0.43852901558847923;0.43852901558847923;0.3660149997115376;0.4;0.43852901558847923;0.3356143810225276;0.3081136762725405;0.0;0.3660149997115376;0.3660149997115376
GO:0010833;0.43852901558847923;0.6000000000000001;0.48300749985576874;0.5356143810225276;0.5356143810225276;0.6000000000000001;0.43852901558847923;0.0;0.6830074998557688;0.6830074998557688;0.3356143810225276;0.43852901558847923;0.3081136762725405;0.3081136762725405;0.0;0.8;0.6830074998557688;0.6830074998557688;0.48300749985576874;0.0;0.48300749985576874;0.2830074998557688;0.6000000000000001;0.43852901558847923;0.3356143810225276;0.43852901558847923;0.43852901558847923;0.43852901558847923;0.6830074998557688;0.43852901558847923;0.6000000000000001;0.6830074998557688;0.48300749985576874;0.3356143810225276;0.3356143810225276;0.2830074998557688;0.43852901558847923;0.6830074998557688;0.3660149997115376;0.3081136762725405;0.0;0.0;0.6830074998557688;0.3660149997115376;0.6000000000000001;0.3660149997115376;0.43852901558847923;0.6830074998557688;0.5356143810225276;0.2830074998557688;0.6000000000000001;0.43852901558847923;0.6000000000000001;0.43852901558847923;0.43852901558847923;0.6830074998557688;0.6830074998557688;0.3081136762725405;0.8;0.43852901558847923;0.6830074998557688;0.6830074998557688;0.3356143810225276;0.4;0.3081136762725405;0.0;0.6830074998557688;0.6830074998557688;0.6830074998557688;0.6830074998557688;0.48300749985576874;0.5356143810225276;1.0;0.8;0.6830074998557688;0.5356143810225276;0.0;0.5356143810225276;0.3356143810225276;0.0;0.3356143810225276;0.4;0.6000000000000001;0.6830074998557688;0.6000000000000001;0.5356143810225276;0.5356143810225276;0.3081136762725405;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.6830074998557688;0.2599120563717816;0.2599120563717816;0.48300749985576874;0.3356143810225276;0.3081136762725405;0.6000000000000001;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.3356143810225276;0.21862188087829626;0.21862188087829626;0.21862188087829626;0.21862188087829626;0.0;0.21862188087829626;0.5356143810225276;0.4;0.3660149997115376;0.6830074998557688;0.48300749985576874;0.2599120563717816;0.48300749985576874;0.43852901558847923;0.3081136762725405;0.2830074998557688;0.3081136762725405;0.48300749985576874;0.3356143810225276;0.6830074998557688;0.43852901558847923;0.23852901558847928;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.43852901558847923;0.2830074998557688;0.3660149997115376;0.3081136762725405;0.3081136762725405;0.3356143810225276;1.0;0.3356143810225276;0.3660149997115376;0.3081136762725405;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.3356143810225276;0.43852901558847923;0.3081136762725405;0.4;0.3356143810225276;0.43852901558847923;0.48300749985576874;0.3356143810225276;0.6830074998557688;0.20000000000000007;0.3081136762725405;0.3660149997115376;0.3081136762725405;0.3660149997115376
