;GO:0018108;GO:0007098;GO:0014065;GO:0007173;GO:0036092;GO:0006366;GO:0046854;GO:0046777;GO:0090050;GO:0006887;GO:0046855;GO:0046856;GO:0032526;GO:0048489;GO:0048488;GO:0032288;GO:0001829;GO:0030224;GO:0034504;GO:0035556;GO:1904980;GO:0045815;GO:0030183;GO:0006497;GO:0048008;GO:0043353;GO:0043312;GO:0006897;GO:0042147;GO:0046822;GO:0042149;GO:0030217;GO:0030219;GO:0016082;GO:0035508;GO:0014829;GO:0048015;GO:0043484;GO:0045022;GO:0016485;GO:0018105;GO:0030851;GO:0018107;GO:2001032;GO:0007032;GO:0034497;GO:0008286;GO:0006021;GO:0006464;GO:0006661;GO:0043201;GO:0045944;GO:0006468;GO:0001892;GO:0000122;GO:0000045;GO:0016191;GO:0048268;GO:0051384;GO:0030242;GO:0032465;GO:0048260;GO:0016236;GO:1904562;GO:0014015;GO:0034162;GO:0015782;GO:0050708;GO:0006351;GO:0035690;GO:0006470;GO:0006355;GO:0005980;GO:0006357;GO:0098884;GO:0005978;GO:0010923;GO:0001779;GO:0048596;GO:2000785
GO:0000045;0.23529411764705882;0.16666666666666666;0.125;0.11764705882352941;0.23529411764705882;0.1111111111111111;0.25;0.25;0.0;0.2857142857142857;0.25;0.25;0.0;0.0;0.0;0.15384615384615385;0.16666666666666666;0.14285714285714285;0.0;0.15384615384615385;0.0;0.0;0.14285714285714285;0.13333333333333333;0.125;0.14285714285714285;0.11764705882352941;0.0;0.0;0.0;0.26666666666666666;0.14285714285714285;0.15384615384615385;0.14285714285714285;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.23529411764705882;0.14285714285714285;0.23529411764705882;0.0;0.15384615384615385;0.0;0.125;0.26666666666666666;0.2857142857142857;0.25;0.0;0.0;0.26666666666666666;0.0;0.0;1.0;0.11764705882352941;0.14285714285714285;0.0;0.3076923076923077;0.0;0.0;0.3076923076923077;0.25;0.0;0.1;0.0;0.0;0.11764705882352941;0.3333333333333333;0.26666666666666666;0.0;0.25;0.0;0.11764705882352941;0.125;0.0;0.14285714285714285;0.0;0.0
GO:0016191;0.1;0.13333333333333333;0.10526315789473684;0.1;0.1;0.09523809523809523;0.10526315789473684;0.10526315789473684;0.0;0.11764705882352941;0.10526315789473684;0.10526315789473684;0.0;0.0;0.0;0.125;0.13333333333333333;0.11764705882352941;0.0;0.125;0.0;0.0;0.11764705882352941;0.1111111111111111;0.10526315789473684;0.11764705882352941;0.1;0.0;0.0;0.0;0.1111111111111111;0.11764705882352941;0.125;0.11764705882352941;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.1;0.11764705882352941;0.1;0.0;0.125;0.0;0.10526315789473684;0.1111111111111111;0.11764705882352941;0.10526315789473684;0.0;0.0;0.1111111111111111;0.0;0.0;0.11764705882352941;1.0;0.11764705882352941;0.0;0.125;0.0;0.0;0.125;0.10526315789473684;0.0;0.08695652173913043;0.0;0.0;0.1;0.13333333333333333;0.1111111111111111;0.0;0.10526315789473684;0.0;0.1;0.10526315789473684;0.0;0.11764705882352941;0.0;0.0
GO:0048268;0.11764705882352941;0.16666666666666666;0.125;0.11764705882352941;0.11764705882352941;0.1111111111111111;0.125;0.125;0.0;0.14285714285714285;0.125;0.125;0.0;0.0;0.0;0.15384615384615385;0.16666666666666666;0.14285714285714285;0.0;0.15384615384615385;0.0;0.0;0.14285714285714285;0.13333333333333333;0.125;0.14285714285714285;0.11764705882352941;0.0;0.0;0.0;0.13333333333333333;0.14285714285714285;0.15384615384615385;0.14285714285714285;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.11764705882352941;0.14285714285714285;0.11764705882352941;0.0;0.15384615384615385;0.0;0.125;0.13333333333333333;0.14285714285714285;0.125;0.0;0.0;0.13333333333333333;0.0;0.0;0.14285714285714285;0.11764705882352941;1.0;0.0;0.15384615384615385;0.0;0.0;0.15384615384615385;0.125;0.0;0.1;0.0;0.0;0.11764705882352941;0.16666666666666666;0.13333333333333333;0.0;0.125;0.0;0.11764705882352941;0.125;0.0;0.14285714285714285;0.0;0.0
GO:0051384;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7142857142857143;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.46153846153846156;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0030242;0.375;0.36363636363636365;0.26666666666666666;0.25;0.375;0.11764705882352941;0.4;0.4;0.0;0.3076923076923077;0.4;0.4;0.0;0.0;0.0;0.3333333333333333;0.18181818181818182;0.15384615384615385;0.0;0.3333333333333333;0.0;0.0;0.15384615384615385;0.42857142857142855;0.26666666666666666;0.15384615384615385;0.125;0.0;0.0;0.0;0.2857142857142857;0.15384615384615385;0.16666666666666666;0.3076923076923077;0.0;0.0;0.2857142857142857;0.0;0.0;0.15384615384615385;0.375;0.15384615384615385;0.375;0.0;0.3333333333333333;0.0;0.26666666666666666;0.42857142857142855;0.46153846153846156;0.4;0.0;0.0;0.42857142857142855;0.0;0.0;0.3076923076923077;0.125;0.15384615384615385;0.0;1.0;0.0;0.0;0.8333333333333334;0.4;0.0;0.21052631578947367;0.0;0.0;0.125;0.36363636363636365;0.42857142857142855;0.0;0.5333333333333333;0.0;0.125;0.4;0.0;0.15384615384615385;0.0;0.0
GO:0032465;0.0;0.0;0.125;0.11764705882352941;0.0;0.0;0.0;0.0;0.3157894736842105;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6153846153846154;0.5333333333333333;0.4;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.42105263157894735;0.11764705882352941;0.13333333333333333;0.5333333333333333;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.42105263157894735;0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.0;0.0;0.125;0.1;0.0;0.5333333333333333;0.0;0.0;0.0;0.47058823529411764;0.0;0.4444444444444444;0.11764705882352941;0.0;0.47058823529411764;0.0;0.0;0.5
GO:0048260;0.0;0.0;0.1111111111111111;0.10526315789473684;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.7058823529411765;0.47058823529411764;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.625;0.0;0.0;0.0;0.0;0.47619047619047616;0.10526315789473684;0.11764705882352941;0.47058823529411764;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.0;0.38095238095238093;0.0;0.0;0.0;0.0;0.0;0.5;1.0;0.0;0.0;0.1111111111111111;0.09090909090909091;0.0;0.5882352941176471;0.0;0.0;0.0;0.42105263157894735;0.0;0.4;0.10526315789473684;0.0;0.21052631578947367;0.0;0.0;0.5555555555555556
GO:0016236;0.375;0.36363636363636365;0.26666666666666666;0.25;0.375;0.11764705882352941;0.4;0.4;0.0;0.3076923076923077;0.4;0.4;0.0;0.0;0.0;0.3333333333333333;0.18181818181818182;0.15384615384615385;0.0;0.3333333333333333;0.0;0.0;0.15384615384615385;0.42857142857142855;0.26666666666666666;0.15384615384615385;0.125;0.0;0.0;0.0;0.2857142857142857;0.15384615384615385;0.16666666666666666;0.3076923076923077;0.0;0.0;0.2857142857142857;0.0;0.0;0.15384615384615385;0.375;0.15384615384615385;0.375;0.0;0.3333333333333333;0.0;0.26666666666666666;0.42857142857142855;0.46153846153846156;0.4;0.0;0.0;0.42857142857142855;0.0;0.0;0.3076923076923077;0.125;0.15384615384615385;0.0;0.8333333333333334;0.0;0.0;1.0;0.4;0.0;0.21052631578947367;0.0;0.0;0.125;0.36363636363636365;0.42857142857142855;0.0;0.5333333333333333;0.0;0.125;0.4;0.0;0.15384615384615385;0.0;0.0
GO:1904562;0.5263157894736842;0.2857142857142857;0.2222222222222222;0.21052631578947367;0.8421052631578947;0.3;0.8888888888888888;0.5555555555555556;0.0;0.25;0.5555555555555556;0.8888888888888888;0.0;0.0;0.0;0.26666666666666666;0.14285714285714285;0.125;0.0;0.26666666666666666;0.0;0.0;0.125;0.35294117647058826;0.2222222222222222;0.125;0.10526315789473684;0.0;0.0;0.0;0.23529411764705882;0.125;0.13333333333333333;0.25;0.0;0.0;0.23529411764705882;0.0;0.0;0.375;0.5263157894736842;0.125;0.5263157894736842;0.0;0.26666666666666666;0.0;0.2222222222222222;0.35294117647058826;0.375;0.8888888888888888;0.0;0.0;0.5882352941176471;0.0;0.0;0.25;0.10526315789473684;0.125;0.0;0.4;0.0;0.0;0.4;1.0;0.0;0.18181818181818182;0.0;0.0;0.3157894736842105;0.2857142857142857;0.5882352941176471;0.0;0.3333333333333333;0.0;0.10526315789473684;0.3333333333333333;0.0;0.125;0.0;0.0
GO:0014015;0.0;0.0;0.1111111111111111;0.10526315789473684;0.0;0.0;0.0;0.0;0.47619047619047616;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.5882352941176471;0.11764705882352941;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.47619047619047616;0.10526315789473684;0.11764705882352941;0.11764705882352941;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.38095238095238093;0.0;0.0;0.09523809523809523;0.0;0.0;0.0;0.0;0.0;0.125;0.1111111111111111;0.0;0.0;1.0;0.09090909090909091;0.0;0.11764705882352941;0.0;0.0;0.0;0.10526315789473684;0.0;0.1;0.10526315789473684;0.0;0.10526315789473684;0.0;0.0;0.1111111111111111
GO:0034162;0.17391304347826086;0.1111111111111111;0.09090909090909091;0.08695652173913043;0.17391304347826086;0.08333333333333333;0.18181818181818182;0.18181818181818182;0.08;0.2;0.18181818181818182;0.18181818181818182;0.0;0.0;0.0;0.10526315789473684;0.1111111111111111;0.1;0.0;0.10526315789473684;0.09523809523809523;0.09523809523809523;0.1;0.09523809523809523;0.09090909090909091;0.1;0.08695652173913043;0.0;0.0;0.1;0.19047619047619047;0.1;0.10526315789473684;0.1;0.08;0.08695652173913043;0.09523809523809523;0.09523809523809523;0.0;0.0;0.17391304347826086;0.1;0.17391304347826086;0.08695652173913043;0.10526315789473684;0.0;0.09090909090909091;0.19047619047619047;0.2;0.18181818181818182;0.0;0.08;0.19047619047619047;0.0;0.08;0.1;0.08695652173913043;0.1;0.0;0.21052631578947367;0.1;0.09090909090909091;0.21052631578947367;0.18181818181818182;0.09090909090909091;1.0;0.0;0.09523809523809523;0.08695652173913043;0.2222222222222222;0.19047619047619047;0.08695652173913043;0.18181818181818182;0.08333333333333333;0.08695652173913043;0.09090909090909091;0.08695652173913043;0.1;0.0;0.09090909090909091
GO:0015782;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.47058823529411764;0.5;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.10526315789473684;0.5333333333333333;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21052631578947367;0.0;0.0;0.0;0.0;0.0
GO:0050708;0.0;0.0;0.11764705882352941;0.1111111111111111;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.5;0.25;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.4;0.1111111111111111;0.125;0.5;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.11764705882352941;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.5333333333333333;0.5882352941176471;0.0;0.0;0.11764705882352941;0.09523809523809523;0.0;1.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.42105263157894735;0.1111111111111111;0.0;0.4444444444444444;0.0;0.0;0.47058823529411764
GO:0006351;0.4;0.13333333333333333;0.10526315789473684;0.1;0.4;0.9523809523809523;0.21052631578947367;0.42105263157894735;0.0;0.11764705882352941;0.21052631578947367;0.21052631578947367;0.0;0.0;0.0;0.125;0.13333333333333333;0.11764705882352941;0.0;0.125;0.0;0.0;0.11764705882352941;0.1111111111111111;0.10526315789473684;0.11764705882352941;0.1;0.0;0.0;0.0;0.1111111111111111;0.11764705882352941;0.125;0.11764705882352941;0.0;0.0;0.1111111111111111;0.0;0.0;0.47058823529411764;0.4;0.11764705882352941;0.4;0.0;0.125;0.0;0.10526315789473684;0.4444444444444444;0.47058823529411764;0.42105263157894735;0.0;0.0;0.4444444444444444;0.0;0.0;0.11764705882352941;0.1;0.11764705882352941;0.0;0.125;0.0;0.0;0.125;0.3157894736842105;0.0;0.08695652173913043;0.0;0.0;1.0;0.13333333333333333;0.4444444444444444;0.0;0.42105263157894735;0.0;0.1;0.631578947368421;0.0;0.11764705882352941;0.0;0.0
GO:0035690;0.26666666666666666;0.4;0.2857142857142857;0.26666666666666666;0.26666666666666666;0.125;0.2857142857142857;0.2857142857142857;0.0;0.3333333333333333;0.2857142857142857;0.2857142857142857;0.5454545454545454;0.0;0.0;0.36363636363636365;0.2;0.16666666666666666;0.0;0.36363636363636365;0.0;0.0;0.16666666666666666;0.3076923076923077;0.2857142857142857;0.16666666666666666;0.13333333333333333;0.0;0.0;0.0;0.46153846153846156;0.16666666666666666;0.18181818181818182;0.3333333333333333;0.0;0.0;0.3076923076923077;0.0;0.0;0.0;0.26666666666666666;0.16666666666666666;0.26666666666666666;0.0;0.36363636363636365;0.0;0.2857142857142857;0.3076923076923077;0.3333333333333333;0.2857142857142857;0.5;0.0;0.3076923076923077;0.0;0.0;0.3333333333333333;0.13333333333333333;0.16666666666666666;0.46153846153846156;0.36363636363636365;0.0;0.0;0.36363636363636365;0.2857142857142857;0.0;0.2222222222222222;0.0;0.0;0.13333333333333333;1.0;0.3076923076923077;0.0;0.2857142857142857;0.0;0.13333333333333333;0.2857142857142857;0.0;0.16666666666666666;0.0;0.0
GO:0006470;0.7777777777777778;0.3076923076923077;0.23529411764705882;0.2222222222222222;0.5555555555555556;0.42105263157894735;0.5882352941176471;0.8235294117647058;0.0;0.26666666666666666;0.7058823529411765;0.7058823529411765;0.0;0.0;0.0;0.2857142857142857;0.15384615384615385;0.13333333333333333;0.0;0.2857142857142857;0.0;0.0;0.13333333333333333;0.875;0.23529411764705882;0.13333333333333333;0.1111111111111111;0.0;0.0;0.0;0.25;0.13333333333333333;0.14285714285714285;0.26666666666666666;0.0;0.0;0.25;0.0;0.0;0.5333333333333333;0.7777777777777778;0.13333333333333333;0.7777777777777778;0.0;0.2857142857142857;0.0;0.23529411764705882;0.375;0.9333333333333333;0.5882352941176471;0.0;0.0;0.875;0.0;0.0;0.26666666666666666;0.1111111111111111;0.13333333333333333;0.0;0.42857142857142855;0.0;0.0;0.42857142857142855;0.5882352941176471;0.0;0.19047619047619047;0.0;0.0;0.4444444444444444;0.3076923076923077;1.0;0.0;0.5882352941176471;0.0;0.1111111111111111;0.5882352941176471;0.0;0.13333333333333333;0.0;0.0
GO:0006355;0.0;0.0;0.10526315789473684;0.1;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.4444444444444444;0.6666666666666666;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.35294117647058826;0.0;0.0;0.0;0.0;0.45454545454545453;0.1;0.1111111111111111;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.9090909090909091;0.0;0.0;0.9090909090909091;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.42105263157894735;0.0;0.0;0.10526315789473684;0.08695652173913043;0.0;0.4444444444444444;0.0;0.0;0.0;1.0;0.0;0.9523809523809523;0.1;0.0;0.5;0.0;0.0;0.3157894736842105
GO:0005980;0.5263157894736842;0.2857142857142857;0.2222222222222222;0.21052631578947367;0.3157894736842105;0.4;0.3333333333333333;0.5555555555555556;0.0;0.25;0.5555555555555556;0.3333333333333333;0.0;0.0;0.0;0.26666666666666666;0.14285714285714285;0.125;0.0;0.26666666666666666;0.0;0.0;0.125;0.5882352941176471;0.2222222222222222;0.125;0.10526315789473684;0.0;0.0;0.0;0.23529411764705882;0.125;0.13333333333333333;0.25;0.0;0.0;0.23529411764705882;0.0;0.0;0.5;0.5263157894736842;0.125;0.5263157894736842;0.0;0.26666666666666666;0.0;0.2222222222222222;0.5882352941176471;0.625;0.3333333333333333;0.0;0.0;0.5882352941176471;0.0;0.0;0.25;0.10526315789473684;0.125;0.0;0.5333333333333333;0.0;0.0;0.5333333333333333;0.3333333333333333;0.0;0.18181818181818182;0.0;0.0;0.42105263157894735;0.2857142857142857;0.5882352941176471;0.0;1.0;0.0;0.5263157894736842;0.8888888888888888;0.0;0.125;0.0;0.0
GO:0006357;0.0;0.0;0.1;0.09523809523809523;0.0;0.0;0.0;0.0;0.2608695652173913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.42105263157894735;0.631578947368421;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.43478260869565216;0.09523809523809523;0.10526315789473684;0.631578947368421;0.0;0.0;0.0;0.0;0.0;0.47619047619047616;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.9565217391304348;0.0;0.0;0.9565217391304348;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.4;0.0;0.0;0.1;0.08333333333333333;0.0;0.42105263157894735;0.0;0.0;0.0;0.9523809523809523;0.0;1.0;0.09523809523809523;0.0;0.47619047619047616;0.0;0.0;0.3
GO:0098884;0.1;0.13333333333333333;0.10526315789473684;0.1;0.1;0.09523809523809523;0.10526315789473684;0.10526315789473684;0.09090909090909091;0.23529411764705882;0.10526315789473684;0.10526315789473684;0.0;0.1111111111111111;0.11764705882352941;0.125;0.13333333333333333;0.11764705882352941;0.35294117647058826;0.125;0.1111111111111111;0.1111111111111111;0.11764705882352941;0.1111111111111111;0.10526315789473684;0.11764705882352941;0.1;0.75;0.11764705882352941;0.11764705882352941;0.1111111111111111;0.11764705882352941;0.125;0.11764705882352941;0.09090909090909091;0.1;0.1111111111111111;0.1111111111111111;0.11764705882352941;0.11764705882352941;0.1;0.11764705882352941;0.1;0.1;0.125;0.125;0.10526315789473684;0.1111111111111111;0.11764705882352941;0.10526315789473684;0.0;0.09090909090909091;0.1111111111111111;0.0;0.09090909090909091;0.11764705882352941;0.1;0.11764705882352941;0.0;0.125;0.11764705882352941;0.10526315789473684;0.125;0.10526315789473684;0.10526315789473684;0.08695652173913043;0.21052631578947367;0.1111111111111111;0.1;0.13333333333333333;0.1111111111111111;0.1;0.5263157894736842;0.09523809523809523;1.0;0.10526315789473684;0.1;0.11764705882352941;0.0;0.10526315789473684
GO:0005978;0.5263157894736842;0.14285714285714285;0.1111111111111111;0.10526315789473684;0.42105263157894735;0.6;0.3333333333333333;0.5555555555555556;0.0;0.25;0.5555555555555556;0.3333333333333333;0.0;0.0;0.0;0.13333333333333333;0.14285714285714285;0.125;0.0;0.13333333333333333;0.0;0.0;0.125;0.5882352941176471;0.1111111111111111;0.125;0.10526315789473684;0.0;0.0;0.0;0.23529411764705882;0.125;0.13333333333333333;0.125;0.0;0.0;0.11764705882352941;0.0;0.0;0.5;0.5263157894736842;0.125;0.5263157894736842;0.0;0.13333333333333333;0.0;0.1111111111111111;0.7058823529411765;0.625;0.4444444444444444;0.0;0.0;0.5882352941176471;0.0;0.0;0.125;0.10526315789473684;0.125;0.0;0.4;0.0;0.0;0.4;0.3333333333333333;0.0;0.09090909090909091;0.0;0.0;0.631578947368421;0.2857142857142857;0.5882352941176471;0.0;0.8888888888888888;0.0;0.10526315789473684;1.0;0.0;0.125;0.0;0.0
GO:0010923;0.0;0.0;0.10526315789473684;0.1;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.4444444444444444;0.4444444444444444;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.23529411764705882;0.0;0.0;0.0;0.0;0.8181818181818182;0.1;0.1111111111111111;0.5555555555555556;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.10526315789473684;0.0;0.0;0.0;0.0;0.45454545454545453;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.0;0.47058823529411764;0.21052631578947367;0.0;0.0;0.10526315789473684;0.08695652173913043;0.0;0.4444444444444444;0.0;0.0;0.0;0.5;0.0;0.47619047619047616;0.1;0.0;1.0;0.0;0.0;0.21052631578947367
GO:0001779;0.11764705882352941;0.16666666666666666;0.125;0.11764705882352941;0.11764705882352941;0.1111111111111111;0.125;0.125;0.0;0.14285714285714285;0.125;0.125;0.0;0.0;0.0;0.15384615384615385;0.16666666666666666;0.14285714285714285;0.0;0.15384615384615385;0.0;0.0;0.14285714285714285;0.13333333333333333;0.125;0.14285714285714285;0.11764705882352941;0.0;0.0;0.0;0.13333333333333333;0.14285714285714285;0.15384615384615385;0.14285714285714285;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.11764705882352941;0.14285714285714285;0.11764705882352941;0.0;0.15384615384615385;0.0;0.125;0.13333333333333333;0.14285714285714285;0.125;0.0;0.0;0.13333333333333333;0.15384615384615385;0.0;0.14285714285714285;0.11764705882352941;0.14285714285714285;0.0;0.15384615384615385;0.0;0.0;0.15384615384615385;0.125;0.0;0.1;0.0;0.0;0.11764705882352941;0.16666666666666666;0.13333333333333333;0.0;0.125;0.0;0.11764705882352941;0.125;0.0;1.0;0.13333333333333333;0.0
GO:0048596;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.15384615384615385;0.13333333333333333;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;1.0;0.0
GO:2000785;0.0;0.0;0.1111111111111111;0.10526315789473684;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13333333333333333;0.7058823529411765;0.35294117647058826;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.47619047619047616;0.10526315789473684;0.11764705882352941;0.35294117647058826;0.0;0.0;0.0;0.0;0.0;0.42105263157894735;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.5;0.5555555555555556;0.0;0.0;0.1111111111111111;0.09090909090909091;0.0;0.47058823529411764;0.0;0.0;0.0;0.3157894736842105;0.0;0.3;0.10526315789473684;0.0;0.21052631578947367;0.0;0.0;1.0
