;GO:0032693;GO:0045807;GO:0034351;GO:0036092;GO:0046854;GO:0022008;GO:0048633;GO:0045766;GO:0003334;GO:0072070;GO:0072583;GO:0030307;GO:0071376;GO:0044320;GO:0001947;GO:0031077;GO:0050679;GO:0048008;GO:0009444;GO:0045652;GO:0042542;GO:0010828;GO:0045662;GO:0031100;GO:0051897;GO:0035265;GO:0008286;GO:0008285;GO:0008284;GO:0045786;GO:0045787;GO:0038097;GO:0045664;GO:0046632;GO:1904754;GO:0045944;GO:0043401;GO:0021773;GO:0048538;GO:0043524;GO:0048661;GO:0000165;GO:0051549;GO:2000253;GO:0038128;GO:0050852;GO:0050731;GO:0051545;GO:0030522;GO:0031295;GO:0033077;GO:1903672;GO:0038089;GO:0044344;GO:0003323;GO:0007517;GO:0035767;GO:0050900;GO:0001938;GO:0035924;GO:0045608;GO:0018108;GO:0007173;GO:0006366;GO:0002042;GO:0045444;GO:0043303;GO:0006367;GO:1903208;GO:0060326;GO:0098773;GO:0002315;GO:0010613;GO:0032765;GO:0090668;GO:0090303;GO:0021902;GO:0003382;GO:0045333;GO:0042104;GO:1900746;GO:1900625;GO:0001756;GO:0072014;GO:0001757;GO:2000726;GO:0010469;GO:0014002;GO:0045747;GO:0000122;GO:1904707;GO:0046321;GO:0071870;GO:0031532;GO:0045638;GO:0006351;GO:0033153;GO:0060853;GO:2000108;GO:0014807;GO:0048752;GO:0043066
GO:2000253;0.43852901558847923;0.6000000000000001;0.3660149997115376;0.0;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.5356143810225276;0.48300749985576874;0.0;0.43852901558847923;0.0;0.5356143810225276;0.43852901558847923;0.0;0.48300749985576874;0.0;0.48300749985576874;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.6000000000000001;0.48300749985576874;0.48300749985576874;0.0;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.0;0.0;0.4;0.5356143810225276;0.48300749985576874;0.5356143810225276;1.0;0.48300749985576874;0.48300749985576874;0.4;0.3660149997115376;0.48300749985576874;0.43852901558847923;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.5356143810225276;0.43852901558847923;0.0;0.5356143810225276;0.0;0.0;0.0;0.4;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.5356143810225276;0.3660149997115376;0.48300749985576874;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.4
GO:0038128;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.8;0.43852901558847923;0.43852901558847923;0.8;0.0;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.0;0.43852901558847923;0.8;0.6000000000000001;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.4;0.0;0.8;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.8;0.8;0.8;0.3660149997115376;0.3660149997115376;0.8;0.8;0.0;0.4;0.43852901558847923;0.8;0.43852901558847923;0.48300749985576874;1.0;0.8;0.3356143810225276;0.3660149997115376;0.8;0.6000000000000001;0.8;0.4;0.8;0.5356143810225276;0.8;0.0;0.8;0.8;0.4;0.48300749985576874;0.8;0.43852901558847923;0.8;0.8;0.8;0.6000000000000001;0.8;0.8;0.3660149997115376;0.8;0.0;0.8;0.43852901558847923;0.4;0.8;0.43852901558847923;0.8;0.8;0.5356143810225276;0.3356143810225276;0.48300749985576874;0.4;0.0;0.0;0.0;0.43852901558847923;0.6000000000000001;0.8;0.43852901558847923;0.3660149997115376;0.4;0.4;0.5356143810225276;0.6000000000000001;0.43852901558847923;0.8;0.8;0.8;0.3660149997115376;0.48300749985576874;0.0;0.4
GO:0050852;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.8;0.43852901558847923;0.43852901558847923;0.8;0.0;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.0;0.43852901558847923;0.8;0.6000000000000001;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.4;0.0;0.8;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.8;0.8;0.8;0.3660149997115376;0.3660149997115376;0.8;0.8;0.0;0.4;0.43852901558847923;0.8;0.43852901558847923;0.48300749985576874;0.8;1.0;0.3356143810225276;0.3660149997115376;0.8;0.6000000000000001;0.8;0.4;0.8;0.5356143810225276;0.8;0.0;0.8;0.8;0.4;0.48300749985576874;0.8;0.43852901558847923;0.8;0.8;0.8;0.6000000000000001;0.8;0.8;0.3660149997115376;0.8;0.0;0.8;0.43852901558847923;0.4;0.8;0.43852901558847923;0.8;0.8;0.5356143810225276;0.3356143810225276;0.48300749985576874;0.4;0.0;0.0;0.0;0.43852901558847923;0.6000000000000001;0.8;0.43852901558847923;0.3660149997115376;0.4;0.4;0.5356143810225276;0.6000000000000001;0.43852901558847923;0.8;0.8;0.8;0.3660149997115376;0.48300749985576874;0.0;0.4
GO:0050731;0.3081136762725405;0.43852901558847923;0.3081136762725405;0.0;0.0;0.0;0.3660149997115376;0.3660149997115376;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.43852901558847923;0.3356143810225276;0.0;0.3660149997115376;0.0;0.3660149997115376;0.3660149997115376;0.0;0.3660149997115376;0.0;0.3356143810225276;0.4;0.48300749985576874;0.4;0.48300749985576874;0.3660149997115376;0.3356143810225276;0.0;0.3356143810225276;0.4;0.3660149997115376;0.0;0.0;0.3356143810225276;0.43852901558847923;0.3660149997115376;0.3660149997115376;0.4;0.3356143810225276;0.3356143810225276;1.0;0.3660149997115376;0.4;0.3356143810225276;0.0;0.3356143810225276;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.3356143810225276;0.0;0.3356143810225276;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.3660149997115376;0.3081136762725405;0.0;0.3660149997115376;0.0;0.0;0.0;0.3081136762725405;0.3660149997115376;0.3356143810225276;0.0;0.0;0.0;0.3356143810225276;0.3660149997115376;0.0;0.4;0.3356143810225276;0.4;0.48300749985576874;0.0;0.0;0.3660149997115376;0.0;0.0;0.3356143810225276;0.3660149997115376;0.3356143810225276;0.0;0.3356143810225276
GO:0051545;0.4;0.4;0.4;0.0;0.0;0.0;0.3356143810225276;0.3356143810225276;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.4;0.3660149997115376;0.0;0.4;0.0;0.3356143810225276;0.48300749985576874;0.0;0.3356143810225276;0.0;0.3660149997115376;0.5356143810225276;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.3660149997115376;0.3660149997115376;0.0;0.3081136762725405;0.48300749985576874;0.4;0.0;0.0;0.43852901558847923;0.4;0.4;0.3356143810225276;0.3660149997115376;0.3660149997115376;0.3660149997115376;0.3660149997115376;1.0;0.43852901558847923;0.3081136762725405;0.0;0.3081136762725405;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.4;0.0;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.3356143810225276;0.3081136762725405;0.0;0.3356143810225276;0.0;0.0;0.0;0.2830074998557688;0.4;0.3081136762725405;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.3660149997115376;0.6000000000000001;0.3660149997115376;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.0;0.3660149997115376;0.3356143810225276;0.3660149997115376;0.0;0.43852901558847923
GO:0030522;0.43852901558847923;0.5356143810225276;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.8;0.43852901558847923;0.43852901558847923;0.8;0.0;0.0;0.6000000000000001;0.43852901558847923;0.48300749985576874;0.0;0.0;0.5356143810225276;0.8;0.6000000000000001;0.5356143810225276;0.0;0.43852901558847923;0.5356143810225276;0.0;0.43852901558847923;0.0;0.8;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.6000000000000001;0.8;0.8;0.8;0.4;0.4;0.8;0.8;0.0;0.48300749985576874;0.5356143810225276;0.8;0.43852901558847923;0.48300749985576874;0.8;0.8;0.4;0.43852901558847923;1.0;0.6000000000000001;0.8;0.4;0.8;0.5356143810225276;0.8;0.0;0.8;0.8;0.48300749985576874;0.48300749985576874;0.8;0.43852901558847923;0.8;0.8;0.8;0.6000000000000001;0.8;0.8;0.43852901558847923;0.8;0.0;0.8;0.43852901558847923;0.4;0.8;0.43852901558847923;0.8;0.8;0.5356143810225276;0.3660149997115376;0.5356143810225276;0.4;0.0;0.0;0.0;0.48300749985576874;0.6000000000000001;0.8;0.48300749985576874;0.4;0.48300749985576874;0.48300749985576874;0.5356143810225276;0.6000000000000001;0.5356143810225276;0.8;0.8;0.8;0.43852901558847923;0.48300749985576874;0.0;0.48300749985576874
GO:0031295;0.3660149997115376;0.43852901558847923;0.3081136762725405;0.0;0.0;0.0;0.4;0.4;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.43852901558847923;0.6000000000000001;0.0;0.4;0.0;0.4;0.3660149997115376;0.0;0.3660149997115376;0.0;0.6000000000000001;0.4;0.48300749985576874;0.4;0.48300749985576874;0.6000000000000001;0.6000000000000001;0.6830074998557688;0.3356143810225276;0.3356143810225276;0.6000000000000001;0.0;0.0;0.3356143810225276;0.43852901558847923;0.6000000000000001;0.4;0.43852901558847923;0.6000000000000001;0.6000000000000001;0.3356143810225276;0.3081136762725405;0.6000000000000001;1.0;0.6830074998557688;0.3660149997115376;0.6000000000000001;0.0;0.0;0.0;0.0;0.6830074998557688;0.4;0.0;0.6000000000000001;0.0;0.6000000000000001;0.0;0.0;0.0;0.6830074998557688;0.0;0.3081136762725405;0.0;0.0;0.6830074998557688;0.4;0.4;0.0;0.4;0.0;0.0;0.0;0.6830074998557688;0.4;0.6830074998557688;0.0;0.0;0.0;0.3660149997115376;0.48300749985576874;0.0;0.4;0.3081136762725405;0.4;0.4;0.0;0.0;0.4;0.0;0.6830074998557688;0.6000000000000001;0.3660149997115376;0.4;0.0;0.3356143810225276
GO:0033077;0.0;0.0;0.0;0.4;0.43852901558847923;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.43852901558847923;0.48300749985576874;0.8;0.8;0.0;0.8;0.6000000000000001;0.0;0.0;0.0;0.0;0.8;0.0;0.6830074998557688;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.6830074998557688;1.0;0.0;0.8;0.5356143810225276;0.8;0.8;0.8;0.8;0.0;0.43852901558847923;0.0;0.4;0.8;0.8;0.8;0.6000000000000001;0.8;0.8;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.8;0.8;0.5356143810225276;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.0
GO:1903672;0.43852901558847923;0.48300749985576874;0.3081136762725405;0.0;0.0;0.0;0.5356143810225276;1.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.4;0.0;0.4;0.4;0.48300749985576874;0.4;0.48300749985576874;0.4;0.43852901558847923;0.0;0.3660149997115376;0.3660149997115376;0.4;0.0;0.0;0.3356143810225276;0.43852901558847923;0.4;0.5356143810225276;0.48300749985576874;0.4;0.4;0.3356143810225276;0.3081136762725405;0.4;0.3660149997115376;0.0;1.0;0.4;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.5356143810225276;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.3081136762725405;0.0;0.0;0.0;0.5356143810225276;0.43852901558847923;0.0;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.4;0.4;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.43852901558847923;0.3081136762725405;0.4;0.4;0.0;0.0;0.43852901558847923;0.0;0.0;0.4;0.3660149997115376;0.6000000000000001;0.0;0.3356143810225276
GO:0038089;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.8;0.43852901558847923;0.43852901558847923;0.8;0.0;0.0;0.5356143810225276;0.43852901558847923;0.48300749985576874;0.0;0.0;0.48300749985576874;0.8;0.6000000000000001;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.4;0.0;0.8;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.8;0.8;0.8;0.6830074998557688;0.3660149997115376;0.8;0.8;0.0;0.4;0.48300749985576874;0.8;0.6830074998557688;0.48300749985576874;0.8;0.8;0.3660149997115376;0.3660149997115376;0.8;0.6000000000000001;0.8;0.4;1.0;0.5356143810225276;0.8;0.0;0.8;0.8;0.43852901558847923;0.48300749985576874;0.8;0.43852901558847923;0.8;0.8;0.8;0.6000000000000001;0.8;0.8;0.3660149997115376;0.8;0.0;0.8;0.43852901558847923;0.4;0.8;0.43852901558847923;0.8;0.8;0.5356143810225276;0.3356143810225276;0.48300749985576874;0.4;0.0;0.0;0.0;0.43852901558847923;0.6000000000000001;0.8;0.43852901558847923;0.3660149997115376;0.43852901558847923;0.43852901558847923;0.5356143810225276;0.6000000000000001;0.43852901558847923;0.8;0.8;0.8;0.4;0.48300749985576874;0.0;0.4
GO:0044344;0.0;0.0;0.0;0.3081136762725405;0.3356143810225276;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.6000000000000001;0.6830074998557688;0.0;0.0;0.0;0.5356143810225276;0.43852901558847923;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.5356143810225276;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.0;0.5356143810225276;1.0;0.5356143810225276;0.0;0.5356143810225276;0.5356143810225276;0.0;0.8;0.0;0.3081136762725405;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.4;0.5356143810225276;0.5356143810225276;0.0;0.5356143810225276;0.0;0.5356143810225276;0.0;0.0;0.5356143810225276;0.0;0.5356143810225276;0.5356143810225276;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5356143810225276;0.0;0.0;0.0;0.0;0.6000000000000001;0.4;0.0;0.5356143810225276;0.5356143810225276;0.5356143810225276;0.0;0.0;0.0;0.0
GO:0003323;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.43852901558847923;0.48300749985576874;0.8;0.8;0.0;0.8;0.6000000000000001;0.0;0.0;0.0;0.0;0.8;0.0;0.6830074998557688;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.5356143810225276;1.0;0.8;0.8;0.8;0.0;0.48300749985576874;0.0;0.43852901558847923;0.8;0.8;0.8;0.6830074998557688;0.8;0.8;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.0;0.8;0.8;0.5356143810225276;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.8;0.8;0.8;0.0;0.0;0.8;0.0
GO:0007517;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.8;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0
GO:0035767;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.8;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.5356143810225276;0.8;0.0;1.0;0.8;0.0;0.48300749985576874;0.0;0.43852901558847923;0.8;0.8;0.8;0.6000000000000001;0.8;0.8;0.0;1.0;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.8;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0
GO:0050900;0.0;0.0;0.0;0.4;0.43852901558847923;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.8;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.6830074998557688;0.8;0.0;0.8;0.5356143810225276;0.8;0.0;0.8;1.0;0.0;0.43852901558847923;0.0;0.4;0.8;0.8;0.8;0.5356143810225276;0.8;0.8;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.8;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0
GO:0001938;0.3660149997115376;0.5356143810225276;0.3660149997115376;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.6000000000000001;0.0;0.0;0.0;0.0;1.0;0.4;0.0;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.43852901558847923;0.0;0.4;0.6000000000000001;0.8;0.48300749985576874;0.6000000000000001;0.43852901558847923;0.4;0.0;0.4;0.3660149997115376;0.43852901558847923;0.0;0.0;0.4;0.6830074998557688;0.43852901558847923;0.43852901558847923;0.48300749985576874;0.4;0.4;0.4;0.3660149997115376;0.48300749985576874;0.4;0.0;0.4;0.43852901558847923;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.4;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.3660149997115376;0.0;0.0;0.0;0.43852901558847923;0.3660149997115376;0.0;0.43852901558847923;0.0;0.0;0.0;0.43852901558847923;0.43852901558847923;0.4;0.0;0.0;0.0;0.4;0.43852901558847923;0.0;0.48300749985576874;0.3356143810225276;0.6000000000000001;0.48300749985576874;0.0;0.0;0.43852901558847923;0.0;0.0;0.4;0.43852901558847923;0.4;0.0;0.4
GO:0035924;0.0;0.0;0.0;0.3081136762725405;0.3356143810225276;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.0;0.0;0.48300749985576874;0.3660149997115376;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.48300749985576874;0.48300749985576874;0.0;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.48300749985576874;0.8;0.48300749985576874;0.0;0.48300749985576874;0.43852901558847923;0.0;1.0;0.0;0.3081136762725405;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.4;0.43852901558847923;0.48300749985576874;0.0;0.48300749985576874;0.0;0.43852901558847923;0.0;0.0;0.48300749985576874;0.0;0.48300749985576874;0.48300749985576874;0.3660149997115376;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.6000000000000001;0.4;0.0;0.43852901558847923;0.48300749985576874;0.48300749985576874;0.0;0.0;0.0;0.0
GO:0045608;0.43852901558847923;0.48300749985576874;0.4;0.0;0.0;0.0;0.48300749985576874;0.6000000000000001;0.0;0.0;0.0;0.48300749985576874;0.0;0.0;0.0;0.0;0.43852901558847923;0.8;0.0;0.5356143810225276;0.0;0.43852901558847923;0.6000000000000001;0.0;0.4;0.0;0.8;0.5356143810225276;0.48300749985576874;0.5356143810225276;0.48300749985576874;0.8;0.8;0.0;0.3660149997115376;0.3660149997115376;0.8;0.0;0.0;0.43852901558847923;0.43852901558847923;0.8;0.43852901558847923;0.48300749985576874;0.8;0.8;0.3356143810225276;0.4;0.8;0.6000000000000001;0.0;0.5356143810225276;0.8;0.0;0.0;0.0;0.0;0.0;0.4;0.0;1.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.43852901558847923;0.0;0.0;0.0;0.3356143810225276;0.48300749985576874;0.4;0.0;0.0;0.0;0.5356143810225276;0.6000000000000001;0.0;0.43852901558847923;0.3660149997115376;0.4;0.4;0.0;0.0;0.6000000000000001;0.0;0.0;0.8;0.3660149997115376;0.6830074998557688;0.0;0.43852901558847923
GO:0018108;0.0;0.0;0.0;0.4;0.6000000000000001;0.4;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.2830074998557688;0.3081136762725405;0.0;0.0;0.0;0.43852901558847923;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.6830074998557688;0.0;0.0;0.43852901558847923;0.43852901558847923;0.0;0.0;0.43852901558847923;0.0;0.4;0.0;0.43852901558847923;0.3081136762725405;0.43852901558847923;0.0;0.43852901558847923;0.4;0.0;0.3081136762725405;0.0;1.0;0.43852901558847923;0.48300749985576874;0.4;0.3660149997115376;0.4;0.48300749985576874;0.0;0.43852901558847923;0.0;0.4;0.0;0.0;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43852901558847923;0.0;0.0;0.0;0.0;0.3356143810225276;0.3660149997115376;0.0;0.48300749985576874;0.43852901558847923;0.43852901558847923;0.0;0.0;0.0;0.0
GO:0007173;0.43852901558847923;0.48300749985576874;0.3660149997115376;0.43852901558847923;0.48300749985576874;0.8;0.43852901558847923;0.43852901558847923;0.8;0.0;0.0;0.48300749985576874;0.43852901558847923;0.48300749985576874;0.0;0.0;0.43852901558847923;0.8;0.6000000000000001;0.43852901558847923;0.0;0.43852901558847923;0.43852901558847923;0.0;0.4;0.0;0.8;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.48300749985576874;0.8;0.8;0.8;0.3660149997115376;0.3660149997115376;0.8;0.8;0.0;0.4;0.43852901558847923;0.8;0.43852901558847923;0.48300749985576874;0.8;0.8;0.3356143810225276;0.3660149997115376;0.8;0.6000000000000001;0.8;0.4;0.8;0.5356143810225276;0.8;0.0;0.8;0.8;0.4;0.48300749985576874;0.8;0.43852901558847923;1.0;0.8;0.8;0.6000000000000001;0.8;0.8;0.3660149997115376;0.8;0.0;0.8;0.43852901558847923;0.4;0.8;0.43852901558847923;0.8;0.8;0.5356143810225276;0.3356143810225276;0.48300749985576874;0.4;0.0;0.0;0.0;0.43852901558847923;0.6000000000000001;0.8;0.43852901558847923;0.3660149997115376;0.4;0.4;0.5356143810225276;0.6000000000000001;0.43852901558847923;0.8;0.8;0.8;0.3660149997115376;0.48300749985576874;0.0;0.4
GO:0006366;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.8;0.6830074998557688;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.5356143810225276;0.8;0.0;0.8;0.8;0.0;0.43852901558847923;0.0;0.48300749985576874;0.8;1.0;0.8;0.5356143810225276;0.8;0.8;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.8;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;1.0;0.8;0.8;0.0;0.0;0.0;0.0
GO:0002042;0.0;0.0;0.0;0.4;0.43852901558847923;0.8;0.0;0.0;0.8;0.0;0.0;0.0;0.43852901558847923;0.48300749985576874;0.0;0.0;0.0;0.8;0.6000000000000001;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.8;0.0;0.0;0.8;0.8;0.0;0.0;0.8;0.0;0.8;0.0;0.8;0.5356143810225276;0.8;0.0;0.8;0.8;0.0;0.43852901558847923;0.0;0.4;0.8;0.8;1.0;0.5356143810225276;0.8;0.8;0.0;0.8;0.0;0.8;0.0;0.0;0.8;0.0;0.8;0.8;0.5356143810225276;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.48300749985576874;0.5356143810225276;0.0;0.8;0.8;0.8;0.0;0.0;0.0;0.0
