;GO:0043988;GO:0018108;GO:0007131;GO:0007052;GO:0046777;GO:0000733;GO:0006364;GO:0009157;GO:0032091;GO:0007019;GO:0044878;GO:0071373;GO:0051289;GO:0000183;GO:0045893;GO:0044320;GO:0007409;GO:0034501;GO:0071732;GO:0071897;GO:0016572;GO:0071456;GO:0035556;GO:0010971;GO:0031115;GO:0036089;GO:0036123;GO:0036124;GO:0000707;GO:0007066;GO:0036120;GO:0009165;GO:0007141;GO:1901796;GO:0008631;GO:0007265;GO:0046104;GO:0006974;GO:0042148;GO:0048012;GO:0051973;GO:0051497;GO:0051256;GO:0031145;GO:0033762;GO:0031100;GO:0016567;GO:0035024;GO:1904355;GO:0045787;GO:0051272;GO:0009615;GO:0042754;GO:0061436;GO:0000079;GO:0000122;GO:0071392;GO:0000086;GO:0043097;GO:0048146;GO:0000281;GO:0034644;GO:0071314;GO:0032466;GO:0016310;GO:0032467;GO:0031577;GO:0016579;GO:1905098;GO:0006351;GO:0007088;GO:0000724;GO:0000722;GO:1990314;GO:0043065;GO:0070495;GO:0002903;GO:0032212
GO:0016579;0.4166666666666667;0.5;0.0;0.0;0.5;0.3;0.375;0.18181818181818182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;1.0;0.0;0.375;0.0;0.25;0.2727272727272727;0.0;0.0;0.0;0.0;0.0
GO:1905098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8333333333333334;0.0;0.0;0.0;0.0;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.3;0.125;0.2857142857142857;0.2857142857142857;0.0;0.6;0.0;0.25;0.3333333333333333;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.42857142857142855;0.0;0.25;0.375;0.0;1.0;0.0;0.25;0.0;0.1111111111111111;0.0;0.2222222222222222;0.375;0.2727272727272727;0.2
GO:0006351;0.0;0.3333333333333333;0.0;0.0;0.3333333333333333;0.42857142857142855;0.0;0.45454545454545453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.375;0.0;1.0;0.0;0.3333333333333333;0.375;0.0;0.0;0.0;0.0;0.0
GO:0007088;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.5555555555555556;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.5555555555555556;0.45454545454545453;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.4166666666666667;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.45454545454545453;0.5714285714285714;0.375;0.0;0.25;0.0;0.5;0.25;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.625;0.0;0.625;0.4444444444444444;0.0;0.25;0.0;1.0;0.0;0.09090909090909091;0.0;0.3;0.2727272727272727;0.23076923076923078;0.4166666666666667
GO:0000724;0.125;0.2727272727272727;0.5555555555555556;0.125;0.2727272727272727;0.5;0.3333333333333333;0.25;0.0;0.1;0.125;0.16666666666666666;0.0;0.125;0.0;0.18181818181818182;0.125;0.0;0.3;0.5;0.125;0.375;0.125;0.0;0.0;0.125;0.125;0.125;0.125;0.125;0.18181818181818182;0.2727272727272727;0.125;0.0;0.125;0.125;0.23076923076923078;0.5714285714285714;0.5;0.125;0.0;0.0;0.125;0.375;0.09090909090909091;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.125;0.2;0.0;0.125;0.16666666666666666;0.2;0.0;0.2;0.0;0.1111111111111111;0.25;0.0;0.3333333333333333;0.0;1.0;0.5555555555555556;0.16666666666666666;0.0;0.0;0.0;0.0
GO:0000722;0.25;0.3;0.5555555555555556;0.0;0.3;0.5714285714285714;0.375;0.2727272727272727;0.1;0.2222222222222222;0.0;0.0;0.0;0.25;0.08333333333333333;0.0;0.25;0.0;0.09090909090909091;0.5714285714285714;0.25;0.1;0.0;0.07692307692307693;0.08333333333333333;0.0;0.25;0.25;0.0;0.5;0.0;0.3;0.0;0.09090909090909091;0.0;0.0;0.25;0.1;0.5714285714285714;0.0;0.09090909090909091;0.07692307692307693;0.25;0.42857142857142855;0.0;0.0;0.2727272727272727;0.07142857142857142;0.2222222222222222;0.1;0.1;0.0;0.1111111111111111;0.0;0.09090909090909091;0.07692307692307693;0.09090909090909091;0.0;0.2222222222222222;0.09090909090909091;0.0;0.0;0.09090909090909091;0.09090909090909091;0.2222222222222222;0.09090909090909091;0.1111111111111111;0.2727272727272727;0.1111111111111111;0.375;0.09090909090909091;0.5555555555555556;1.0;0.0;0.08333333333333333;0.08333333333333333;0.06666666666666667;0.2
GO:1990314;0.0;0.07692307692307693;0.0;0.0;0.07692307692307693;0.09090909090909091;0.0;0.0;0.0;0.1;0.0;0.7142857142857143;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.4444444444444444;0.09090909090909091;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.2222222222222222;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.09090909090909091;0.0;0.0;0.16666666666666666;0.5;0.0;0.09090909090909091;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;1.0;0.0;0.0;0.0;0.0
GO:0043065;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.36363636363636365;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;0.25;0.0;0.0;0.0;0.0;0.0;0.21428571428571427;0.3333333333333333;0.5;0.5;0.0;0.2222222222222222;0.0;0.3;0.23076923076923078;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.3;0.0;0.4444444444444444;0.2727272727272727;0.0;0.2222222222222222;0.0;0.3;0.0;0.08333333333333333;0.0;1.0;0.25;0.5454545454545454;0.36363636363636365
GO:0070495;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.23076923076923078;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4444444444444444;0.0;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;0.09090909090909091;0.3;0.3;0.0;0.375;0.0;0.2727272727272727;0.25;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.4;0.0;0.2727272727272727;0.36363636363636365;0.0;0.375;0.0;0.2727272727272727;0.0;0.08333333333333333;0.0;0.25;1.0;0.2857142857142857;0.23076923076923078
GO:0002903;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07142857142857142;0.0;0.2857142857142857;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.2;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.21428571428571427;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.25;0.1875;0.25;0.25;0.0;0.2727272727272727;0.0;0.23076923076923078;0.26666666666666666;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.3333333333333333;0.0;0.23076923076923078;0.3076923076923077;0.0;0.2727272727272727;0.0;0.23076923076923078;0.0;0.06666666666666667;0.0;0.5454545454545454;0.2857142857142857;1.0;0.2
GO:0032212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.46153846153846156;0.5454545454545454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.3333333333333333;0.35714285714285715;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.7777777777777778;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.2;0.7;0.4444444444444444;0.4444444444444444;0.0;0.2;0.2;0.2727272727272727;0.5;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.2727272727272727;0.0;0.4;0.25;0.0;0.2;0.0;0.4166666666666667;0.0;0.2;0.0;0.36363636363636365;0.23076923076923078;0.2;1.0
