;GO:0043507;GO:0060244;GO:0061052;GO:0046777;GO:1901985;GO:0048754;GO:0006887;GO:0023014;GO:0032091;GO:0060326;GO:0006879;GO:0000187;GO:0006913;GO:0001666;GO:0015707;GO:0032729;GO:0031116;GO:0035556;GO:0033138;GO:0070839;GO:0046827;GO:0007263;GO:0060999;GO:0045773;GO:0043312;GO:0045454;GO:0007188;GO:0007266;GO:0048012;GO:0048010;GO:0002369;GO:0045342;GO:0051496;GO:0048013;GO:0048255;GO:0002606;GO:0010469;GO:0050766;GO:0018105;GO:0071800;GO:0018107;GO:0060143;GO:0090314;GO:2001275;GO:0060586;GO:0038095;GO:0048812;GO:0043123;GO:0038096;GO:1904754;GO:0022900;GO:0007035;GO:0045944;GO:0002223;GO:0042832;GO:0032869;GO:1904707;GO:0019221;GO:0032147;GO:0031532;GO:0050852;GO:0051149;GO:0050776;GO:0031295;GO:0050829;GO:1902023;GO:0007169;GO:0007166;GO:0007200;GO:0006876;GO:0002430;GO:0007204;GO:0070574;GO:0071421;GO:0045087;GO:0033148;GO:0006909;GO:0002309;GO:0002827;GO:0032496;GO:0050900;GO:0051835;GO:0019730;GO:0001818;GO:0071902;GO:0010763
GO:0051149;0.3333333333333333;0.3333333333333333;0.5;0.0;0.4;0.0;0.0;0.375;0.1;0.0;0.06666666666666667;0.2857142857142857;0.0;0.0;0.0;0.3333333333333333;0.4444444444444444;0.375;0.36363636363636365;0.0;0.3;0.0;0.36363636363636365;0.5;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;0.3333333333333333;0.3333333333333333;0.4444444444444444;0.0;0.0;0.0;0.5714285714285714;0.3333333333333333;0.5;0.1;0.0;0.0;0.4;0.0;0.36363636363636365;0.0;0.0625;0.2727272727272727;0.0;0.0;0.0;0.4444444444444444;0.3333333333333333;0.3076923076923077;0.0;0.0;1.0;0.25;0.36363636363636365;0.0;0.0;0.0;0.375;0.3333333333333333;0.07142857142857142;0.0;0.0625;0.0;0.0;0.0;0.4;0.0;0.0;0.2727272727272727;0.0;0.0;0.5;0.0;0.2222222222222222;0.3076923076923077;0.4
GO:0050776;0.3;0.0;0.375;0.0;0.2;0.0;0.0;0.0;0.125;0.0;0.07692307692307693;0.3;0.0;0.0;0.0;0.25;0.2222222222222222;0.0;0.18181818181818182;0.0;0.2222222222222222;0.0;0.0;0.2;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.125;0.42857142857142855;0.5;0.25;0.0;0.0;0.0;0.2857142857142857;0.25;0.42857142857142855;0.125;0.5;0.0;0.375;0.5;0.2;0.0;0.07142857142857142;0.2;0.4444444444444444;0.0;0.0;0.2222222222222222;0.0;0.09090909090909091;0.0;0.0;0.25;1.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.5;0.07142857142857142;0.0;0.0;0.0;0.375;0.0;0.0;0.5;0.0;0.0;0.2;0.0;0.2857142857142857;0.09090909090909091;0.2222222222222222
GO:0031295;0.21428571428571427;0.0;0.25;0.0;0.3076923076923077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.3333333333333333;0.0;0.2857142857142857;0.0;0.25;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.2727272727272727;0.0;0.0;0.4;0.0;0.2727272727272727;0.0;0.0;0.0;0.3;0.2727272727272727;0.36363636363636365;0.0;0.0;0.0;0.25;0.0;0.23076923076923078;0.0;0.0;0.23076923076923078;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.36363636363636365;0.3333333333333333;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.25;0.0;0.25;0.3333333333333333;0.0;0.25;0.0;0.16666666666666666;0.0;0.0;0.25
GO:0050829;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.3333333333333333;0.0;0.0;0.0
GO:1902023;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007169;0.0;0.0;0.3;0.125;0.0;0.0;0.25;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.125;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.125;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007166;0.25;0.0;0.375;0.125;0.3;0.0;0.25;0.0;0.0;0.0;0.1111111111111111;0.23076923076923078;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.3333333333333333;0.125;0.0;0.125;0.375;0.0;0.375;0.0;0.0;0.0;0.3;0.0;0.2727272727272727;0.0;0.09090909090909091;0.2727272727272727;0.0;0.0;0.0;0.3333333333333333;0.5;0.0;0.2;0.0;0.375;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.125;0.0;0.1;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
GO:0007200;0.23076923076923078;0.0;0.3333333333333333;0.125;0.2727272727272727;0.0;0.25;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.125;0.0;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.25;0.0;0.0;0.0;0.3;0.0;0.0;0.2;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.125;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0006876;0.058823529411764705;0.0;0.07142857142857142;0.07692307692307693;0.0625;0.0;0.1111111111111111;0.125;0.07692307692307693;0.125;0.7777777777777778;0.058823529411764705;0.0;0.0;0.0;0.07142857142857142;0.06666666666666667;0.125;0.058823529411764705;0.0;0.06666666666666667;0.125;0.0;0.0;0.0;0.25;0.125;0.125;0.125;0.125;0.0;0.0;0.0625;0.125;0.16666666666666666;0.07142857142857142;0.09090909090909091;0.07142857142857142;0.07692307692307693;0.0;0.07692307692307693;0.07692307692307693;0.07142857142857142;0.07142857142857142;0.6666666666666666;0.125;0.125;0.06666666666666667;0.125;0.0625;0.1;0.4166666666666667;0.0625;0.125;0.0;0.07692307692307693;0.06666666666666667;0.125;0.0625;0.1;0.125;0.07142857142857142;0.08333333333333333;0.0;0.0;0.0;0.125;0.125;0.125;1.0;0.125;0.6;0.0;0.0;0.0;0.06666666666666667;0.0;0.0;0.0625;0.0;0.0;0.0;0.0;0.07692307692307693;0.0625;0.06666666666666667
GO:0002430;0.0;0.0;0.0;0.125;0.0;0.0;0.25;0.0;0.0;0.0;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.125;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.4166666666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0007204;0.05263157894736842;0.0;0.0625;0.06666666666666667;0.05555555555555555;0.0;0.09090909090909091;0.1;0.06666666666666667;0.1;0.5454545454545454;0.05263157894736842;0.0;0.0;0.0;0.0625;0.058823529411764705;0.1;0.05263157894736842;0.0;0.058823529411764705;0.1;0.0;0.0;0.0;0.2;0.1;0.1;0.1;0.1;0.0;0.0;0.05555555555555555;0.1;0.14285714285714285;0.0625;0.07692307692307693;0.0625;0.06666666666666667;0.0;0.06666666666666667;0.06666666666666667;0.0625;0.0625;0.5;0.1;0.1;0.058823529411764705;0.1;0.05555555555555555;0.08333333333333333;0.35714285714285715;0.05555555555555555;0.1;0.0;0.06666666666666667;0.058823529411764705;0.1;0.05555555555555555;0.08333333333333333;0.1;0.0625;0.07142857142857142;0.0;0.0;0.0;0.1;0.1;0.1;0.6;0.1;1.0;0.0;0.0;0.0;0.058823529411764705;0.0;0.0;0.05555555555555555;0.0;0.0;0.0;0.0;0.06666666666666667;0.05555555555555555;0.058823529411764705
GO:0070574;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.7777777777777778;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0071421;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.5454545454545454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.7777777777777778;1.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0045087;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.25;0.0;0.25;0.25;0.0;0.4;0.0;0.0;0.0
GO:0033148;0.45454545454545453;0.0;0.2727272727272727;0.0;0.3333333333333333;0.0;0.0;0.3;0.09090909090909091;0.0;0.0625;0.45454545454545453;0.0;0.0;0.0;0.3;0.36363636363636365;0.3;0.3076923076923077;0.0;0.2727272727272727;0.0;0.0;0.4;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.25;0.3;0.5;0.3;0.0;0.0;0.0;0.3333333333333333;0.3;0.4444444444444444;0.09090909090909091;0.0;0.0;0.5555555555555556;0.0;0.25;0.0;0.058823529411764705;0.25;0.0;0.0;0.0;0.36363636363636365;0.0;0.26666666666666666;0.0;0.0;0.4;0.375;0.25;0.0;0.0;0.0;0.3;0.0;0.06666666666666667;0.0;0.058823529411764705;0.0;0.0;0.0;1.0;0.0;0.0;0.36363636363636365;0.0;0.0;0.4;0.0;0.2;0.26666666666666666;0.2727272727272727
GO:0006909;0.0;0.0;0.0;0.0;0.0;0.0;0.5714285714285714;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.375;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.2727272727272727;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0002309;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0
GO:0002827;0.3076923076923077;0.0;0.25;0.0;0.23076923076923078;0.0;0.0;0.0;0.08333333333333333;0.0;0.058823529411764705;0.3076923076923077;0.0;0.0;0.0;0.2727272727272727;0.25;0.0;0.21428571428571427;0.0;0.25;0.0;0.0;0.2727272727272727;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.2727272727272727;0.0;0.23076923076923078;0.4;0.3;0.2727272727272727;0.0;0.0;0.0;0.3;0.2727272727272727;0.4;0.08333333333333333;0.3333333333333333;0.0;0.36363636363636365;0.38461538461538464;0.23076923076923078;0.0;0.05555555555555555;0.23076923076923078;0.38461538461538464;0.0;0.0;0.25;0.0;0.1875;0.0;0.38461538461538464;0.2727272727272727;0.5;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0625;0.4166666666666667;0.05555555555555555;0.0;0.0;0.0;0.36363636363636365;0.0;0.0;1.0;0.0;0.0;0.1111111111111111;0.0;0.18181818181818182;0.1875;0.25
GO:0032496;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.5;0.0;0.0;0.0
GO:0050900;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.2;0.0;0.0;0.0
GO:0051835;0.3333333333333333;0.0;0.4444444444444444;0.0;0.4;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.1;0.0;0.0;0.0;0.14285714285714285;0.625;0.0;0.36363636363636365;0.0;0.125;0.0;0.0;0.3333333333333333;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.16666666666666666;0.14285714285714285;0.25;0.625;0.0;0.0;0.0;0.7142857142857143;0.3333333333333333;0.5;0.0;0.0;0.0;0.4;0.0;0.36363636363636365;0.0;0.08333333333333333;0.2727272727272727;0.0;0.0;0.0;0.4444444444444444;0.0;0.1111111111111111;0.0;0.0;0.5;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.1111111111111111;0.0;0.0;1.0;0.0;0.16666666666666666;0.1111111111111111;0.4
GO:0019730;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.1111111111111111;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.2;0.0;0.5;0.2;0.0;1.0;0.0;0.0;0.0
GO:0001818;0.16666666666666666;0.375;0.5;0.0;0.18181818181818182;0.0;0.0;0.0;0.1111111111111111;0.0;0.07142857142857142;0.07692307692307693;0.0;0.0;0.0;0.5714285714285714;0.2;0.0;0.16666666666666666;0.0;0.2;0.0;0.0;0.16666666666666666;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.2727272727272727;0.2222222222222222;0.14285714285714285;0.2222222222222222;0.0;0.0;0.0;0.25;0.2222222222222222;0.2222222222222222;0.1111111111111111;0.0;0.0;0.2;0.0;0.18181818181818182;0.0;0.06666666666666667;0.18181818181818182;0.0;0.0;0.0;0.2;0.0;0.08333333333333333;0.0;0.0;0.2222222222222222;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.0;0.07692307692307693;0.0;0.06666666666666667;0.0;0.0;0.0;0.2;0.0;0.0;0.18181818181818182;0.0;0.0;0.16666666666666666;0.0;1.0;0.08333333333333333;0.2
GO:0071902;0.8;0.0;0.21428571428571427;0.0;0.6363636363636364;0.0;0.0;0.0;0.18181818181818182;0.0;0.058823529411764705;0.8;0.0;0.0;0.0;0.21428571428571427;0.2857142857142857;0.0;0.7272727272727273;0.0;0.2;0.0;0.0;0.1111111111111111;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.21428571428571427;0.0;0.35714285714285715;0.21428571428571427;0.2222222222222222;0.2857142857142857;0.0;0.0;0.0;0.3076923076923077;0.21428571428571427;0.3076923076923077;0.08333333333333333;0.0;0.0;0.26666666666666666;0.0;0.25;0.0;0.05555555555555555;0.35714285714285715;0.0;0.0;0.0;0.2857142857142857;0.0;0.7777777777777778;0.0;0.0;0.3076923076923077;0.09090909090909091;0.0;0.0;0.0;0.0;0.0;0.0;0.0625;0.0;0.05555555555555555;0.0;0.0;0.0;0.26666666666666666;0.0;0.0;0.1875;0.0;0.0;0.1111111111111111;0.0;0.08333333333333333;1.0;0.26666666666666666
GO:0010763;0.23076923076923078;0.0;0.2727272727272727;0.0;0.3333333333333333;0.0;0.0;0.3;0.09090909090909091;0.0;0.0625;0.2;0.0;0.0;0.0;0.3;0.36363636363636365;0.3;0.3076923076923077;0.0;0.2727272727272727;0.0;0.0;0.4;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.25;0.3;0.1111111111111111;0.3;0.0;0.0;0.0;0.3333333333333333;0.3;0.4;0.09090909090909091;0.0;0.0;0.2727272727272727;0.0;0.6666666666666666;0.0;0.058823529411764705;0.25;0.0;0.0;0.0;0.36363636363636365;0.0;0.26666666666666666;0.0;0.0;0.4;0.2222222222222222;0.25;0.0;0.0;0.0;0.3;0.0;0.06666666666666667;0.0;0.058823529411764705;0.0;0.0;0.0;0.2727272727272727;0.0;0.0;0.25;0.0;0.0;0.4;0.0;0.2;0.26666666666666666;1.0
