;GO:0051491;GO:0051092;GO:0002479;GO:0002755;GO:2000510;GO:0019886;GO:0050830;GO:0042308;GO:0007263;GO:0002885;GO:2000525;GO:0001954;GO:0002922;GO:2000526;GO:0002408;GO:2000522;GO:0072610;GO:0010942;GO:2000121;GO:0031623;GO:0051897;GO:0071404;GO:0070508;GO:0045429;GO:0034695;GO:0043123;GO:0042953;GO:0002576;GO:0002456;GO:0019221;GO:0050852;GO:0050731;GO:0038124;GO:1904646;GO:0050862;GO:0002503;GO:2000547;GO:2000669;GO:0002506;GO:0010886;GO:0032496;GO:0038116;GO:0038115;GO:0055096;GO:0030194;GO:0002286;GO:0032760;GO:0051209;GO:0071731;GO:0019722;GO:0007186;GO:0031274;GO:0090023;GO:0043552;GO:0043277;GO:0043312;GO:0042102;GO:1900227;GO:0045860;GO:0044130;GO:0045065;GO:0010628;GO:0002606;GO:0071447;GO:0016045;GO:0030299;GO:0001916;GO:0010744;GO:0032755;GO:0071726;GO:0044539;GO:0019934;GO:0060100;GO:0090630;GO:0000122;GO:0060907;GO:0097022;GO:0097029;GO:0070543;GO:0050776;GO:2000334;GO:0140052;GO:0060333;GO:0050706;GO:0034121;GO:0007169;GO:0007204;GO:1990000;GO:0032735;GO:0045089;GO:0071222;GO:0071223;GO:0046330;GO:0045087;GO:0030838;GO:0070374;GO:0071345;GO:0050702
GO:0090023;0.3;0.3333333333333333;0.0;0.0;0.6666666666666666;0.0;0.0;0.18181818181818182;0.0;0.36363636363636365;0.36363636363636365;0.3;0.4444444444444444;0.0;0.0;0.4;0.0;0.3333333333333333;0.18181818181818182;0.0;0.2727272727272727;0.0;0.0;0.2727272727272727;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.23076923076923078;0.0;0.0;0.4;0.0;0.18181818181818182;0.14285714285714285;0.0;0.3;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.3;1.0;0.2727272727272727;0.0;0.0;0.36363636363636365;0.3;0.21428571428571427;0.2;0.0;0.3;0.4444444444444444;0.0;0.0;0.0;0.3;0.3;0.3;0.0;0.0;0.0;0.2727272727272727;0.07692307692307693;0.15384615384615385;0.36363636363636365;0.0;0.0;0.0;0.375;0.3333333333333333;0.0;0.0;0.16666666666666666;0.3;0.0;0.058823529411764705;0.0;0.3;0.4444444444444444;0.0;0.0;0.23076923076923078;0.0;0.2727272727272727;0.25;0.0;0.0
GO:0043552;0.3;0.3333333333333333;0.0;0.0;0.2727272727272727;0.0;0.0;0.18181818181818182;0.0;0.25;0.25;0.3;0.3;0.36363636363636365;0.0;0.2727272727272727;0.0;0.4;0.2727272727272727;0.0;0.2727272727272727;0.0;0.0;0.4;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.0;0.6153846153846154;0.0;0.0;0.2727272727272727;0.0;0.18181818181818182;0.2;0.0;0.3;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.3;0.2727272727272727;1.0;0.0;0.0;0.25;0.3;0.6666666666666666;0.2;0.0;0.4444444444444444;0.3;0.0;0.0;0.0;0.3;0.3;0.3;0.0;0.0;0.0;0.2727272727272727;0.36363636363636365;0.25;0.25;0.0;0.0;0.0;0.2222222222222222;0.3333333333333333;0.0;0.0;0.16666666666666666;0.2;0.0;0.058823529411764705;0.0;0.3;0.3;0.0;0.0;0.5333333333333333;0.0;0.2727272727272727;0.5714285714285714;0.0;0.0
GO:0043277;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5555555555555556;0.0;0.0;0.125;0.0;0.0;0.0;0.2727272727272727;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0043312;0.0;0.0;0.14285714285714285;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.3333333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.36363636363636365;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
GO:0042102;0.2727272727272727;0.3;0.0;0.0;0.36363636363636365;0.0;0.0;0.16666666666666666;0.0;0.3333333333333333;0.7777777777777778;0.4;0.4;0.3076923076923077;0.0;0.6666666666666666;0.0;0.4;0.25;0.0;0.25;0.0;0.0;0.3333333333333333;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.36363636363636365;0.0;0.16666666666666666;0.2;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.3;0.0;0.25;0.25;0.0;0.0;0.2727272727272727;0.2727272727272727;0.36363636363636365;0.25;0.0;0.0;1.0;0.2727272727272727;0.26666666666666666;0.18181818181818182;0.0;0.2727272727272727;0.4;0.0;0.0;0.0;0.2727272727272727;0.36363636363636365;0.2727272727272727;0.0;0.0;0.0;0.3333333333333333;0.07142857142857142;0.2;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.3;0.0;0.0;0.21428571428571427;0.2727272727272727;0.0;0.05555555555555555;0.0;0.2727272727272727;0.4;0.0;0.0;0.21428571428571427;0.0;0.3333333333333333;0.23076923076923078;0.0;0.0
GO:1900227;0.5;0.375;0.0;0.0;0.3;0.0;0.0;0.2;0.0;0.2727272727272727;0.2727272727272727;0.3333333333333333;0.3333333333333333;0.36363636363636365;0.0;0.3;0.0;0.5;0.3;0.0;0.3;0.0;0.0;0.4;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.3;0.0;0.3333333333333333;0.23076923076923078;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.375;0.0;0.3;0.3;0.0;0.0;0.3333333333333333;0.5;0.3;0.3;0.0;0.0;0.2727272727272727;1.0;0.3076923076923077;0.2222222222222222;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.4444444444444444;0.3333333333333333;0.0;0.0;0.0;0.5555555555555556;0.08333333333333333;0.23076923076923078;0.2727272727272727;0.0;0.0;0.0;0.25;0.625;0.0;0.0;0.25;0.3;0.0;0.0625;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.25;0.0;0.625;0.2727272727272727;0.0;0.0
GO:0045860;0.23076923076923078;0.3333333333333333;0.0;0.0;0.21428571428571427;0.0;0.0;0.08333333333333333;0.0;0.2;0.26666666666666666;0.23076923076923078;0.23076923076923078;0.46153846153846156;0.0;0.2857142857142857;0.0;0.36363636363636365;0.3076923076923077;0.0;0.2857142857142857;0.0;0.0;0.4166666666666667;0.0;0.2857142857142857;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.2857142857142857;0.0;0.08333333333333333;0.1875;0.0;0.23076923076923078;0.0;0.0;0.0;0.0;0.25;0.0;0.21428571428571427;0.0;0.0;0.0;0.0;0.23076923076923078;0.21428571428571427;0.6666666666666666;0.0;0.0;0.26666666666666666;0.3076923076923077;1.0;0.09090909090909091;0.0;0.45454545454545453;0.23076923076923078;0.0;0.0;0.0;0.23076923076923078;0.3333333333333333;0.23076923076923078;0.0;0.0;0.0;0.3076923076923077;0.4;0.2857142857142857;0.2;0.0;0.0;0.0;0.1;0.3333333333333333;0.0;0.0;0.2;0.23076923076923078;0.0;0.058823529411764705;0.0;0.23076923076923078;0.23076923076923078;0.0;0.0;0.6666666666666666;0.0;0.3076923076923077;0.7272727272727273;0.0;0.0
GO:0044130;0.2222222222222222;0.25;0.0;0.0;0.2;0.0;0.0;0.3333333333333333;0.0;0.18181818181818182;0.2;0.2222222222222222;0.2222222222222222;0.0;0.0;0.2;0.0;0.25;0.2222222222222222;0.0;0.2;0.0;0.0;0.2;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.2;0.0;0.2222222222222222;0.25;0.0;0.2222222222222222;0.0;0.0;0.0;0.0;0.25;0.0;0.2;0.3333333333333333;0.0;0.0;0.0;0.2222222222222222;0.2;0.2;0.0;0.0;0.18181818181818182;0.2222222222222222;0.09090909090909091;1.0;0.0;0.2222222222222222;0.2222222222222222;0.0;0.0;0.0;0.2222222222222222;0.2222222222222222;0.2222222222222222;0.0;0.0;0.0;0.2;0.09090909090909091;0.2727272727272727;0.2;0.0;0.0;0.0;0.2857142857142857;0.25;0.0;0.0;0.2;0.25;0.0;0.06666666666666667;0.0;0.2222222222222222;0.2222222222222222;0.0;0.0;0.18181818181818182;0.0;0.2;0.18181818181818182;0.0;0.0
GO:0045065;0.0;0.0;0.14285714285714285;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0
GO:0010628;0.3333333333333333;0.375;0.0;0.0;0.3;0.0;0.0;0.2;0.0;0.2727272727272727;0.2727272727272727;0.3333333333333333;0.3333333333333333;0.5555555555555556;0.0;0.3;0.0;0.375;0.3;0.0;0.3;0.0;0.0;0.4444444444444444;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.45454545454545453;0.0;0.0;0.3;0.0;0.2;0.15384615384615385;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.375;0.0;0.3;0.0;0.0;0.0;0.0;0.3333333333333333;0.3;0.4444444444444444;0.0;0.0;0.2727272727272727;0.3333333333333333;0.45454545454545453;0.2222222222222222;0.0;1.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.3;0.08333333333333333;0.5555555555555556;0.2727272727272727;0.0;0.0;0.0;0.25;0.375;0.0;0.0;0.18181818181818182;0.2222222222222222;0.0;0.0625;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.38461538461538464;0.0;0.3;0.4166666666666667;0.0;0.0
GO:0002606;0.3333333333333333;0.375;0.0;0.0;0.4444444444444444;0.0;0.0;0.2;0.0;0.4;0.4;0.3333333333333333;0.5;0.0;0.0;0.4444444444444444;0.0;0.375;0.2;0.0;0.3;0.0;0.0;0.3;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.4444444444444444;0.0;0.2;0.15384615384615385;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.375;0.0;0.3;0.0;0.0;0.0;0.0;0.3333333333333333;0.4444444444444444;0.3;0.0;0.0;0.4;0.3333333333333333;0.23076923076923078;0.2222222222222222;0.0;0.3333333333333333;1.0;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.3;0.08333333333333333;0.16666666666666666;0.4;0.0;0.0;0.0;0.42857142857142855;0.375;0.0;0.0;0.18181818181818182;0.3333333333333333;0.0;0.0625;0.0;0.3333333333333333;0.5;0.0;0.0;0.25;0.0;0.3;0.2727272727272727;0.0;0.0
GO:0071447;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.2222222222222222;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.1111111111111111;0.0;0.2857142857142857;0.0;0.0;0.42857142857142855;0.0;0.0;0.1111111111111111;0.1111111111111111;0.16666666666666666;0.16666666666666666;0.0;0.16666666666666666;0.5714285714285714;0.0;0.16666666666666666;0.0;0.0;0.16666666666666666;0.0;0.5;0.16666666666666666;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.0;0.42857142857142855;0.16666666666666666;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.2857142857142857;0.16666666666666666;0.0;0.0;0.16666666666666666;0.07692307692307693;0.125;0.0;0.0;0.6666666666666666;0.6666666666666666;0.0;0.2857142857142857;0.09090909090909091;0.0;0.42857142857142855;0.0
GO:0016045;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42857142857142855;0.42857142857142855;0.0;0.0;0.0;0.0;0.0;0.0
GO:0030299;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0001916;0.3333333333333333;0.375;0.0;0.0;0.3;0.0;0.0;0.2;0.0;0.4166666666666667;0.2727272727272727;0.3333333333333333;0.5;0.0;0.0;0.3;0.0;0.375;0.2;0.0;0.3;0.0;0.0;0.3;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.45454545454545453;0.0;0.2;0.15384615384615385;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.375;0.0;0.3;0.0;0.0;0.0;0.0;0.3333333333333333;0.3;0.3;0.0;0.0;0.2727272727272727;0.3333333333333333;0.23076923076923078;0.2222222222222222;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;1.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.3;0.08333333333333333;0.16666666666666666;0.4166666666666667;0.0;0.0;0.0;0.4444444444444444;0.375;0.0;0.0;0.18181818181818182;0.36363636363636365;0.0;0.0625;0.0;0.3333333333333333;0.5;0.0;0.0;0.25;0.0;0.3;0.2727272727272727;0.0;0.0
GO:0010744;0.3333333333333333;0.375;0.0;0.0;0.3;0.0;0.0;0.2;0.0;0.2727272727272727;0.36363636363636365;0.3333333333333333;0.3333333333333333;0.4;0.0;0.4;0.0;0.5714285714285714;0.3333333333333333;0.0;0.4;0.0;0.0;0.4444444444444444;0.0;0.4;0.0;0.0;0.0;0.3333333333333333;0.0;0.36363636363636365;0.0;0.0;0.4;0.0;0.2727272727272727;0.25;0.0;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.375;0.0;0.3;0.3333333333333333;0.0;0.0;0.375;0.3333333333333333;0.3;0.3;0.0;0.0;0.36363636363636365;0.4444444444444444;0.3333333333333333;0.2222222222222222;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;1.0;0.3333333333333333;0.0;0.0;0.0;0.4444444444444444;0.08333333333333333;0.25;0.2727272727272727;0.0;0.0;0.0;0.25;0.5714285714285714;0.0;0.0;0.2727272727272727;0.3333333333333333;0.0;0.0625;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.2727272727272727;0.0;0.4444444444444444;0.36363636363636365;0.0;0.0
GO:0032755;0.3333333333333333;0.375;0.0;0.0;0.3;0.0;0.0;0.2;0.0;0.2727272727272727;0.2727272727272727;0.3333333333333333;0.3333333333333333;0.0;0.0;0.3;0.0;0.375;0.2;0.0;0.3;0.0;0.0;0.3;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.3;0.0;0.2;0.15384615384615385;0.0;0.3333333333333333;0.0;0.0;0.0;0.0;0.5;0.0;0.625;0.0;0.0;0.0;0.0;0.3333333333333333;0.3;0.3;0.0;0.0;0.2727272727272727;0.3333333333333333;0.23076923076923078;0.2222222222222222;0.0;0.3333333333333333;0.3333333333333333;0.0;0.0;0.0;0.3333333333333333;0.3333333333333333;1.0;0.0;0.0;0.0;0.3;0.08333333333333333;0.16666666666666666;0.5555555555555556;0.0;0.0;0.0;0.25;0.375;0.0;0.0;0.4444444444444444;0.2222222222222222;0.0;0.0625;0.0;0.7142857142857143;0.3333333333333333;0.0;0.0;0.25;0.0;0.3;0.2727272727272727;0.0;0.0
GO:0071726;0.0;0.0;0.0;0.0;0.0;0.0;0.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.42857142857142855;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.6;0.0;0.25;0.0;0.0;0.16666666666666666;0.0
GO:0044539;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0019934;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.14285714285714285;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.1;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.125;0.0;0.16666666666666666;0.0
GO:0060100;0.5;0.3333333333333333;0.0;0.0;0.2727272727272727;0.0;0.0;0.3333333333333333;0.0;0.25;0.3333333333333333;0.3;0.3;0.36363636363636365;0.0;0.36363636363636365;0.0;0.5;0.3;0.0;0.36363636363636365;0.0;0.0;0.4;0.0;0.36363636363636365;0.0;0.0;0.0;0.3;0.0;0.3333333333333333;0.0;0.0;0.36363636363636365;0.0;0.36363636363636365;0.23076923076923078;0.0;0.3;0.0;0.0;0.0;0.3;0.3333333333333333;0.0;0.2727272727272727;0.3;0.0;0.0;0.3333333333333333;0.5;0.2727272727272727;0.2727272727272727;0.0;0.0;0.3333333333333333;0.5555555555555556;0.3076923076923077;0.2;0.0;0.3;0.3;0.0;0.0;0.0;0.3;0.4444444444444444;0.3;0.0;0.0;0.0;1.0;0.07692307692307693;0.23076923076923078;0.25;0.0;0.0;0.0;0.2222222222222222;0.625;0.0;0.0;0.25;0.3;0.0;0.058823529411764705;0.0;0.3;0.3;0.0;0.0;0.25;0.0;0.5555555555555556;0.3333333333333333;0.0;0.0
GO:0090630;0.08333333333333333;0.3333333333333333;0.0;0.0;0.07692307692307693;0.0;0.0;0.08333333333333333;0.0;0.07142857142857142;0.07692307692307693;0.08333333333333333;0.08333333333333333;0.0;0.0;0.07692307692307693;0.0;0.09090909090909091;0.08333333333333333;0.0;0.07692307692307693;0.0;0.0;0.07692307692307693;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;0.06666666666666667;0.0;0.0;0.07692307692307693;0.0;0.08333333333333333;0.06666666666666667;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.09090909090909091;0.0;0.07692307692307693;0.0;0.0;0.0;0.0;0.08333333333333333;0.07692307692307693;0.36363636363636365;0.0;0.0;0.07142857142857142;0.08333333333333333;0.4;0.09090909090909091;0.0;0.08333333333333333;0.08333333333333333;0.0;0.0;0.0;0.08333333333333333;0.08333333333333333;0.08333333333333333;0.0;0.0;0.0;0.07692307692307693;1.0;0.07142857142857142;0.07692307692307693;0.0;0.0;0.0;0.1;0.09090909090909091;0.0;0.0;0.07692307692307693;0.09090909090909091;0.0;0.058823529411764705;0.0;0.08333333333333333;0.08333333333333333;0.0;0.0;0.07142857142857142;0.0;0.07692307692307693;0.07142857142857142;0.0;0.0
GO:0000122;0.16666666666666666;0.5454545454545454;0.0;0.0;0.15384615384615385;0.0;0.0;0.2727272727272727;0.0;0.14285714285714285;0.15384615384615385;0.16666666666666666;0.16666666666666666;0.5;0.0;0.21428571428571427;0.0;0.2727272727272727;0.3333333333333333;0.0;0.21428571428571427;0.0;0.0;0.45454545454545453;0.0;0.21428571428571427;0.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;0.21428571428571427;0.0;0.16666666666666666;0.2857142857142857;0.0;0.16666666666666666;0.0;0.0;0.0;0.0;0.18181818181818182;0.0;0.15384615384615385;0.36363636363636365;0.0;0.0;0.2727272727272727;0.16666666666666666;0.15384615384615385;0.25;0.0;0.0;0.2;0.23076923076923078;0.2857142857142857;0.2727272727272727;0.0;0.5555555555555556;0.16666666666666666;0.0;0.0;0.0;0.16666666666666666;0.25;0.16666666666666666;0.0;0.0;0.0;0.23076923076923078;0.07142857142857142;1.0;0.15384615384615385;0.0;0.0;0.0;0.2;0.25;0.0;0.0;0.21428571428571427;0.25;0.0;0.05555555555555555;0.0;0.16666666666666666;0.16666666666666666;0.0;0.0;0.21428571428571427;0.0;0.23076923076923078;0.26666666666666666;0.0;0.0
GO:0060907;0.2727272727272727;0.3;0.0;0.0;0.36363636363636365;0.0;0.0;0.18181818181818182;0.0;0.45454545454545453;0.3333333333333333;0.2727272727272727;0.5555555555555556;0.0;0.0;0.36363636363636365;0.0;0.3;0.2727272727272727;0.0;0.36363636363636365;0.0;0.0;0.25;0.0;0.36363636363636365;0.0;0.0;0.0;0.0;0.0;0.21428571428571427;0.0;0.0;0.5;0.0;0.18181818181818182;0.14285714285714285;0.0;0.2727272727272727;0.0;0.0;0.0;0.0;0.4;0.0;0.5;0.0;0.0;0.0;0.0;0.2727272727272727;0.36363636363636365;0.25;0.0;0.0;0.3333333333333333;0.2727272727272727;0.2;0.2;0.0;0.2727272727272727;0.4;0.0;0.0;0.0;0.4166666666666667;0.2727272727272727;0.5555555555555556;0.0;0.0;0.0;0.25;0.07692307692307693;0.15384615384615385;1.0;0.0;0.0;0.0;0.5714285714285714;0.3;0.0;0.0;0.4;0.4444444444444444;0.0;0.058823529411764705;0.0;0.5555555555555556;0.5555555555555556;0.0;0.0;0.3076923076923077;0.0;0.25;0.3333333333333333;0.0;0.0
GO:0097022;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
GO:0097029;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
